	GCF_003865155.1 | Streptomyces rimosus NBRC 15454 - ST 520:216	GCF_000718755.1 | Streptomyces rimosus NRRL WC-3560 - ST 287:219	GCF_000719185.1 | Streptomyces rimosus NRRL B-2660 - ST 287:220	GCF_000331185.2 | Streptomyces rimosus ATCC 10970 - ST 249:652	GCF_000707925.2 | Streptomyces rimosus R6-500 - ST 249:653	GCF_000716515.1 | Streptomyces rimosus NRRL B-16073 - ST 269:654	GCF_000717285.1 | Streptomyces rimosus NRRL ISP-5260 - ST 249:656	GCF_000718675.1 | Streptomyces rimosus NRRL WC-3930 - ST 285:658	GCF_000718715.1 | Streptomyces rimosus NRRL WC-3874 - ST 249:659	GCF_000718835.1 | Streptomyces rimosus NRRL WC-3876 - ST 249:661	GCF_000718865.1 | Streptomyces rimosus NRRL WC-3882 - ST 249:662	GCF_000720565.1 | Streptomyces rimosus NRRL WC-3925 - ST 249:663	GCF_000720605.1 | Streptomyces rimosus NRRL WC-3558 - ST 249:664	GCF_000720715.1 | Streptomyces rimosus NRRL WC-3900 - ST 249:665	GCF_000721045.1 | Streptomyces rimosus NRRL B-2626 - ST 249:666	GCF_000721665.1 | Streptomyces rimosus NRRL WC-3929 - ST 285:667	GCF_001279015.1 | Streptomyces rimosus NRRL WC-3909 - ST 249:669	GCF_001279065.1 | Streptomyces rimosus NRRL WC-3869 - ST 323:671	GCF_001279075.1 | Streptomyces rimosus NRRL WC-3875 - ST 249:672	GCF_001279095.1 | Streptomyces rimosus NRRL WC-3899 - ST 249:673	GCF_001279105.1 | Streptomyces rimosus NRRL WC-3873 - ST 249:674	GCF_001279345.1 | Streptomyces rimosus NRRL WC-3896 - ST 352:675	GCF_001279375.1 | Streptomyces rimosus NRRL WC-3898 - ST 249:677	GCF_001507395.1 | Streptomyces rimosus NRRL WC-3897 - ST 249:678	GCF_006229535.1 | Streptomyces rimosus WT5260 - ST 249:684	GCF_008704655.1 | Streptomyces rimosus ATCC 10970 - ST 249:686
GCF_000718865.1 | Streptomyces rimosus NRRL WC-3882 - ST 249:662	5634258	6700569	7119853	8361764	8331058	7474829	8327034	7342683	8394474	7707298	8273726	8160912	8329165	8112954	8324186	7538054	8239699	7300492	8323845	8323143	8333831	7287099	8291500	8303387	8327695	8055946
GCF_000720565.1 | Streptomyces rimosus NRRL WC-3925 - ST 249:663	6180276	7541358	7992917	9423255	8684870	8414666	9428472	8253810	9457673	8311385	8160912	9356233	9383644	9133555	9386076	8447520	8977064	8262049	9277053	9270009	9372211	8183753	9339986	9362256	9388375	9107001
GCF_000720605.1 | Streptomyces rimosus NRRL WC-3558 - ST 249:664	6309150	7711818	8164727	9638584	8897586	8640979	9651795	8465400	9687690	8518561	8329165	9383644	9590596	9385818	9619367	8660188	9206357	8472117	9527955	9527037	9589524	8391647	9571937	9614062	9603310	9321759
GCF_000720715.1 | Streptomyces rimosus NRRL WC-3900 - ST 249:665	6218497	7686930	8021022	9380611	8664276	8450141	9397280	8287565	9403370	8295436	8112954	9133555	9385818	9375207	9395376	8483918	9079087	8368038	9319184	9343798	9358682	8350112	9361770	9401851	9369670	9087356
GCF_000721045.1 | Streptomyces rimosus NRRL B-2626 - ST 249:666	6306420	7707743	8162507	9634717	8936903	8636548	9710291	8462189	9707881	8465456	8324186	9386076	9619367	9395376	9663214	8659291	9246351	8470528	9546707	9531669	9608313	8390539	9590349	9632539	9640094	9358271
GCF_000721665.1 | Streptomyces rimosus NRRL WC-3929 - ST 285:667	6309199	7668599	8119477	8661426	8119257	8573330	8659386	9571751	8642410	7674218	7538054	8447520	8660188	8483918	8659291	9738851	8441384	8479790	8639939	8575061	8646496	8347131	8646764	8649972	8667928	8634194
GCF_001279015.1 | Streptomyces rimosus NRRL WC-3909 - ST 249:669	6260056	7572542	7990952	9257151	8819896	8399081	9244014	8247941	9255520	8135781	8239699	8977064	9206357	9079087	9246351	8441384	9222548	8229171	9231552	9172288	9217680	8212498	9239159	9210187	9250994	9051888
GCF_001279065.1 | Streptomyces rimosus NRRL WC-3869 - ST 323:671	6298926	7718666	8093499	8476970	7885968	8424479	8470490	8305413	8449771	7424976	7300492	8262049	8472117	8368038	8470528	8479790	8229171	9485098	8421286	8387562	8465559	8314481	8465724	8468380	8473532	8462700
GCF_001279075.1 | Streptomyces rimosus NRRL WC-3875 - ST 249:672	6298934	7683446	8134848	9620546	8925399	8601779	9544502	8446987	9526183	8418133	8323845	9277053	9527955	9319184	9546707	8639939	9231552	8421286	9527802	9493534	9551450	8372208	9544296	9614253	9590439	9308573
GCF_001279095.1 | Streptomyces rimosus NRRL WC-3899 - ST 249:673	6259476	7626715	8078979	9610541	8974198	8548177	9573181	8379957	9520110	8418773	8323143	9270009	9527037	9343798	9531669	8575061	9172288	8387562	9493534	9511651	9517803	8301897	9568779	9560438	9575931	9291792
GCF_001279105.1 | Streptomyces rimosus NRRL WC-3873 - ST 249:674	6301555	7698899	8150631	9644774	8908242	8626817	9620756	8452071	9557187	8413590	8333831	9372211	9589524	9358682	9608313	8646496	9217680	8465559	9551450	9517803	9588334	8382117	9578136	9658555	9656140	9372193
GCF_001279345.1 | Streptomyces rimosus NRRL WC-3896 - ST 352:675	6250390	7597837	7882847	8398770	7875810	8471519	8399297	8175646	8369138	7496803	7287099	8183753	8391647	8350112	8390539	8347131	8212498	8314481	8372208	8301897	8382117	9518353	8399899	8401044	8404356	8387744
GCF_001279375.1 | Streptomyces rimosus NRRL WC-3898 - ST 249:677	6302529	7699311	8151563	9624051	8886338	8628347	9598684	8452161	9579001	8405800	8291500	9339986	9571937	9361770	9590349	8646764	9239159	8465724	9544296	9568779	9578136	8399899	9592778	9660900	9610532	9322546
GCF_001507395.1 | Streptomyces rimosus NRRL WC-3897 - ST 249:678	6301172	7703754	8155093	9674939	8891584	8630213	9650807	8456018	9580341	8418575	8303387	9362256	9614062	9401851	9632539	8649972	9210187	8468380	9614253	9560438	9658555	8401044	9660900	9592983	9659458	9375873
GCF_006229535.1 | Streptomyces rimosus WT5260 - ST 249:684	6346108	7714915	8168294	9681970	8943484	8643671	9602833	8473358	9686199	8444937	8327695	9388375	9603310	9369670	9640094	8667928	9250994	8473532	9590439	9575931	9656140	8404356	9610532	9659458	9658503	9359332
GCF_008704655.1 | Streptomyces rimosus ATCC 10970 - ST 249:686	6339387	7710697	8160418	9391215	8653056	8614756	9318223	8441473	9391159	8179860	8055946	9107001	9321759	9087356	9358271	8634194	9051888	8462700	9308573	9291792	9372193	8387744	9322546	9375873	9359332	9361154
