	GCF_003865155.1 | Streptomyces rimosus NBRC 15454 - ST 520:216	GCF_000718755.1 | Streptomyces rimosus NRRL WC-3560 - ST 287:219	GCF_000719185.1 | Streptomyces rimosus NRRL B-2660 - ST 287:220	GCF_000331185.2 | Streptomyces rimosus ATCC 10970 - ST 249:652	GCF_000707925.2 | Streptomyces rimosus R6-500 - ST 249:653	GCF_000716515.1 | Streptomyces rimosus NRRL B-16073 - ST 269:654	GCF_000717285.1 | Streptomyces rimosus NRRL ISP-5260 - ST 249:656	GCF_000718675.1 | Streptomyces rimosus NRRL WC-3930 - ST 285:658	GCF_000718715.1 | Streptomyces rimosus NRRL WC-3874 - ST 249:659	GCF_000718835.1 | Streptomyces rimosus NRRL WC-3876 - ST 249:661	GCF_000718865.1 | Streptomyces rimosus NRRL WC-3882 - ST 249:662	GCF_000720565.1 | Streptomyces rimosus NRRL WC-3925 - ST 249:663	GCF_000720605.1 | Streptomyces rimosus NRRL WC-3558 - ST 249:664	GCF_000720715.1 | Streptomyces rimosus NRRL WC-3900 - ST 249:665	GCF_000721045.1 | Streptomyces rimosus NRRL B-2626 - ST 249:666	GCF_000721665.1 | Streptomyces rimosus NRRL WC-3929 - ST 285:667	GCF_001279015.1 | Streptomyces rimosus NRRL WC-3909 - ST 249:669	GCF_001279065.1 | Streptomyces rimosus NRRL WC-3869 - ST 323:671	GCF_001279075.1 | Streptomyces rimosus NRRL WC-3875 - ST 249:672	GCF_001279095.1 | Streptomyces rimosus NRRL WC-3899 - ST 249:673	GCF_001279105.1 | Streptomyces rimosus NRRL WC-3873 - ST 249:674	GCF_001279345.1 | Streptomyces rimosus NRRL WC-3896 - ST 352:675	GCF_001279375.1 | Streptomyces rimosus NRRL WC-3898 - ST 249:677	GCF_001507395.1 | Streptomyces rimosus NRRL WC-3897 - ST 249:678	GCF_006229535.1 | Streptomyces rimosus WT5260 - ST 249:684	GCF_008704655.1 | Streptomyces rimosus ATCC 10970 - ST 249:686
GCF_001279015.1 | Streptomyces rimosus NRRL WC-3909 - ST 249:669	635211	277433	292957	1564	1913	111523	1253	217875	2364	1896	2417	2042	1265	1933	1424	223406	1	173742	1715	2327	2232	114514	1847	1604	1764	1654
GCF_001279065.1 | Streptomyces rimosus NRRL WC-3869 - ST 323:671	639124	286345	300005	183625	165201	177273	182938	206654	181180	157402	153288	177208	183099	179688	182507	210453	173742	1	180058	180322	181964	179923	181692	182099	183221	182018
GCF_001279075.1 | Streptomyces rimosus NRRL WC-3875 - ST 249:672	639049	283345	300547	1586	1473	116070	1406	225949	2179	2230	1638	1696	1812	1583	1309	231493	1715	180058	1	1743	1963	118093	2065	1836	1581	1662
GCF_001279095.1 | Streptomyces rimosus NRRL WC-3899 - ST 249:673	633311	281828	299248	1755	2179	115631	1879	224384	2196	1731	1874	1792	1545	2040	1438	230476	2327	180322	1743	1	2159	116973	1959	2058	1757	1539
GCF_001279105.1 | Streptomyces rimosus NRRL WC-3873 - ST 249:674	639105	283994	301352	1986	1839	116621	1577	225921	2272	1977	2341	2244	1936	1729	1743	231666	2232	181964	1963	2159	1	118409	2142	2016	2119	1853
GCF_001279345.1 | Streptomyces rimosus NRRL WC-3896 - ST 352:675	628427	284826	293724	118771	108872	114092	118297	214153	116904	105910	102447	115711	118925	117981	118283	218554	114514	179923	118093	116973	118409	1	118389	118615	118752	116358
GCF_001279375.1 | Streptomyces rimosus NRRL WC-3898 - ST 249:677	638946	283944	301423	1699	1741	116480	1439	225493	2273	2086	2016	2366	1807	1561	1342	231288	1847	181692	2065	1959	2142	118389	1	1788	2204	1612
GCF_001507395.1 | Streptomyces rimosus NRRL WC-3897 - ST 249:678	639193	284755	301767	1268	1295	116590	1137	226087	2052	1719	1730	1948	1569	1276	1096	231919	1604	182099	1836	2058	2016	118615	1788	1	1373	1172
GCF_006229535.1 | Streptomyces rimosus WT5260 - ST 249:684	642292	287262	304449	512	727	117857	958	229337	1840	1802	1752	1553	1065	1423	459	234597	1764	183221	1581	1757	2119	118752	2204	1373	1	438
GCF_008704655.1 | Streptomyces rimosus ATCC 10970 - ST 249:686	641365	286888	304084	151	1233	115128	831	226004	1944	2706	3181	1793	1360	1314	616	231096	1654	182018	1662	1539	1853	116358	1612	1172	438	1
