	GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387	GCF_000719495.1 | Streptomyces albidoflavus NRRL F-5621 - ST 295:389	GCF_001509565.1 | Streptomyces albidoflavus NRRL WC-3066 - ST 382:395	GCF_001865795.1 | Streptomyces albidoflavus OsiLf-2 - ST 411:396	GCF_002289335.1 | Streptomyces albidoflavus 132 - ST 447:397	GCF_002317005.1 | Streptomyces albidoflavus 38 - ST 447:398	GCF_002317025.1 | Streptomyces albidoflavus 138 - ST 447:399	GCF_004078575.1 | Streptomyces albidoflavus BSII#1 - ST 550:405	GCF_004195735.1 | Streptomyces albidoflavus DSM 40455 - ST 557:407	GCF_004195745.1 | Streptomyces albidoflavus NBRC 100770 - ST 558:408	GCF_004195755.1 | Streptomyces albidoflavus NBRC 13083 - ST 110:409	GCF_004195845.1 | Streptomyces albidoflavus CGMCC 4.1681 - ST 105:410	GCF_004195855.1 | Streptomyces albidoflavus FXJ.2339 - ST 148:411	GCF_004195885.1 | Streptomyces albidoflavus NBRC 12790 - ST 107:412	GCF_004195895.1 | Streptomyces albidoflavus Ma24 - ST 559:413	GCF_004195935.1 | Streptomyces albidoflavus CR33 - ST 144:414	GCF_004195945.1 | Streptomyces albidoflavus CR10 - ST 138:415	GCF_004195955.1 | Streptomyces albidoflavus CR25 - ST 144:416	GCF_004195965.1 | Streptomyces albidoflavus Ma1 - ST 152:417	GCF_004195995.1 | Streptomyces albidoflavus CR47 - ST 146:418	GCF_004196035.1 | Streptomyces albidoflavus CR19 - ST 143:419	GCF_004196145.1 | Streptomyces albidoflavus FXJ8.031 - ST 150:420	GCF_004196155.1 | Streptomyces albidoflavus CGMCC 4.1615 - ST 150:421	GCF_007896905.1 | Streptomyces albidoflavus 77 - ST 588:423	GCF_013693715.1 | Streptomyces albidoflavus J1074/R2 - ST 39:429	GCF_015601545.1 | Streptomyces albidoflavus W68 - ST 673:430	GCF_900171555.1 | Streptomyces albidoflavus R-53649 - ST 802:442
GCF_004195755.1 | Streptomyces albidoflavus NBRC 13083 - ST 110:409	6479187	6129352	6762398	6576347	5964565	6064314	6062292	5748196	6631453	6770587	7042329	6722355	6772926	6770664	6620503	6561007	6610165	6562304	6598210	6607908	6606806	6637193	6634610	6721060	6480898	6127457	6651173
GCF_004195845.1 | Streptomyces albidoflavus CGMCC 4.1681 - ST 105:410	6539993	6180086	6711783	6610560	6008615	6119877	6120571	5804410	6596410	6736374	6722355	7227023	6781350	6676522	6615164	6653250	6674316	6658778	6582755	6764459	6613525	6596919	6584915	6712506	6515250	6150516	6632733
GCF_004195855.1 | Streptomyces albidoflavus FXJ.2339 - ST 148:411	6434680	6201127	6732642	6579224	6007551	6114756	6115550	5756178	6631452	6760522	6772926	6781350	7120012	6867120	6599340	6547623	6680559	6553379	6587656	6652409	6572701	6622480	6620220	6717378	6435555	6148654	6604259
GCF_004195885.1 | Streptomyces albidoflavus NBRC 12790 - ST 107:412	6423394	6128697	6748898	6574034	5961173	6062160	6059413	5740578	6611612	6735393	6770664	6676522	6867120	6953149	6563089	6500880	6569838	6507392	6549959	6518925	6527425	6591310	6589996	6663243	6423141	6130715	6584003
GCF_004195895.1 | Streptomyces albidoflavus Ma24 - ST 559:413	6430189	6104364	6592080	6547355	5874841	5972267	5971983	5740691	6471374	6619491	6620503	6615164	6599340	6563089	6963119	6594654	6601476	6600365	6584042	6620849	6723766	6632001	6630299	6717052	6427412	6122056	6578517
GCF_004195935.1 | Streptomyces albidoflavus CR33 - ST 144:414	6435084	6105457	6555954	6491149	5877866	5981346	5978673	5722169	6462623	6588102	6561007	6653250	6547623	6500880	6594654	7157271	6731799	7177946	6719236	6786253	6631264	6606329	6605121	6635574	6433469	6111715	6540899
GCF_004195945.1 | Streptomyces albidoflavus CR10 - ST 138:415	6408099	6196597	6588756	6564257	5934074	6037549	6037564	5736384	6494784	6605912	6610165	6674316	6680559	6569838	6601476	6731799	7156688	6735867	6690153	6800029	6634855	6631457	6628987	6667194	6408813	6105347	6567768
GCF_004195955.1 | Streptomyces albidoflavus CR25 - ST 144:416	6440011	6111569	6554785	6498028	5877028	5981095	5978880	5721807	6468449	6593763	6562304	6658778	6553379	6507392	6600365	7177946	6735867	7168767	6733255	6800949	6634022	6611357	6610047	6639140	6438922	6109913	6547307
GCF_004195965.1 | Streptomyces albidoflavus Ma1 - ST 152:417	6362805	6117451	6553315	6497876	5907532	6005444	6004267	5730863	6435270	6563928	6598210	6582755	6587656	6549959	6584042	6719236	6690153	6733255	7268166	6696127	6611396	6667337	6665895	6638837	6362761	6108064	6505116
GCF_004195995.1 | Streptomyces albidoflavus CR47 - ST 146:418	6432028	6168553	6584559	6506316	5963627	6064807	6064971	5733507	6491733	6603820	6607908	6764459	6652409	6518925	6620849	6786253	6800029	6800949	6696127	7135321	6652447	6609902	6609805	6665501	6431959	6112863	6555721
GCF_004196035.1 | Streptomyces albidoflavus CR19 - ST 143:419	6403304	6108974	6585140	6506367	5876428	5971329	5972504	5711802	6493994	6659311	6606806	6613525	6572701	6527425	6723766	6631264	6634855	6634022	6611396	6652447	7103409	6624146	6621243	6692254	6378843	6101956	6561758
GCF_004196145.1 | Streptomyces albidoflavus FXJ8.031 - ST 150:420	6390136	6105694	6582226	6538774	5893501	5991070	5988694	5712732	6494807	6603618	6637193	6596919	6622480	6591310	6632001	6606329	6631457	6611357	6667337	6609902	6624146	6960543	6979238	6666554	6390795	6118225	6533111
GCF_004196155.1 | Streptomyces albidoflavus CGMCC 4.1615 - ST 150:421	6387534	6106006	6581076	6537251	5889782	5988151	5986349	5709418	6492758	6601421	6634610	6584915	6620220	6589996	6630299	6605121	6628987	6610047	6665895	6609805	6621243	6979238	6957957	6665230	6388173	6116732	6533369
GCF_007896905.1 | Streptomyces albidoflavus 77 - ST 588:423	6521557	6162588	6703555	6638888	5966498	6069341	6067926	5793680	6562414	6703090	6721060	6712506	6717378	6663243	6717052	6635574	6667194	6639140	6638837	6665501	6692254	6666554	6665230	7446125	6518532	6185214	6620375
GCF_013693715.1 | Streptomyces albidoflavus J1074/R2 - ST 39:429	6981882	5922525	6487721	6371427	5716805	5812086	5815775	5571519	6465035	6479304	6480898	6515250	6435555	6423141	6427412	6433469	6408813	6438922	6362761	6431959	6378843	6390795	6388173	6518532	6942952	5974454	6454592
GCF_015601545.1 | Streptomyces albidoflavus W68 - ST 673:430	5973774	6598610	6155745	6120724	5747026	5845585	5842565	5780309	6035401	6167628	6127457	6150516	6148654	6130715	6122056	6111715	6105347	6109913	6108064	6112863	6101956	6118225	6116732	6185214	5974454	6796629	6107429
GCF_900171555.1 | Streptomyces albidoflavus R-53649 - ST 802:442	6453914	6099588	6644416	6532626	5913796	6011856	6008615	5723583	6548011	6685692	6651173	6632733	6604259	6584003	6578517	6540899	6567768	6547307	6505116	6555721	6561758	6533111	6533369	6620375	6454592	6107429	7004412
