	GCF_000715745.1 | Streptomyces californicus NRRL B-3320 - ST 2:603	GCF_000717645.1 | Streptomyces californicus NRRL B-2098 - ST 2:604	GCF_000717665.1 | Streptomyces californicus NRRL 2423 - ST 49:605	GCF_000717965.1 | Streptomyces purpeochromogenes NRRL B-3012 - ST 2:606	GCF_000718205.1 | Streptomyces griseus NRRL B-2931 - ST 280:607	GCF_000718235.1 | Streptomyces griseus NRRL B-2932 - ST 281:608	GCF_000718245.1 | Streptomyces californicus NRRL B-2988 - ST 2:609	GCF_000718615.1 | Streptomyces purpeochromogenes NRRL ISP-5373 - ST 2:610	GCF_000718915.1 | Streptomyces sp. NRRL WC-3540 - ST 280:611	GCF_000719035.1 | Streptomyces griseus NRRL B-1691 - ST 280:612	GCF_000719585.1 | Streptomyces sp. NRRL F-5681 - ST 298:613	GCF_000719655.1 | Streptomyces sp. NRRL B-1381 - ST 300:614	GCF_000719925.1 | Streptomyces sp. NRRL F-2202 - ST 305:615	GCF_000720065.1 | Streptomyces sp. NRRL F-3273 - ST 2:616	GCF_000721205.1 | Streptomyces griseus NRRL B-2930 - ST 280:617	GCF_000721575.1 | Streptomyces griseus NRRL F-2227 - ST 317:618	GCF_001270675.1 | Streptomyces griseus NRRL B-2929 - ST 280:619	GCF_001279425.1 | Streptomyces sp. NRRL F-2295 - ST 354:620	GCF_001279735.1 | Streptomyces sp. MMG1522 - ST 360:621	GCF_002082175.1 | Streptomyces violaceoruber S21 - ST 434:622	GCF_002551425.1 | Streptomyces sp. b94 - ST 461:623	GCF_013401535.1 | Streptomyces sp. CB04723 - ST 684:624	GCF_016906185.1 | Streptomyces californicus FDAARGOS_1209 - ST 2:625	GCF_016906205.1 | Streptomyces californicus FDAARGOS_1212 - ST 2:626	GCF_016906225.1 | Streptomyces californicus FDAARGOS_1211 - ST 2:627	GCF_016906245.1 | Streptomyces californicus FDAARGOS_1213 - ST 2:628	GCF_016906265.1 | Streptomyces californicus FDAARGOS_1210 - ST 128:629	GCF_017311125.1 | Streptomyces sp. M54 - ST 751:630
GCF_000719655.1 | Streptomyces sp. NRRL B-1381 - ST 300:614	138311	121516	124915	120911	125036	123771	121603	121762	124894	124631	122651	1	123329	122532	124920	125646	124732	123670	120802	121663	119595	156112	121479	121778	121570	121694	124053	90530
GCF_000719925.1 | Streptomyces sp. NRRL F-2202 - ST 305:615	114832	96409	99267	96265	78111	80557	97520	97237	77877	77106	36246	123329	1	95356	78394	97259	78046	85678	72552	76346	91636	146980	96829	97296	96900	97190	98302	128976
GCF_000720065.1 | Streptomyces sp. NRRL F-3273 - ST 2:616	72737	52439	101439	53341	97359	95139	52373	55247	97697	97210	96656	122532	95356	1	97920	101651	97136	94251	97930	95534	77925	148602	54178	54606	54585	54636	103215	129752
GCF_000721205.1 | Streptomyces griseus NRRL B-2930 - ST 280:617	116124	98279	99353	99045	1854	83671	99091	99870	2036	1669	77170	124920	78394	97920	1	98035	1793	83116	72897	80304	91985	149650	98921	98713	99172	98715	99451	130923
GCF_000721575.1 | Streptomyces griseus NRRL F-2227 - ST 317:618	117426	101036	86991	101148	97641	96870	101607	103172	97995	97687	97518	125646	97259	101651	98035	1	97497	98195	98486	101328	96332	145498	102959	101032	103014	101219	87049	132702
GCF_001270675.1 | Streptomyces griseus NRRL B-2929 - ST 280:619	116215	98246	99219	98446	1532	82529	98625	99264	1337	1492	76827	124732	78046	97136	1793	97497	1	83223	72846	80089	91605	149481	98424	98355	98671	98399	98615	130287
GCF_001279425.1 | Streptomyces sp. NRRL F-2295 - ST 354:620	113692	95569	99923	95255	83159	88649	95913	95621	83059	82728	86982	123670	85678	94251	83116	98195	83223	1	80084	89682	93323	147692	95643	95744	95840	95711	98053	131276
GCF_001279735.1 | Streptomyces sp. MMG1522 - ST 360:621	113953	97133	100418	97204	72670	82560	97583	98868	72785	72237	73364	120802	72552	97930	72897	98486	72846	80084	1	82313	91162	147286	98267	99240	98526	99211	100246	131742
GCF_002082175.1 | Streptomyces violaceoruber S21 - ST 434:622	115124	99990	102069	99677	79864	81632	100902	101079	80220	79491	76686	121663	76346	95534	80304	101328	80089	89682	82313	1	93252	150267	101197	97711	101588	97704	99576	131620
GCF_002551425.1 | Streptomyces sp. b94 - ST 461:623	95449	78902	98062	78397	91650	92064	79225	78879	91894	91557	89766	119595	91636	77925	91985	96332	91605	93323	91162	93252	1	146558	79027	79297	79219	79140	97230	126904
GCF_013401535.1 | Streptomyces sp. CB04723 - ST 684:624	162058	148211	148612	147897	150028	149974	148145	148691	149387	149140	150425	156112	146980	148602	149650	145498	149481	147692	147286	150267	146558	1	149262	149806	149660	149528	149409	153326
GCF_016906185.1 | Streptomyces californicus FDAARGOS_1209 - ST 2:625	26903	789	100742	967	98071	95590	800	1344	98472	98204	96089	121479	96829	54178	98921	102959	98424	95643	98267	101197	79027	149262	1	4529	681	4473	102679	130033
GCF_016906205.1 | Streptomyces californicus FDAARGOS_1212 - ST 2:626	25228	3461	101325	3956	98336	95672	3152	4718	98376	98059	96849	121778	97296	54606	98713	101032	98355	95744	99240	97711	79297	149806	4529	1	4614	91	103409	130304
GCF_016906225.1 | Streptomyces californicus FDAARGOS_1211 - ST 2:627	27016	1198	100919	612	98285	95784	1000	891	98629	98358	96313	121570	96900	54585	99172	103014	98671	95840	98526	101588	79219	149660	681	4614	1	4532	103155	130311
GCF_016906245.1 | Streptomyces californicus FDAARGOS_1213 - ST 2:628	25172	3295	101232	3773	98380	95716	3022	4580	98419	98103	96891	121694	97190	54636	98715	101219	98399	95711	99211	97704	79140	149528	4473	91	4532	1	103246	130831
GCF_016906265.1 | Streptomyces californicus FDAARGOS_1210 - ST 128:629	117103	100626	86817	100528	98665	98159	100897	102720	98969	98572	97947	124053	98302	103215	99451	87049	98615	98053	100246	99576	97230	149409	102679	103409	103155	103246	1	135059
GCF_017311125.1 | Streptomyces sp. M54 - ST 751:630	144098	127082	130533	126765	130782	129998	127420	129114	130563	129993	129896	90530	128976	129752	130923	132702	130287	131276	131742	131620	126904	153326	130033	130304	130311	130831	135059	1
