	GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1	GCF_000177175.2 | Streptomyces sp. XylebKG-1 - ST 240:2	GCF_000239075.1 | Streptomyces sp. W007 - ST 243:3	GCF_000364805.1 | Streptomyces sp. PAMC 26508 - ST 252:4	GCF_000373405.1 | Streptomyces sp. ScaeMP-e10 - ST 253:5	GCF_000385945.1 | Streptomyces fulvissimus DSM 40593 - ST 174:6	GCF_000716025.1 | Streptomyces baarnensis NRRL B-2842 - ST 268:7	GCF_000716935.1 | Streptomyces alboviridis NRRL B-1579 - ST 38:8	GCF_000717795.1 | Streptomyces griseus NRRL WC-3480 - ST 275:9	GCF_000720395.1 | Streptomyces flavovirens NRRL B-2182 - ST 309:10	GCF_000720405.1 | Streptomyces sp. NRRL B-24051 - ST 310:11	GCF_000721595.1 | Streptomyces sp. NRRL S-325 - ST 318:12	GCF_001189025.1 | Streptomyces europaeiscabiei NCPPB 4064 - ST 349:13	GCF_001418625.1 | Streptomyces luridiscabiei NRRL B-24455 - ST 372:14	GCF_001426325.1 | Streptomyces sp. Root1295 - ST 376:15	GCF_001427565.1 | Streptomyces sp. Root63 - ST 376:16	GCF_001434355.1 | Streptomyces anulatus ATCC 11523 - ST 378:17	GCF_001723115.1 | Streptomyces griseus NRRL B-2165 - ST 12:18	GCF_001905485.1 | Streptomyces sp. TSRI0261 - ST 417:19	GCF_001905525.1 | Streptomyces sp. TSRI0395 - ST 419:20	GCF_001905575.1 | Streptomyces sp. CB00072 - ST 420:21	GCF_001905645.1 | Streptomyces sp. CB02115 - ST 421:22	GCF_002188345.1 | Streptomyces sp. CS057 - ST 441:23	GCF_002551015.1 | Streptomyces sp. wa1071 - ST 449:24	GCF_002551045.1 | Streptomyces sp. wa1063 - ST 450:25	GCF_002551055.1 | Streptomyces sp. wa1002 - ST 449:26	GCF_002551145.1 | Streptomyces sp. st115 - ST 453:27	GCF_002551225.1 | Streptomyces sp. rh206 - ST 455:28	GCF_002551305.1 | Streptomyces sp. or20 - ST 456:29	GCF_002551465.1 | Streptomyces sp. b84 - ST 463:30	GCF_002910875.1 | Streptomyces sp. SM13 - ST 480:31	GCF_002910905.1 | Streptomyces sp. SM11 - ST 481:32	GCF_002910935.1 | Streptomyces sp. B226SN101 - ST 482:33	GCF_002910985.1 | Streptomyces sp. B188M101 - ST 482:34	GCF_003116675.1 | Streptomyces sp. CS090A - ST 492:35	GCF_003367645.1 | Streptomyces sp. IB2014 011-12 - ST 503:36	GCF_003610995.1 | Streptomyces griseus ATCC 13273 - ST 509:37	GCF_004524875.1 | Streptomyces sp. S501 - ST 566:38	GCF_005234185.1 | Streptomyces sp. BPSDS2 - ST 574:39	GCF_009862355.1 | Streptomyces sp. SID7834 - ST 623:40	GCF_009865505.1 | Streptomyces sp. SID2119 - ST 637:41	GCF_009866455.1 | Streptomyces griseus CGMCC 4.18 - ST 12:42	GCF_009872615.1 | Streptomyces sp. SID5594 - ST 253:43	GCF_010548045.1 | Streptomyces anulatus SID10689 - ST 645:44	GCF_010548165.1 | Streptomyces cyaneofuscatus SID10855 - ST 646:45	GCF_010548505.1 | Streptomyces sp. SID14515 - ST 652:46	GCF_010548615.1 | Streptomyces anulatus SID505 - ST 653:47	GCF_010548705.1 | Streptomyces anulatus SID7903 - ST 655:48	GCF_010550525.1 | Streptomyces anulatus SID9598 - ST 655:49	GCF_013167895.1 | Streptomyces fulvorobeus NBRC 15897 - ST 51:50	GCF_013364315.1 | Streptomyces fulvissimus NA06532 - ST 681:51	GCF_013409565.1 | Streptomyces fulvorobeus DSM 41455 - ST 51:52	GCF_014495705.1 | Streptomyces sp. CB00271 - ST 417:53	GCF_014655335.1 | Streptomyces griseus JCM 4516 - ST 718:54	GCF_016653995.1 | Streptomyces sp. MBT58 - ST 739:55	GCF_016772455.1 | Streptomyces fulvissimus DF - ST 745:56	GCF_016901035.1 | Streptomyces sp. RHZ10 - ST 748:57	GCF_017358145.1 | Streptomyces sp. CA-256286 - ST 752:58	GCF_018070665.1 | Streptomyces sp. 404i - ST 768:59	GCF_018070745.1 | Streptomyces sp. C3-3 - ST 769:60	GCF_018530825.1 | Streptomyces sp. Tu10 - ST 772:61	GCF_018619185.1 | Streptomyces sp. McG3 - ST 776:62	GCF_019049185.1 | Streptomyces anulatus AC569_RSS891 - ST 782:63	GCF_900091905.1 | Streptomyces sp. OspMP-M43 - ST 793:64	GCF_900105705.1 | Streptomyces griseus DSM 40236 - ST 12:65	GCF_900460065.1 | Streptomyces griseus NCTC13033 - ST 12:66
GCF_000720405.1 | Streptomyces sp. NRRL B-24051 - ST 310:11	3361129	3347050	3318723	7071146	3307109	3354308	3383778	3365912	3323178	7149168	7539096	7025949	3395989	3246381	3419820	3429646	3369020	3179813	3324598	3369696	3377583	3371101	3319221	3272265	3293870	3305161	3356971	3400279	3372757	3357815	3319812	3037993	3392074	3376746	3302427	3319712	3190299	6834702	3344255	6547292	3100144	3354565	3308506	3279914	3329747	3347629	3186612	3286056	3197902	3208223	3365178	3212246	3290626	3391940	3262599	3310627	3185853	3322788	3383413	3390466	3371460	3283867	3355203	3208510	3359623	3333037
GCF_000721595.1 | Streptomyces sp. NRRL S-325 - ST 318:12	3345065	3339497	3326149	6986383	3329544	3365648	3397765	3386299	3306013	6987193	7025949	7558826	3410983	3272271	3414664	3423643	3396912	3158245	3319668	3389563	3361424	3374570	3311113	3269635	3293696	3302496	3365773	3380907	3408978	3361230	3282651	3047685	3388919	3374610	3305494	3354721	3232622	6802024	3354410	6451075	3125181	3338291	3330709	3291100	3402107	3355455	3202747	3303932	3213604	3214070	3384266	3214391	3286972	3413907	3291929	3323990	3186098	3333847	3398864	3410525	3389550	3272695	3359474	3189405	3341497	3314154
GCF_001189025.1 | Streptomyces europaeiscabiei NCPPB 4064 - ST 349:13	6552006	6554509	7474867	3388517	5473253	5506110	6360105	5548618	6413183	3400112	3395989	3410983	8624932	5334919	8295256	8305766	8157673	6172795	7275422	8082414	7444241	7848050	7321819	7314704	7311173	7332058	6365450	7618118	7770585	7352321	6065934	5573234	6334224	6295365	5446311	5394913	5083109	3360368	6403018	2930855	5068966	6554298	5472139	7316694	5431953	6288006	7100851	7256813	7040064	3097177	5560860	3095499	6970280	6359168	5376827	5483257	5838480	5531919	7354296	7398230	8175065	6568359	7128613	6255510	6575475	6520021
GCF_001418625.1 | Streptomyces luridiscabiei NRRL B-24455 - ST 372:14	5288757	5261340	5240869	3251313	6115873	6798477	5318093	6854869	5193837	3250978	3246381	3272271	5334919	7921781	5366609	5382048	5336400	5004253	5174265	5365468	5256288	5325381	5132651	5125760	5132910	5138699	5302995	5267940	5341081	5206558	5151344	4680599	5292164	5265028	6082347	5960147	5802966	3248816	5426968	2807309	5831897	5290649	6116154	5101450	6097456	5407470	5011156	5111257	4956264	3111792	7403783	3112416	5059275	5333531	7236638	7113009	4965804	7246810	5264241	5262452	5332169	5220098	5152631	5053490	5292940	5260917
GCF_001426325.1 | Streptomyces sp. Root1295 - ST 376:15	6605336	6578459	7485465	3408772	5491023	5490670	6366415	5558035	6468860	3418344	3419820	3414664	8295256	5366609	9196637	9190390	8269065	6221024	7370042	8172199	7556292	7975158	7380314	7338286	7341037	7344892	6366739	7708703	7811352	7390050	6099086	5620375	6328326	6287757	5481114	5380862	5102605	3391719	6390496	2954158	5084906	6607592	5490685	7340972	5418307	6285423	7143931	7321900	7114533	3113541	5568514	3111845	7060042	6370474	5391848	5514348	5861009	5550330	7353258	7425356	8332413	6630510	7212090	6323867	6613550	6570750
GCF_001427565.1 | Streptomyces sp. Root63 - ST 376:16	6617303	6593887	7495863	3421012	5505103	5506829	6373663	5568728	6483113	3429299	3429646	3423643	8305766	5382048	9190390	9213798	8260530	6230523	7384085	8177219	7563536	7979710	7390285	7347259	7353247	7354256	6374610	7717058	7822877	7404465	6110338	5627067	6335955	6296616	5492988	5392388	5115447	3400847	6400096	2967537	5099955	6619424	5506096	7355041	5432889	6293702	7153427	7333745	7128764	3121388	5580231	3121543	7076843	6377388	5402532	5523772	5871241	5568223	7364050	7437149	8342253	6642166	7211245	6333995	6625818	6585321
GCF_001434355.1 | Streptomyces anulatus ATCC 11523 - ST 378:17	6594635	6577211	7492455	3401304	5481557	5536501	6377703	5547707	6433808	3383615	3369020	3396912	8157673	5336400	8269065	8260530	8847108	6184474	7302489	8107414	7438177	7920965	7320598	7309412	7330821	7327390	6398808	7608365	7758337	7368666	6095501	5602868	6346962	6306994	5484265	5381648	5110020	3391085	6420572	2918030	5065742	6567850	5483446	7312198	5441820	6292392	7119349	7336885	7121300	3125528	5575599	3125977	7022346	6345747	5379213	5542989	5840506	5554859	7363379	7383828	8271941	6565698	7153697	6272578	6612275	6549795
GCF_001723115.1 | Streptomyces griseus NRRL B-2165 - ST 12:18	7931214	7522774	6162000	3166875	5107866	5066083	5625387	5085856	7316266	3166990	3179813	3158245	6172795	5004253	6221024	6230523	6184474	8102089	6006604	6161039	6159371	6244100	6107499	6092498	6105135	6111396	5606487	6053755	6234290	6168416	5432265	5081116	5600882	5571555	5109981	4974995	4738592	3145514	5685673	2726070	4711214	8045025	5107371	6055456	5033880	5684452	5940075	6097410	5921598	2952003	5129226	2953316	5761155	5607610	4999099	5095492	5326463	5123090	5967549	5964761	6189658	6525934	6093922	7218268	8117332	8025268
GCF_001905485.1 | Streptomyces sp. TSRI0261 - ST 417:19	6368771	6367769	7123174	3321801	5332426	5339774	6200964	5398023	6218803	3327519	3324598	3319668	7275422	5174265	7370042	7384085	7302489	6006604	8668234	7335901	7179814	7252120	7476897	7096591	7099099	7116641	6265887	6970646	7176141	7147797	5994350	5495689	6167090	6130457	5323965	5277515	5021270	3302180	6274961	2885735	4974921	6376533	5335519	7430607	5310232	6166972	7169126	7366375	7161719	3078456	5356758	3078262	8270557	6207471	5192010	5322028	5663494	5361101	6948049	6960525	7323196	6363883	7231120	6084486	6394306	6339530
GCF_001905525.1 | Streptomyces sp. TSRI0395 - ST 419:20	6547787	6538623	7414839	3380482	5494023	5502570	6357304	5549201	6407814	3386248	3369696	3389563	8082414	5365468	8172199	8177219	8107414	6161039	7335901	8658545	7495302	7943440	7357017	7325078	7315445	7341008	6373856	7549484	7722414	7351021	6047126	5595133	6318338	6278161	5461943	5370327	5132687	3369707	6410142	2920595	5065659	6550579	5495623	7331992	5441700	6296923	7139848	7293702	7084166	3099660	5565538	3099821	7031776	6368354	5360128	5494915	5835268	5526096	7325268	7347469	8129812	6582725	7155718	6266882	6557729	6514538
GCF_001905575.1 | Streptomyces sp. CB00072 - ST 420:21	6529127	6519980	8005053	3358528	5465041	5437193	6255819	5494751	6386233	3374109	3377583	3361424	7444241	5256288	7556292	7563536	7438177	6159371	7179814	7495302	8890378	7472011	7171746	7843132	7882281	7862275	6308035	7201908	7415380	7923532	6010058	5569891	6245064	6205546	5436189	5349000	5076595	3353949	6351819	2942790	5048550	6538393	5466086	7140468	5410519	6215573	6949904	7091095	6889550	3087268	5462075	3087418	6868394	6287927	5271520	5412114	5756936	5455157	6998836	7019724	7401342	6499053	7226695	6249047	6559406	6500802
GCF_001905645.1 | Streptomyces sp. CB02115 - ST 421:22	6624758	6588352	7406034	3394237	5510401	5488798	6354206	5506439	6458256	3400931	3371101	3374570	7848050	5325381	7975158	7979710	7920965	6244100	7252120	7943440	7472011	8690341	7333844	7321346	7316060	7330559	6369122	7638194	7800645	7363272	6045981	5570126	6302274	6261616	5500209	5403155	5156921	3381781	6383194	2925079	5123144	6631473	5508525	7308953	5447130	6283568	7127575	7318226	7096336	3129482	5549508	3128969	6941575	6356228	5353725	5521154	5847108	5533332	7322366	7341256	7915467	6569402	7145152	6337343	6640874	6601143
GCF_002188345.1 | Streptomyces sp. CS057 - ST 441:23	6491693	6488436	7150187	3310249	5342260	5317849	6132582	5390507	6317437	3331671	3319221	3311113	7321819	5132651	7380314	7390285	7320598	6107499	7476897	7357017	7171746	7333844	8351125	7107647	7116884	7130273	6164405	7054212	7330629	7163392	5906734	5462889	6146246	6110497	5310933	5246328	4969552	3288551	6212117	2882135	4928127	6487930	5347322	8028034	5268173	6068218	7741669	7960578	7751448	3061939	5351235	3061776	7188320	6150589	5158050	5304048	5632910	5332820	7021415	6982999	7328584	6297372	7143387	6196576	6514615	6455810
GCF_002551015.1 | Streptomyces sp. wa1071 - ST 449:24	6444918	6447738	7840999	3274937	5325919	5339146	6172366	5392121	6307920	3289333	3272265	3269635	7314704	5125760	7338286	7347259	7309412	6092498	7096591	7325078	7843132	7321346	7107647	8738241	8340551	8586001	6260421	7076574	7315441	8194779	5937520	5519779	6169517	6141327	5283911	5313217	4948305	3259785	6227282	2833004	4964428	6452667	5323109	7067110	5278003	6131979	6948111	7064310	6877853	2996861	5328561	2996945	6796717	6167846	5145157	5277807	5660669	5311178	6919504	6930505	7322589	6395343	7172412	6186880	6463144	6413752
GCF_002551045.1 | Streptomyces sp. wa1063 - ST 450:25	6457734	6464881	7854259	3316458	5335510	5346455	6193941	5427171	6323634	3303953	3293870	3293696	7311173	5132910	7341037	7353247	7330821	6105135	7099099	7315445	7882281	7316060	7116884	8340551	8841778	8306989	6261587	7053927	7312294	8218309	5930383	5522294	6157337	6127880	5273673	5315483	4959372	3294568	6245983	2865006	4955883	6463765	5336713	7076436	5289144	6143801	6948338	7053298	6864257	3022888	5331870	3022976	6802183	6175138	5152478	5284875	5672202	5312163	6954316	6934035	7309403	6393207	7207308	6187424	6486647	6424785
GCF_002551055.1 | Streptomyces sp. wa1002 - ST 449:26	6466211	6468043	7858828	3308333	5352765	5363110	6198667	5407267	6336635	3322027	3305161	3302496	7332058	5138699	7344892	7354256	7327390	6111396	7116641	7341008	7862275	7330559	7130273	8586001	8306989	8626931	6274960	7078625	7305213	8234783	5955234	5531923	6192659	6160941	5313939	5276756	4974042	3292669	6255168	2855057	4982920	6475230	5353594	7082386	5303807	6156739	6936251	7080008	6883471	3023303	5347627	3023380	6816167	6193944	5161893	5302179	5681880	5322837	6942134	6949496	7329524	6402451	7193053	6197568	6496850	6437771
GCF_002551145.1 | Streptomyces sp. st115 - ST 453:27	5969817	5975211	6331830	3369904	5426288	5496618	7562725	5589256	5875244	3365790	3356971	3365773	6365450	5302995	6366739	6374610	6398808	5606487	6265887	6373856	6308035	6369122	6164405	6260421	6261587	6274960	8345486	6225439	6410187	6303973	6762305	5539974	7470673	7416006	5411844	5447958	5200857	3341894	7213521	2900253	5107481	5963917	5425816	6114821	5421821	6763788	6045727	6116401	5926553	3116322	5502565	3116867	6030415	7588824	5310114	5472547	5922567	5490063	6286462	6286681	6349981	5999831	6299638	5718640	5982115	5929059
GCF_002551225.1 | Streptomyces sp. rh206 - ST 455:28	6431032	6444803	7218783	3366297	5365419	5440748	6274976	5465861	6305582	3399228	3400279	3380907	7618118	5267940	7708703	7717058	7608365	6053755	6970646	7549484	7201908	7638194	7054212	7076574	7053927	7078625	6225439	8623355	7564387	7099466	6087759	5562232	6230259	6195068	5350338	5307746	5059953	3330098	6253590	2922627	5032288	6428686	5366434	6987827	5369645	6172203	6844744	7032735	6835678	3059063	5487955	3059994	6741694	6253504	5284456	5407813	5782950	5438686	7323400	7368725	7562407	6489251	6961106	6163548	6431645	6390589
GCF_002551305.1 | Streptomyces sp. or20 - ST 456:29	6614183	6612207	7540402	3397545	5521506	5494374	6364267	5556071	6442984	3420311	3372757	3408978	7770585	5341081	7811352	7822877	7758337	6234290	7176141	7722414	7415380	7800645	7330629	7315441	7312294	7305213	6410187	7564387	9079700	7338308	6082610	5590903	6355814	6316493	5522072	5397605	5118595	3391002	6405493	2972213	5120348	6621018	5521983	7280997	5490428	6281714	7090024	7254134	7046629	3136484	5570362	3139846	6880808	6354811	5377706	5493577	5840010	5550428	7346675	7381242	7736515	6562362	7176500	6333414	6641366	6581276
GCF_002551465.1 | Streptomyces sp. b84 - ST 463:30	6522627	6544713	7864641	3359531	5431085	5415986	6260195	5459687	6408163	3357953	3357815	3361230	7352321	5206558	7390050	7404465	7368666	6168416	7147797	7351021	7923532	7363272	7163392	8194779	8218309	8234783	6303973	7099466	7338308	8714623	5994868	5566079	6227132	6191004	5376367	5346894	5033561	3336773	6305973	2896796	5003687	6540179	5431341	7111366	5370974	6200960	6938266	7110135	6908711	3070366	5413822	3070472	6847879	6247503	5239165	5359772	5738939	5386263	6995252	7041301	7362631	6427957	7248912	6232850	6564800	6505651
GCF_002910875.1 | Streptomyces sp. SM13 - ST 480:31	5766689	5791507	5993219	3290387	5191265	5371162	6769439	5384405	5647513	3308897	3319812	3282651	6065934	5151344	6099086	6110338	6095501	5432265	5994350	6047126	6010058	6045981	5906734	5937520	5930383	5955234	6762305	6087759	6082610	5994868	8436826	5686497	6805369	6779514	5178005	5194641	5051860	3260354	6697310	2875057	4942721	5744796	5188862	5872639	5226972	6438065	5730544	5859823	5687390	3081289	5372462	3084365	5843718	6733163	5166546	5306058	5875861	5339757	6054193	6080819	6037735	5924684	6001034	5493995	5777872	5734380
