	GCF_000299175.2 | Streptomyces sp. SM8 - ST 247:386	GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387	GCF_000495755.1 | Streptomyces sp. PVA 94-07 - ST 258:388	GCF_000719495.1 | Streptomyces albidoflavus NRRL F-5621 - ST 295:389	GCF_000725635.1 | Streptomyces sp. NRRL B-3253 - ST 324:390	GCF_000797385.1 | Streptomyces sp. CNQ431 - ST 330:391	GCF_000800535.1 | Streptomyces sp. M10 - ST 331:392	GCF_001014595.1 | Streptomyces sp. KE1 - ST 345:393	GCF_001431765.1 | Streptomyces sp. FR-008 - ST 377:394	GCF_001509565.1 | Streptomyces albidoflavus NRRL WC-3066 - ST 382:395	GCF_001865795.1 | Streptomyces albidoflavus OsiLf-2 - ST 411:396	GCF_002289335.1 | Streptomyces albidoflavus 132 - ST 447:397	GCF_002317005.1 | Streptomyces albidoflavus 38 - ST 447:398	GCF_002317025.1 | Streptomyces albidoflavus 138 - ST 447:399	GCF_002844215.1 | Streptomyces sp. EAG2 - ST 472:400	GCF_002910795.1 | Streptomyces sp. SM9 - ST 479:401	GCF_002910815.1 | Streptomyces sp. FM008 - ST 479:402	GCF_003687515.1 | Streptomyces sp. S5 - ST 516:403	GCF_004000395.1 | Streptomyces sp. B29(2018) - ST 548:404	GCF_004078575.1 | Streptomyces albidoflavus BSII#1 - ST 550:405	GCF_004124335.1 | Streptomyces sp. N1 - ST 553:406	GCF_004195735.1 | Streptomyces albidoflavus DSM 40455 - ST 557:407	GCF_004195745.1 | Streptomyces albidoflavus NBRC 100770 - ST 558:408	GCF_004195755.1 | Streptomyces albidoflavus NBRC 13083 - ST 110:409	GCF_004195845.1 | Streptomyces albidoflavus CGMCC 4.1681 - ST 105:410	GCF_004195855.1 | Streptomyces albidoflavus FXJ.2339 - ST 148:411	GCF_004195885.1 | Streptomyces albidoflavus NBRC 12790 - ST 107:412	GCF_004195895.1 | Streptomyces albidoflavus Ma24 - ST 559:413	GCF_004195935.1 | Streptomyces albidoflavus CR33 - ST 144:414	GCF_004195945.1 | Streptomyces albidoflavus CR10 - ST 138:415	GCF_004195955.1 | Streptomyces albidoflavus CR25 - ST 144:416	GCF_004195965.1 | Streptomyces albidoflavus Ma1 - ST 152:417	GCF_004195995.1 | Streptomyces albidoflavus CR47 - ST 146:418	GCF_004196035.1 | Streptomyces albidoflavus CR19 - ST 143:419	GCF_004196145.1 | Streptomyces albidoflavus FXJ8.031 - ST 150:420	GCF_004196155.1 | Streptomyces albidoflavus CGMCC 4.1615 - ST 150:421	GCF_004196225.1 | Streptomyces sp. SCA2-2 - ST 560:422	GCF_007896905.1 | Streptomyces albidoflavus 77 - ST 588:423	GCF_009834105.1 | Streptomyces sp. GF20 - ST 617:424	GCF_009846825.1 | Streptomyces sp. FR-008 - ST 377:425	GCF_010523235.1 | Streptomyces sp. 604F - ST 644:426	GCF_013363465.1 | Streptomyces odorifer KAI-180 - ST 673:427	GCF_013363555.1 | Streptomyces fungicidicus CAI-93 - ST 447:428	GCF_013693715.1 | Streptomyces albidoflavus J1074/R2 - ST 39:429	GCF_015601545.1 | Streptomyces albidoflavus W68 - ST 673:430	GCF_016613285.1 | Streptomyces sp. DEF1AK - ST 738:431	GCF_016613335.1 | Streptomyces sp. DEF147AK - ST 738:432	GCF_016803985.1 | Streptomyces koyangensis SCSIO 5802 - ST 746:433	GCF_017979945.1 | Streptomyces sp. 604F - ST 644:434	GCF_018619165.1 | Streptomyces sp. McG6 - ST 775:435	GCF_018619195.1 | Streptomyces sp. McG5 - ST 775:436	GCF_018619235.1 | Streptomyces sp. McG2 - ST 775:437	GCF_018638335.1 | Streptomyces sp. G11C - ST 778:438	GCF_019067045.1 | Streptomyces sp. NK08203 - ST 786:439	GCF_900091785.1 | Streptomyces sp. BvitLS-983 - ST 635:440	GCF_900091885.1 | Streptomyces sp. ScaeMP-6W - ST 632:441	GCF_900171555.1 | Streptomyces albidoflavus R-53649 - ST 802:442
GCF_001865795.1 | Streptomyces albidoflavus OsiLf-2 - ST 411:396	81087	75708	229208	240487	79021	230210	245171	234305	75679	78981	1	126237	129970	130330	250804	74073	72561	74736	75830	224176	90389	76234	78318	78660	80383	78759	79164	75865	90731	91833	91055	90652	89039	75838	77358	77275	246794	79077	75221	76186	232611	239018	138835	75389	242873	80392	80565	249237	234871	70805	74859	70664	230116	76428	77011	77841	78247
GCF_002289335.1 | Streptomyces albidoflavus 132 - ST 447:397	125377	119209	219845	228271	126005	222372	231685	221596	125406	127174	126237	1	1825	1884	235578	114901	114471	120442	122502	219898	125917	121653	123601	126029	127072	127239	126673	120615	125285	129025	125267	126493	126982	121923	122667	122481	229734	126740	123510	125586	223277	226485	17790	119047	228211	127716	127004	230376	223091	120795	124404	120481	221458	124004	125810	123249	124404
GCF_002317005.1 | Streptomyces albidoflavus 38 - ST 447:398	128670	122518	224626	235328	129565	228876	237975	227419	129720	130665	129970	1825	1	1639	240923	117358	116496	123811	126171	223513	129794	124577	127130	129258	130960	131078	130048	123872	128767	132458	128757	129660	130487	124481	125396	125269	235657	130612	126191	130012	228075	233016	18261	122226	233968	131802	131277	236421	227706	124001	128146	123756	225503	126991	130065	126860	127694
GCF_002317025.1 | Streptomyces albidoflavus 138 - ST 447:399	128809	122896	225268	235335	129843	229438	237597	227050	130779	130930	130330	1884	1639	1	241043	117905	116868	124135	126852	223888	130256	125324	127511	129893	131917	131576	130196	124344	128798	133074	128843	130172	130513	125218	125721	125762	235466	130759	127132	131059	229030	233166	18195	122951	233803	132518	132148	236444	228473	124343	128141	123470	226367	127283	130691	127430	128038
GCF_002844215.1 | Streptomyces sp. EAG2 - ST 472:400	249788	242382	253070	240986	252263	251567	247707	237984	253435	250681	250804	235578	240923	241043	1	219585	219435	237234	247298	240481	250856	246701	252348	254447	251534	254861	253250	250446	249556	249499	249872	251567	252104	248652	250063	250144	100191	254774	250671	253298	250583	243321	259898	242555	241922	254732	254664	102731	252159	227511	237233	225907	251570	249507	249437	248755	250792
GCF_002910795.1 | Streptomyces sp. SM9 - ST 479:401	60839	56361	196595	208394	59491	198359	211006	204525	70536	58665	74073	114901	117358	117905	219585	1	6214	69297	69372	196062	82582	59834	60136	60052	62431	59289	58175	68694	80949	83663	81084	80693	81260	70377	68790	68792	215000	70100	69445	70625	201147	207665	123422	56206	209323	60725	60418	215269	202229	52932	55140	52483	197791	69085	59704	71585	59504
GCF_002910815.1 | Streptomyces sp. FM008 - ST 479:402	59146	54249	196221	207582	57420	198120	210590	203416	68671	56742	72561	114471	116496	116868	219435	6214	1	67223	67647	195899	80802	57986	58006	58098	60471	57279	56362	67023	79113	81848	79245	78687	79559	68311	66980	66869	215554	68389	67799	68913	200915	206198	122519	54422	208295	59084	58772	215832	202136	51473	53515	51077	197504	66948	58128	69961	57704
GCF_003687515.1 | Streptomyces sp. S5 - ST 516:403	71286	67618	212121	227591	71286	215100	229179	220033	66792	71617	74736	120442	123811	124135	237234	69297	67223	1	68998	208672	85436	68585	69937	69846	72157	71424	69247	65687	90184	86312	90153	87946	85436	68086	62708	62755	231103	67637	71539	66708	217324	224486	129761	67601	226475	71969	71896	231845	216582	63250	66322	62846	214727	68215	70690	66037	69924
GCF_004000395.1 | Streptomyces sp. B29(2018) - ST 548:404	76170	71176	222872	235614	74231	223865	239583	230827	69748	75963	75830	122502	126171	126852	247298	69372	67647	68998	1	217380	90036	73617	75746	73173	75381	74161	72623	64318	89300	89181	89320	88383	87894	67414	69543	69451	243618	71025	65277	69709	226854	236312	132965	70774	237460	78038	77884	243401	228497	65589	68949	65568	223257	65221	72207	72381	73395
GCF_004078575.1 | Streptomyces albidoflavus BSII#1 - ST 550:405	220762	213758	48171	225786	220493	53423	230113	224122	222356	221816	224176	219898	223513	223888	240481	196062	195899	208672	217380	1	218864	216951	221915	220343	223771	221273	220456	219398	218699	220736	218780	219506	219241	217231	217791	217571	234310	224000	217361	222092	57803	223005	233211	213317	225041	221339	221637	236663	61169	208068	215105	207016	56119	220274	218547	217984	219992
GCF_004124335.1 | Streptomyces sp. N1 - ST 553:406	93321	85631	225765	238819	88340	226857	244132	234988	92740	88100	90389	125917	129794	130256	250856	82582	80802	85436	90036	218864	1	86513	88134	88201	90637	90087	87191	86290	53550	55128	53869	56514	54335	85652	87552	87253	246798	92514	88327	92362	228483	237917	138126	85710	240953	90816	91112	247118	230200	80571	85051	80512	225871	86080	88157	82901	88115
GCF_004195735.1 | Streptomyces albidoflavus DSM 40455 - ST 557:407	61988	59194	221519	235941	58194	222076	238326	228994	72069	48700	76234	121653	124577	125324	246701	59834	57986	68585	73617	216951	86513	1	30068	56639	60634	55033	54476	71914	86753	87010	87185	84644	85323	73396	71779	71814	241926	74185	71948	72669	225344	233440	133997	59081	234638	60827	60963	242117	227874	54387	57443	54480	221587	72938	54112	73017	61184
GCF_004195745.1 | Streptomyces albidoflavus NBRC 100770 - ST 558:408	63067	59855	227154	238904	60556	227524	246888	232503	73880	49275	78318	123601	127130	127511	252348	60136	58006	69937	75746	221915	88134	30068	1	58038	62016	57847	57215	74569	88384	88212	88693	86515	86763	77737	73146	72973	245732	75891	73882	74279	230430	237199	136904	59386	239618	64216	64472	246261	233029	54071	56733	53930	227696	74144	57581	75190	63545
GCF_004195755.1 | Streptomyces albidoflavus NBRC 13083 - ST 110:409	64095	56738	224403	237610	55915	226375	244211	234384	74527	57708	78660	126029	129258	129893	254447	60052	58098	69846	73173	220343	88201	56639	58038	1	57526	52081	52996	74047	86314	88196	86633	87421	86549	75359	72113	71954	249976	76278	73938	74838	228124	236942	138657	56644	238062	61661	62003	246691	230813	53589	56534	53267	226184	73307	50692	73903	62051
GCF_004195845.1 | Streptomyces albidoflavus CGMCC 4.1681 - ST 105:410	66674	61347	229019	239343	62828	231651	246644	233286	76260	61599	80383	127072	130960	131917	251534	62431	60471	72157	75381	223771	90637	60634	62016	57526	1	59693	57459	72568	87555	90404	87942	87423	90733	75034	73092	73058	245257	75130	72658	76728	235467	237355	139270	60807	239893	66224	66402	247959	236898	56158	59059	55930	232000	73640	58217	75308	65080
GCF_004195855.1 | Streptomyces albidoflavus FXJ.2339 - ST 148:411	62241	52854	226904	242000	49043	230332	244819	234545	75607	56105	78759	127239	131078	131576	254861	59289	57279	71424	74161	221273	90087	55033	57847	52081	59693	1	41139	74142	87349	91853	87446	87460	89697	74711	72602	72589	248807	76364	74043	76262	232458	238912	139449	52741	240909	61104	61594	248016	232239	53683	55923	53861	229524	74322	44424	74514	61984
GCF_004195885.1 | Streptomyces albidoflavus NBRC 12790 - ST 107:412	62292	55038	224710	237718	49619	227885	243656	234027	72914	53568	79164	126673	130048	130196	253250	58175	56362	69247	72623	220456	87191	54476	57215	52996	57459	41139	1	71590	85405	86740	85715	85869	85417	73592	73193	73109	247927	75432	72481	72825	228958	236801	139115	54944	239362	60612	60689	246637	231372	51420	54169	51423	227670	73497	45476	73584	61143
GCF_004195895.1 | Streptomyces albidoflavus Ma24 - ST 559:413	75890	70925	224707	238118	74168	224880	243155	233285	68353	73839	75865	120615	123872	124344	250446	68694	67023	65687	64318	219398	86290	71914	74569	74047	72568	74142	71590	1	86437	85753	86653	85197	84724	67644	68913	68903	244805	68498	65726	68550	227732	238069	134346	70783	240132	75578	75546	244888	230226	64415	67616	64415	225228	66190	71467	72930	74498
GCF_004195935.1 | Streptomyces albidoflavus CR33 - ST 144:414	90915	84295	225114	237139	86167	224716	242728	232555	91052	87888	90731	125285	128767	128798	249556	80949	79113	90184	89300	218699	53550	86753	88384	86314	87555	87349	85405	86437	1	53568	202	56161	54349	86198	87301	87294	244260	90749	91136	91150	227881	235478	137791	84118	238904	89745	89752	245724	230493	77613	82006	77597	227234	86635	85503	83596	86743
GCF_004195945.1 | Streptomyces albidoflavus CR10 - ST 138:415	91848	85561	227052	242134	87398	227830	244236	232796	92490	88935	91833	129025	132458	133074	249499	83663	81848	86312	89181	220736	55128	87010	88212	88196	90404	91853	86740	85753	53568	1	53536	54614	55673	85809	87115	87216	244656	92354	86482	93091	232464	237348	138720	85446	240023	90668	90777	246878	231875	81566	85706	81372	226705	86540	89579	83440	88340
GCF_004195955.1 | Streptomyces albidoflavus CR25 - ST 144:416	90869	84398	225284	237453	86510	224739	243062	232629	91249	87933	91055	125267	128757	128843	249872	81084	79245	90153	89320	218780	53869	87185	88693	86633	87942	87446	85715	86653	202	53536	1	56344	54673	86050	87632	87638	244322	90943	91348	91381	228039	235529	137927	84262	238883	89810	89945	245747	230652	77582	81886	77606	227377	86965	85342	83969	87045
GCF_004195965.1 | Streptomyces albidoflavus Ma1 - ST 152:417	90241	84265	225572	239523	86739	228608	243832	233738	89437	87316	90652	126493	129660	130172	251567	80693	78687	87946	88383	219506	56514	84644	86515	87421	87423	87460	85869	85197	56161	54614	56344	1	55104	85346	86454	86509	245128	90070	89914	89280	228903	236907	139315	84276	240469	88280	88606	246178	231403	77667	81979	77516	226809	86299	85706	80917	86188
GCF_004195995.1 | Streptomyces albidoflavus CR47 - ST 146:418	90706	83610	225671	239950	86891	226395	243470	232336	89873	86509	89039	126982	130487	130513	252104	81260	79559	85436	87894	219241	54335	85323	86763	86549	90733	89697	85417	84724	54349	55673	54673	55104	1	85239	85329	85335	245676	90639	86073	90252	229356	237443	137539	83663	239002	89011	89010	246917	230369	80344	84324	79616	225903	85556	86581	82248	86807
GCF_004196035.1 | Streptomyces albidoflavus CR19 - ST 143:419	77213	72035	222003	237025	74949	222200	242823	230918	70416	74917	75838	121923	124481	125218	248652	70377	68311	68086	67414	217231	85652	73396	77737	75359	75034	74711	73592	67644	86198	85809	86050	85346	85239	1	71364	71423	242888	71751	68901	70450	225669	235177	134253	71649	238327	77104	76786	244076	228139	66013	69323	65931	222420	69048	72622	73482	76071
GCF_004196145.1 | Streptomyces albidoflavus FXJ8.031 - ST 150:420	73735	69163	222251	237544	74579	224819	242659	232552	68621	72663	77358	122667	125396	125721	250063	68790	66980	62708	69543	217791	87552	71779	73146	72113	73092	72602	73193	68913	87301	87115	87632	86454	85329	71364	1	109	245648	71528	69175	68735	226431	236665	133384	69249	238986	74194	74475	246364	229059	64602	67885	64022	225129	69043	70918	68476	72148
GCF_004196155.1 | Streptomyces albidoflavus CGMCC 4.1615 - ST 150:421	73771	69126	222359	237590	74502	224780	242632	232465	68521	72851	77275	122481	125269	125762	250144	68792	66869	62755	69451	217571	87253	71814	72973	71954	73058	72589	73109	68903	87294	87216	87638	86509	85335	71423	109	1	245674	71577	68989	68484	226166	236645	133053	69212	239023	74282	74479	246150	229096	64457	67861	63878	225123	68870	70936	68478	72055
GCF_004196225.1 | Streptomyces sp. SCA2-2 - ST 560:422	244993	237981	244312	235651	247008	243673	240028	230231	248167	246787	246794	229734	235657	235466	100191	215000	215554	231103	243618	234310	246798	241926	245732	249976	245257	248807	247927	244805	244260	244656	244322	245128	245676	242888	245648	245674	1	250174	245382	248228	243262	236036	251563	237992	235761	249624	249393	54424	245319	222213	231929	220432	242956	245232	243827	243940	242893
GCF_007896905.1 | Streptomyces albidoflavus 77 - ST 588:423	78713	72773	227419	241336	77827	229733	245771	235119	72446	75493	79077	126740	130612	130759	254774	70100	68389	67637	71025	224000	92514	74185	75891	76278	75130	76364	75432	68498	90749	92354	90943	90070	90639	71751	71528	71577	250174	1	69843	71774	233160	239013	140309	72583	242523	78583	78857	247005	235247	66291	70946	66980	230893	70804	73543	76417	75567
GCF_009834105.1 | Streptomyces sp. GF20 - ST 617:424	76767	70725	223135	235491	73930	224319	241302	231801	69152	73790	75221	123510	126191	127132	250671	69445	67799	71539	65277	217361	88327	71948	73882	73938	72658	74043	72481	65726	91136	86482	91348	89914	86073	68901	69175	68989	245382	69843	1	68633	226697	234964	135724	71106	238249	77208	77252	247787	228729	65026	68160	64463	225554	65758	72409	74198	73686
GCF_009846825.1 | Streptomyces sp. FR-008 - ST 377:425	76543	69988	226692	242046	74728	228803	244084	234887	2105	73976	76186	125586	130012	131059	253298	70625	68913	66708	69709	222092	92362	72669	74279	74838	76728	76262	72825	68550	91150	93091	91381	89280	90252	70450	68735	68484	248228	71774	68633	1	231400	238356	138644	70059	239956	77414	77180	248756	231837	65980	69419	65579	230792	70674	74420	74505	72592
GCF_010523235.1 | Streptomyces sp. 604F - ST 644:426	228395	222733	48203	238784	227967	32731	243916	232494	232283	228814	232611	223277	228075	229030	250583	201147	200915	217324	226854	57803	228483	225344	230430	228124	235467	232458	228958	227732	227881	232464	228039	228903	229356	225669	226431	226166	243262	233160	226697	231400	1	235094	243089	222934	236957	231516	231468	246012	4827	210073	219631	209497	34293	227897	227970	226744	229353
GCF_013363465.1 | Streptomyces odorifer KAI-180 - ST 673:427	235319	231065	232890	26146	235158	233217	36179	157597	238307	239067	239018	226485	233016	233166	243321	207665	206198	224486	236312	223005	237917	233440	237199	236942	237355	238912	236801	238069	235478	237348	235529	236907	237443	235177	236665	236645	236036	239013	234964	238356	235094	1	248034	231282	30052	238375	238474	235071	236664	214868	224333	213262	232059	235307	233594	235325	235670
GCF_013363555.1 | Streptomyces fungicidicus CAI-93 - ST 447:428	137969	131514	240966	251056	138442	243953	254965	243712	138750	137221	138835	17790	18261	18195	259898	123422	122519	129761	132965	233211	138126	133997	136904	138657	139270	139449	139115	134346	137791	138720	137927	139315	137539	134253	133384	133053	251563	140309	135724	138644	243089	248034	1	131193	251664	139423	138565	252462	244901	125311	130754	124248	241750	136650	136746	134850	136823
GCF_013693715.1 | Streptomyces albidoflavus J1074/R2 - ST 39:429	61272	465	218547	230406	56853	218878	235195	225346	70201	58737	75389	119047	122226	122951	242555	56206	54422	67601	70774	213317	85710	59081	59386	56644	60807	52741	54944	70783	84118	85446	84262	84276	83663	71649	69249	69212	237992	72583	71106	70059	222934	231282	131193	1	232950	58834	58893	239905	225560	50807	53773	51052	219501	71511	53040	70668	54406
GCF_015601545.1 | Streptomyces albidoflavus W68 - ST 673:430	237954	232675	235379	29776	237758	233446	37244	159635	239923	239298	242873	228211	233968	233803	241922	209323	208295	226475	237460	225041	240953	234638	239618	238062	239893	240909	239362	240132	238904	240023	238883	240469	239002	238327	238986	239023	235761	242523	238249	239956	236957	30052	251664	232950	1	240219	240255	236735	239276	216505	225896	215059	233767	237823	235143	237875	237859
GCF_016613285.1 | Streptomyces sp. DEF1AK - ST 738:431	66311	58936	229212	240512	61052	229828	245213	235640	76964	62477	80392	127716	131802	132518	254732	60725	59084	71969	78038	221339	90816	60827	64216	61661	66224	61104	60612	75578	89745	90668	89810	88280	89011	77104	74194	74282	249624	78583	77208	77414	231516	238375	139423	58834	240219	1	5518	247934	233166	55947	59125	55867	229997	75848	62379	77141	55257
GCF_016613335.1 | Streptomyces sp. DEF147AK - ST 738:432	66078	59005	229120	240032	60703	229683	244978	235509	76584	62678	80565	127004	131277	132148	254664	60418	58772	71896	77884	221637	91112	60963	64472	62003	66402	61594	60689	75546	89752	90777	89945	88606	89010	76786	74475	74479	249393	78857	77252	77180	231468	238474	138565	58893	240255	5518	1	248037	233175	55632	59400	55651	230037	75857	62099	77391	54910
GCF_016803985.1 | Streptomyces koyangensis SCSIO 5802 - ST 746:433	244549	239962	247007	235523	246668	246318	241793	230741	248860	245459	249237	230376	236421	236444	102731	215269	215832	231845	243401	236663	247118	242117	246261	246691	247959	248016	246637	244888	245724	246878	245747	246178	246917	244076	246364	246150	54424	247005	247787	248756	246012	235071	252462	239905	236735	247934	248037	1	248356	223034	232349	221291	245998	244065	244618	243213	245045
