	GCF_000261345.2 | Streptomyces globisporus C-1027 - ST 245:245	GCF_000498935.1 | Streptomyces sp. HCCB10043 - ST 259:246	GCF_000698495.1 | Streptomyces sp. NTK 937 - ST 265:247	GCF_000719355.1 | Streptomyces griseus NRRL F-5144 - ST 292:248	GCF_000721185.1 | Streptomyces griseolus NRRL B-2925 - ST 314:249	GCF_000743295.1 | Streptomyces sp. JS01 - ST 329:250	GCF_001746305.1 | Streptomyces sp. EN23 - ST 408:251	GCF_001751305.1 | Streptomyces nanshensis SCSIO M10372 - ST 410:252	GCF_001905405.1 | Streptomyces sp. TSRI0445 - ST 416:253	GCF_001905785.1 | Streptomyces sp. CB02130 - ST 422:254	GCF_002154385.1 | Streptomyces albovinaceus NRRL B-2566 - ST 24:255	GCF_002217715.1 | Streptomyces sp. SS07 - ST 442:256	GCF_002551105.1 | Streptomyces sp. st170 - ST 451:257	GCF_002551135.1 | Streptomyces sp. st140 - ST 452:258	GCF_002551175.1 | Streptomyces sp. st77 - ST 454:259	GCF_002551335.1 | Streptomyces sp. ms184 - ST 457:260	GCF_002551345.1 | Streptomyces sp. ms115 - ST 458:261	GCF_002551375.1 | Streptomyces sp. gb14 - ST 459:262	GCF_002551415.1 | Streptomyces sp. f51 - ST 460:263	GCF_002551435.1 | Streptomyces sp. f150 - ST 462:264	GCF_002551475.1 | Streptomyces sp. b62 - ST 464:265	GCF_002705695.1 | Streptomyces sp. OspMP-M45 - ST 465:266	GCF_002803175.1 | Streptomyces sp. CB02613 - ST 469:267	GCF_002804165.1 | Streptomyces cavourensis 1AS2a - ST 470:268	GCF_002832675.1 | Streptomyces sp. S063 - ST 471:269	GCF_002910775.2 | Streptomyces sp. SM18 - ST 478:270	GCF_003024215.1 | Streptomyces sp. CS149 - ST 486:271	GCF_003116755.1 | Streptomyces sp. CS131 - ST 494:272	GCF_003116775.1 | Streptomyces sp. CS147 - ST 495:273	GCF_003147545.1 | Streptomyces globisporus TFH56 - ST 338:274	GCF_003330865.1 | Streptomyces atratus SCSIO_ZH16 - ST 499:275	GCF_003352445.1 | Streptomyces cavourensis TJ430 - ST 500:276	GCF_003353555.1 | Streptomyces sp. HB202 - ST 501:277	GCF_003949895.1 | Streptomyces sp. WAC04770 - ST 535:278	GCF_003989035.1 | Streptomyces sp. NP10 - ST 546:279	GCF_004000405.1 | Streptomyces sp. B27 - ST 549:280	GCF_006788935.1 | Streptomyces cavourensis DSM 41795 - ST 583:281	GCF_008180165.1 | Streptomyces parvus C05 - ST 595:282	GCF_008632535.1 | Streptomyces parvus NRRL B-1455 - ST 596:283	GCF_009811575.1 | Streptomyces glebosus NBRC 13786 - ST 614:284	GCF_009862465.1 | Streptomyces sp. SID4941 - ST 624:285	GCF_009863145.1 | Streptomyces sp. SID4937 - ST 631:286	GCF_009863235.1 | Streptomyces sp. SID4925 - ST 465:287	GCF_009864905.1 | Streptomyces sp. SID8378 - ST 633:288	GCF_009865365.1 | Streptomyces sp. SID4912 - ST 260:289	GCF_009872565.1 | Streptomyces sp. SID5614 - ST 642:290	GCF_010548175.1 | Streptomyces halstedii SID11342 - ST 647:291	GCF_010548665.1 | Streptomyces parvus SID7590 - ST 654:292	GCF_013363455.1 | Streptomyces sp. CAI-121 - ST 672:293	GCF_013363475.1 | Streptomyces sp. KAI-26 - ST 674:294	GCF_013363655.1 | Streptomyces sp. CAI 127 - ST 676:295	GCF_013363665.1 | Streptomyces sp. CAI-68 - ST 672:296	GCF_013363675.1 | Streptomyces sp. CAI-24 - ST 677:297	GCF_013363735.1 | Streptomyces sp. CAI-155 - ST 678:298	GCF_014648655.1 | Streptomyces atratus JCM 3386 - ST 702:299	GCF_014648875.1 | Streptomyces parvus JCM 4069 - ST 596:300	GCF_014649215.1 | Streptomyces cavourensis JCM 4298 - ST 583:301	GCF_014649535.1 | Streptomyces gelaticus JCM 4376 - ST 706:302	GCF_014649875.1 | Streptomyces rubiginosohelvolus JCM 4415 - ST 708:303	GCF_014656235.1 | Streptomyces glebosus JCM 4954 - ST 614:304	GCF_016612575.1 | Streptomyces sp. MBT67 - ST 734:305	GCF_016612645.1 | Streptomyces sp. MBT61 - ST 734:306	GCF_016612665.1 | Streptomyces sp. MBT60 - ST 736:307	GCF_016612705.1 | Streptomyces sp. MBT56 - ST 737:308	GCF_016612725.1 | Streptomyces sp. MBT54 - ST 737:309	GCF_016612775.1 | Streptomyces sp. MBT98 - ST 737:310	GCF_016654055.1 | Streptomyces sp. MBT55 - ST 740:311	GCF_016654065.1 | Streptomyces sp. MBT59 - ST 734:312	GCF_900090065.1 | Streptomyces sp. OspMP-M45 - ST 465:313	GCF_900091745.1 | Streptomyces sp. DpondAA-D4 - ST 260:314	GCF_900091765.1 | Streptomyces sp. PalvLS-984 - ST 624:315	GCF_900091775.1 | Streptomyces sp. ScaeMP-e83 - ST 631:316	GCF_900091865.1 | Streptomyces sp. DvalAA-19 - ST 791:317	GCF_900092005.1 | Streptomyces sp. Cmuel-A718b - ST 794:318	GCF_900187925.1 | Streptomyces sp. PgraA7 - ST 633:319
GCF_002551105.1 | Streptomyces sp. st170 - ST 451:257	268534	268711	418273	259394	412721	263860	362671	508421	44017	269221	36160	259163	1	262949	351373	238640	257376	270599	266695	257602	258769	412603	314137	536948	363686	415680	344069	351680	346984	39392	423408	538863	38073	498273	258658	527826	538164	332662	342804	220208	404903	553704	412603	351621	414712	264524	405842	308437	340276	540931	339879	340062	539800	536875	420571	351355	538307	405889	259949	220727	254386	253680	251524	157117	158862	160756	161801	253853	412603	413944	404743	553573	532843	346614	351621
GCF_002551135.1 | Streptomyces sp. st140 - ST 452:258	229081	258248	415971	127276	416103	146814	351675	506548	265180	232244	234274	146569	262949	1	337066	217498	146131	181263	177442	124999	130115	416058	302757	532698	353709	416598	332366	331365	332426	261536	425493	532496	268258	495373	129088	525486	535107	320520	326839	224821	413307	552128	416058	333985	414601	174899	407380	300782	330663	533488	331338	330332	534452	535931	425695	333824	535037	413747	128044	225127	143214	142733	144301	252959	254637	257471	259127	143273	416058	413817	413170	551981	533694	332648	333985
GCF_002551175.1 | Streptomyces sp. st77 - ST 454:259	339465	191942	416148	337527	416659	329735	347944	511155	351017	341960	312922	327897	351373	337066	1	326745	329844	342254	332536	338933	340732	418181	154128	542168	351194	420419	226705	169820	48436	350933	423871	541087	355325	500869	338555	532306	541208	215495	161917	222637	410346	559195	418181	48187	415932	332323	408489	206780	213296	543967	213157	212961	541523	542188	423539	166939	541308	414694	337206	222648	324417	323618	320062	336542	338980	341144	344097	323025	418181	415006	410168	558975	536749	163815	48187
GCF_002551335.1 | Streptomyces sp. ms184 - ST 457:260	182238	253374	415709	215243	417361	216053	339348	509273	242184	182603	216013	214736	238640	217498	326745	1	215685	228092	226221	219582	216810	416799	291930	538502	342841	414789	322410	326256	323843	239451	420290	539886	245507	508820	214304	522590	536761	319371	318643	222089	411085	555914	416799	327005	415069	219858	405415	304570	327555	539178	328899	327058	539867	535530	419186	325300	536466	410825	214545	222392	211050	211072	207925	242041	243057	245096	247282	210499	416799	414260	410872	555700	546450	328224	327005
GCF_002551345.1 | Streptomyces sp. ms115 - ST 458:261	220907	255992	415592	148575	419178	91400	348964	508172	262302	220773	230023	85659	257376	146131	329844	215685	1	177040	172322	144037	148812	417546	299742	541679	349175	413761	328664	329495	329823	257455	422107	541287	262351	501389	149270	528094	541171	319958	322136	224225	409951	553420	417546	330700	416419	169882	408126	302035	328397	541064	327409	328016	541603	541019	422808	329429	541327	417930	151207	224887	96127	96153	63104	254166	256121	257742	258687	95945	417546	415623	409807	553177	540311	327952	330700
GCF_002551375.1 | Streptomyces sp. gb14 - ST 459:262	235242	258365	417430	181110	420532	177973	356138	518193	271342	236850	243400	176349	270599	181263	342254	228092	177040	1	73858	181533	180064	420992	308268	544870	359313	417271	337821	345774	339329	271272	427031	544108	272160	507760	178743	533859	542589	329310	334110	222503	412708	557969	420992	342327	420213	71369	408022	310685	338744	540319	341421	338645	540983	541477	426450	342563	542569	415390	180939	222639	175985	175503	174781	268230	269853	271886	274466	176472	420992	419136	412511	557854	544853	343757	342327
GCF_002551415.1 | Streptomyces sp. f51 - ST 460:263	228517	257091	412801	176103	414063	172570	349866	509539	265846	229981	236896	172056	266695	177442	332536	226221	172322	73858	1	179679	175704	413527	301693	534553	351216	414832	331637	337799	329762	264751	416487	532741	266618	507311	173950	524753	530719	328678	328270	220553	408337	548725	413527	333383	412463	62004	402768	309344	335452	532714	335979	335247	531780	533697	415453	335373	530894	411616	174884	220991	170781	170281	169706	262956	264805	266837	269208	171124	413527	411749	408176	548499	538302	338380	333383
GCF_002551435.1 | Streptomyces sp. f150 - ST 462:264	226294	259944	416395	115811	420097	147608	353160	519924	260565	229405	230350	145872	257602	124999	338933	219582	144037	181533	179679	1	118081	418792	308247	540826	356102	418933	336099	337827	335730	257448	429101	538926	263579	507133	118092	532157	538698	329155	332393	223314	411413	559056	418792	336325	418718	176814	407144	307606	336854	538958	337929	336963	538985	538250	428817	339797	538785	419030	116726	224348	142172	142367	140713	253139	255770	257596	259837	142633	418792	417976	411234	558957	550451	341049	336325
GCF_002551475.1 | Streptomyces sp. b62 - ST 464:265	229248	260448	418415	33202	420732	149232	357163	512904	259429	227467	230826	148339	258769	130115	340732	216810	148812	180064	175704	118081	1	419636	304700	545069	362506	416478	336890	335442	337928	258739	425399	544192	261284	504857	32194	534074	543273	325517	330323	224390	414004	561817	419636	341794	419662	172694	409738	303162	333541	545771	336396	333499	543954	544191	427007	337155	543383	417229	32390	224927	148361	148556	147523	251096	252787	254606	257884	148551	419636	419049	413789	561571	541580	333558	341794
GCF_002705695.1 | Streptomyces sp. OspMP-M45 - ST 465:266	417969	356138	91879	421148	53558	419542	409653	383300	417431	417948	388253	418120	412603	416058	418181	416799	417546	420992	413527	418792	419636	1	405378	415748	408762	248620	415767	417889	414847	414850	393763	414955	418885	404360	419914	407143	415472	418623	415471	203669	111089	437777	0	417452	48625	414410	235479	391848	416735	415751	414869	416516	413971	414979	395780	419205	415264	388366	421507	204065	413943	411944	407555	409301	410206	414678	414535	411065	0	48001	110858	437632	421860	415508	417452
GCF_002803175.1 | Streptomyces sp. CB02613 - ST 469:267	309077	174895	405465	303618	405543	298386	312438	473303	312889	311698	277802	298930	314137	302757	154128	291930	299742	308268	301693	308247	304700	405378	1	499495	314741	408083	201583	126507	154891	314425	411414	499299	316133	463306	302992	496218	503205	193122	119035	219486	400872	513496	405796	153109	404994	302656	397431	185453	187870	499608	186239	187341	500428	502187	410640	122597	502982	405376	304294	219767	291788	291204	291015	303070	305884	307210	307692	290143	405796	403698	400691	513382	499485	120530	153109
GCF_002804165.1 | Streptomyces cavourensis 1AS2a - ST 470:268	543770	425849	410569	545222	414366	539641	520640	231826	542385	545698	490715	543150	536948	532698	542168	538502	541679	544870	534553	540826	545069	415748	499495	1	525535	421061	543973	541523	542275	547712	406037	47355	543858	121953	545511	250863	47906	535542	536117	220820	411841	507887	416910	545385	414974	536048	406752	503602	548847	44131	548181	548584	43768	43081	402873	543400	47598	406249	548647	220209	528126	528318	529682	528631	529794	535874	536229	525394	416910	414441	411624	507670	140418	536898	545385
GCF_002832675.1 | Streptomyces sp. S063 - ST 471:269	357288	259602	412722	359663	409972	354339	53142	493136	366457	355365	330113	350264	363686	353709	351194	342841	349175	359313	351216	356102	362506	408762	314741	525535	1	413318	345529	342356	348675	366636	403388	525259	368978	484612	358397	516246	523013	328599	334432	210788	404346	535301	408877	349161	408831	348970	399991	300960	337564	523330	342352	337393	524302	523828	405703	343574	522276	398421	358725	210633	341659	340446	340995	349002	349787	353430	354326	339894	408877	408143	404150	535168	517174	338506	349161
GCF_002910775.2 | Streptomyces sp. SM18 - ST 478:270	418464	354583	244218	418796	246554	420121	410665	390724	419660	418804	390705	415507	415680	416598	420419	414789	413761	417271	414832	418933	416478	248620	408083	421061	413318	1	416176	419162	420362	417394	395975	419583	423096	404028	416980	414347	418554	427144	416912	202588	240637	438244	248644	421726	248077	414967	100480	392906	422383	420059	419965	421825	419151	419286	396710	419684	418023	392830	420334	202043	406679	405030	405564	411185	412960	417423	416670	403899	248644	246491	240121	438095	423192	417557	421726
GCF_003024215.1 | Streptomyces sp. CS149 - ST 486:271	339470	176088	417153	335805	415767	330848	343790	511502	346745	338389	308668	331032	344069	332366	226705	322410	328664	337821	331637	336099	336890	415767	201583	543973	345529	416176	1	220832	223178	345463	422807	542848	347436	497199	336228	536670	546928	121075	215612	222059	410582	555739	416694	224093	418403	330553	405653	163981	206093	544994	204793	206007	543074	544923	423219	221574	546260	413859	337323	222352	321899	321015	317504	331413	333909	336218	336970	319242	416694	417507	410321	555662	539029	216892	224093
GCF_003116755.1 | Streptomyces sp. CS131 - ST 494:272	340559	187782	419547	336074	417604	330919	338970	518536	349150	344231	310354	329939	351680	331365	169820	326256	329495	345774	337799	337827	335442	417889	126507	541523	342356	419162	220832	1	169420	352422	427198	541217	353344	504034	335317	532763	542305	209952	103320	220607	413185	551912	418173	170680	419824	337694	407936	199584	206997	541668	207015	206831	541447	540926	424981	105716	541123	415804	335343	221722	323251	321707	319124	341109	342697	345537	345181	320865	418173	418488	412933	551674	543578	98937	170680
GCF_003116775.1 | Streptomyces sp. CS147 - ST 495:273	337731	188961	415238	336049	415917	327696	341986	511147	349020	339495	309986	327470	346984	332426	48436	323843	329823	339329	329762	335730	337928	414847	154891	542275	348675	420362	223178	169420	1	348988	421280	541464	350834	499676	337670	532246	542029	212828	161444	220837	409376	555693	415293	45131	415600	329616	407022	202720	209577	543129	209368	209546	539792	542356	420887	166288	541722	415078	336908	221131	321746	320318	319198	335480	337351	339830	341595	319582	415293	414639	409229	555487	535168	162643	45131
GCF_003147545.1 | Streptomyces globisporus TFH56 - ST 338:274	265537	267443	414673	258560	415552	260034	363993	511040	28469	266286	37013	258701	39392	261536	350933	239451	257455	271272	264751	257448	258739	414850	314425	547712	366636	417394	345463	352422	348988	1	426177	547308	37827	503392	258655	532795	546777	332879	341461	221580	408174	558366	415595	350358	415948	263346	406326	307051	342813	547078	342900	342498	547282	546353	425790	349408	546033	409540	260634	221090	251472	250874	250668	153250	154476	155679	157502	251607	415595	415265	407993	558153	539358	346203	350358
GCF_003330865.1 | Streptomyces atratus SCSIO_ZH16 - ST 499:275	421790	364517	393225	426851	393729	427796	400464	386906	423746	421088	399611	425155	423408	425493	423871	420290	422107	427031	416487	429101	425399	393763	411414	406037	403388	395975	422807	427198	421280	426177	1	407189	428741	388065	428547	401551	407333	420932	418666	227628	392042	435417	394061	427250	392097	417989	383282	395809	423906	407965	420921	423529	406238	406997	101087	423221	406814	522887	427223	226958	422722	421173	417992	419900	422059	425747	424068	418237	394061	391373	391838	435199	412625	422765	427250
GCF_003352445.1 | Streptomyces cavourensis TJ430 - ST 500:276	544287	427185	411895	543959	413662	540618	521847	235173	545035	547161	491915	546189	538863	532496	541087	539886	541287	544108	532741	538926	544192	414955	499299	47355	525259	419583	542848	541217	541464	547308	407189	1	546239	121756	544898	252529	38856	535250	535800	219783	410249	507209	416335	543422	416174	534975	406171	506147	550091	42905	548697	549867	40933	44216	402390	543027	38629	403757	547194	219473	528207	528356	528948	529916	531745	537770	537655	525799	416335	415586	410030	507038	140617	537754	543422
GCF_003353555.1 | Streptomyces sp. HB202 - ST 501:277	266462	267723	421774	260016	419262	266612	366198	515055	42440	270142	32404	263383	38073	268258	355325	245507	262351	272160	266618	263579	261284	418885	316133	543858	368978	423096	347436	353344	350834	37827	428741	546239	1	504490	259901	530786	541969	338011	341751	220436	411076	557087	418748	355258	420056	263940	409962	308703	344613	544234	345473	344212	544223	541341	424485	350237	541161	409999	260952	220687	255987	254236	254542	154901	155807	157538	158309	254549	418748	419007	410876	556935	536695	347772	355258
GCF_003949895.1 | Streptomyces sp. WAC04770 - ST 535:278	501526	403118	395924	501283	406420	499842	482674	204591	502992	504110	458754	498806	498273	495373	500869	508820	501389	507760	507311	507133	504857	404360	463306	121953	484612	404028	497199	504034	499676	503392	388065	121756	504490	1	501493	221090	121189	507054	496948	217442	394438	462996	403677	500962	407156	500380	398414	483164	507917	121745	504642	507113	121317	122700	385274	500067	120852	387946	504894	218105	492176	490941	492800	496261	497791	501955	503844	489900	403677	407030	394225	462890	99109	506350	500962
