	GCF_000718705.1 | Streptomyces lavendulae NRRL WC-3542 - ST 286:67	GCF_000719625.1 | Streptomyces sp. NRRL B-1322 - ST 286:68	GCF_000720235.1 | Streptomyces sp. NRRL S-98 - ST 18:69	GCF_000720455.1 | Streptomyces virginiae NRRL ISP-5094 - ST 18:70	GCF_000966965.1 | Streptomyces sp. NRRL S-104 - ST 18:71	GCF_001279445.1 | Streptomyces sp. WM6349 - ST 355:72	GCF_001279485.1 | Streptomyces sp. XY511 - ST 355:73	GCF_001279495.1 | Streptomyces sp. H021 - ST 357:74	GCF_001279685.1 | Streptomyces sp. WM6373 - ST 359:75	GCF_001279765.1 | Streptomyces sp. XY413 - ST 361:76	GCF_001279815.1 | Streptomyces sp. XY37 - ST 362:77	GCF_001279845.1 | Streptomyces sp. XY533 - ST 355:78	GCF_001279855.1 | Streptomyces sp. XY58 - ST 362:79	GCF_001279885.1 | Streptomyces sp. XY593 - ST 355:80	GCF_001279905.1 | Streptomyces sp. XY66 - ST 363:81	GCF_001279925.1 | Streptomyces sp. H036 - ST 355:82	GCF_001279935.1 | Streptomyces sp. IGB124 - ST 364:83	GCF_001279965.1 | Streptomyces sp. MMG1064 - ST 362:84	GCF_004795115.1 | Streptomyces sp. A0592 - ST 570:85	GCF_008086975.1 | Streptomyces sp. WAC5950 substr. delta orf15 pCRISPomyces - ST 593:86	GCF_014217585.1 | Streptomyces sp. INR7 - ST 355:87	GCF_017876235.1 | Streptomyces cinnamonensis DSM 40803 - ST 286:88
GCF_001279855.1 | Streptomyces sp. XY58 - ST 362:79	264110	263216	61985	58779	59106	232938	246243	31944	30747	36085	1914	262114	1	263876	36151	263704	33740	2248	460840	204972	261241	262275
GCF_001279885.1 | Streptomyces sp. XY593 - ST 355:80	43531	43196	265041	265730	260273	35973	36397	263239	262340	264595	264425	38549	263876	1	264632	39853	264531	264185	468570	30816	38415	41892
GCF_001279905.1 | Streptomyces sp. XY66 - ST 363:81	264511	264181	63930	62688	60852	233675	246585	31610	33751	35493	35866	264581	36151	264632	1	278933	33388	35685	467291	207863	264002	265902
GCF_001279925.1 | Streptomyces sp. H036 - ST 355:82	40588	40054	262496	265192	257988	2716	37022	262681	261312	265364	264018	36967	263704	39853	278933	1	265942	264499	469314	29506	39459	38232
GCF_001279935.1 | Streptomyces sp. IGB124 - ST 364:83	263945	263328	64506	62149	62019	234609	248091	28682	29406	35355	33305	261961	33740	264531	33388	265942	1	33363	467867	206452	261765	265537
GCF_001279965.1 | Streptomyces sp. MMG1064 - ST 362:84	264314	263523	61849	58716	59103	233533	247047	31309	30462	35726	1663	261985	2248	264185	35685	264499	33363	1	461396	204435	261290	262967
GCF_004795115.1 | Streptomyces sp. A0592 - ST 570:85	469902	468955	464749	468878	462402	416562	441111	466028	466585	467274	462202	464901	460840	468570	467291	469314	467867	461396	1	376046	468558	468233
GCF_008086975.1 | Streptomyces sp. WAC5950 substr. delta orf15 pCRISPomyces - ST 593:86	32872	32654	202671	205702	200124	29808	28094	204818	205294	206027	204621	30052	204972	30816	207863	29506	206452	204435	376046	1	27228	31721
GCF_014217585.1 | Streptomyces sp. INR7 - ST 355:87	41686	41032	262268	265809	257562	36112	34033	261611	261615	263179	262055	38027	261241	38415	264002	39459	261765	261290	468558	27228	1	39496
GCF_017876235.1 | Streptomyces cinnamonensis DSM 40803 - ST 286:88	45125	44715	261464	266804	257112	34498	39579	261535	263544	264036	263588	37784	262275	41892	265902	38232	265537	262967	468233	31721	39496	1
