	GCF_000331185.2 | Streptomyces rimosus ATCC 10970 - ST 249:652	GCF_000707925.2 | Streptomyces rimosus R6-500 - ST 249:653	GCF_000716515.1 | Streptomyces rimosus NRRL B-16073 - ST 269:654	GCF_000716845.1 | Streptomyces capuensis NRRL B-12337 - ST 249:655	GCF_000717285.1 | Streptomyces rimosus NRRL ISP-5260 - ST 249:656	GCF_000718295.1 | Streptomyces capuensis NRRL B-3501 - ST 249:657	GCF_000718675.1 | Streptomyces rimosus NRRL WC-3930 - ST 285:658	GCF_000718715.1 | Streptomyces rimosus NRRL WC-3874 - ST 249:659	GCF_000718815.1 | Streptomyces sp. NRRL WC-3703 - ST 249:660	GCF_000718835.1 | Streptomyces rimosus NRRL WC-3876 - ST 249:661	GCF_000718865.1 | Streptomyces rimosus NRRL WC-3882 - ST 249:662	GCF_000720565.1 | Streptomyces rimosus NRRL WC-3925 - ST 249:663	GCF_000720605.1 | Streptomyces rimosus NRRL WC-3558 - ST 249:664	GCF_000720715.1 | Streptomyces rimosus NRRL WC-3900 - ST 249:665	GCF_000721045.1 | Streptomyces rimosus NRRL B-2626 - ST 249:666	GCF_000721665.1 | Streptomyces rimosus NRRL WC-3929 - ST 285:667	GCF_000725565.1 | Streptomyces peucetius NRRL WC-3868 - ST 323:668	GCF_001279015.1 | Streptomyces rimosus NRRL WC-3909 - ST 249:669	GCF_001279025.1 | Streptomyces sp. NRRL WC-3701 - ST 249:670	GCF_001279065.1 | Streptomyces rimosus NRRL WC-3869 - ST 323:671	GCF_001279075.1 | Streptomyces rimosus NRRL WC-3875 - ST 249:672	GCF_001279095.1 | Streptomyces rimosus NRRL WC-3899 - ST 249:673	GCF_001279105.1 | Streptomyces rimosus NRRL WC-3873 - ST 249:674	GCF_001279345.1 | Streptomyces rimosus NRRL WC-3896 - ST 352:675	GCF_001279365.1 | Streptomyces sp. NRRL F-5755 - ST 353:676	GCF_001279375.1 | Streptomyces rimosus NRRL WC-3898 - ST 249:677	GCF_001507395.1 | Streptomyces rimosus NRRL WC-3897 - ST 249:678	GCF_003947575.1 | Streptomyces sp. WAC 06783 - ST 528:679	GCF_003947585.1 | Streptomyces sp. WAC 06725 - ST 529:680	GCF_003994375.1 | Streptomyces lydicus WYEC 108 - ST 547:681	GCF_004125265.1 | Streptomyces lydicus ATCC 31975 - ST 554:682	GCF_004125275.1 | Streptomyces lydicus SW_ACT1 - ST 547:683	GCF_006229535.1 | Streptomyces rimosus WT5260 - ST 249:684	GCF_008087005.1 | Streptomyces sp. WAC01526 - ST 594:685	GCF_008704655.1 | Streptomyces rimosus ATCC 10970 - ST 249:686	GCF_009811595.1 | Streptomyces libani NBRC 13452 - ST 92:687	GCF_009811635.1 | Streptomyces tubercidicus NBRC 13090 - ST 59:688
GCF_000718865.1 | Streptomyces rimosus NRRL WC-3882 - ST 249:662	1920	1854	100561	1359	1731	1820	195260	2297	1767	1904	1	2523	1831	1602	1775	201097	156178	2417	1739	153288	1638	1874	2341	102447	254396	2016	1730	99814	95453	362784	355080	363093	1752	369477	3181	366796	350239
GCF_000720565.1 | Streptomyces rimosus NRRL WC-3925 - ST 249:663	1735	2145	114184	1993	2346	2341	221419	2666	1952	2351	2523	1	2084	2371	2040	227187	180358	2042	1750	177208	1696	1792	2244	115711	288756	2366	1948	115041	109484	385881	375710	386347	1553	394747	1793	392111	371394
GCF_000720605.1 | Streptomyces rimosus NRRL WC-3558 - ST 249:664	1386	1517	118318	1496	2075	1761	228408	2223	1748	2015	1831	2084	1	1702	2117	234029	186122	1265	1477	183099	1812	1545	1936	118925	298168	1807	1569	118787	113173	392098	381370	392564	1065	400164	1360	397460	377027
GCF_000720715.1 | Streptomyces rimosus NRRL WC-3900 - ST 249:665	1088	1289	114172	1561	1244	1539	220654	1896	1200	1583	1602	2371	1702	1	1521	226497	182178	1933	1513	179688	1583	2040	1729	117981	288981	1561	1276	113944	109161	391271	380848	391309	1423	399556	1314	397447	376951
GCF_000721045.1 | Streptomyces rimosus NRRL B-2626 - ST 249:666	493	898	117178	1450	1512	1460	227410	2102	1892	1506	1775	2040	2117	1521	1	233548	185664	1424	1237	182507	1309	1438	1743	118283	297097	1342	1096	118011	112550	391237	381322	391703	459	399782	616	397244	377373
GCF_000721665.1 | Streptomyces rimosus NRRL WC-3929 - ST 285:667	234380	215135	223944	225735	234180	225213	1808	232112	233678	206892	201097	227187	234029	226497	233548	1	214123	223406	232614	210453	231493	230476	231666	218554	292727	231288	231919	226196	214944	397502	383846	397515	234597	397748	231096	398035	384603
GCF_000725565.1 | Streptomyces peucetius NRRL WC-3868 - ST 323:668	187143	168826	179610	181198	186203	180987	210071	184076	185061	160810	156178	180358	186122	182178	185664	214123	1	176161	185121	2241	182627	182846	184309	182704	293932	184250	184648	183113	173502	394499	380927	394341	186586	400319	185331	400723	382456
GCF_001279015.1 | Streptomyces rimosus NRRL WC-3909 - ST 249:669	1564	1913	111523	1308	1253	1558	217875	2364	1428	1896	2417	2042	1265	1933	1424	223406	176161	1	1578	173742	1715	2327	2232	114514	286543	1847	1604	111214	107014	390142	379480	390559	1764	398495	1654	396635	374415
GCF_001279025.1 | Streptomyces sp. NRRL WC-3701 - ST 249:670	1268	1359	117292	1028	1278	1253	226891	2040	1531	1801	1739	1750	1477	1513	1237	232614	185121	1578	1	182504	1653	1666	1852	118610	296484	1818	1494	117604	113025	390883	381177	391349	1340	400169	1175	397600	376886
GCF_001279065.1 | Streptomyces rimosus NRRL WC-3869 - ST 323:671	183625	165201	177273	178308	182938	177919	206654	181180	182513	157402	153288	177208	183099	179688	182507	210453	2241	173742	182504	1	180058	180322	181964	179923	292394	181692	182099	180974	172847	394149	380485	394508	183221	399188	182018	399593	382667
GCF_001279075.1 | Streptomyces rimosus NRRL WC-3875 - ST 249:672	1586	1473	116070	1188	1406	1519	225949	2179	1854	2230	1638	1696	1812	1583	1309	231493	182627	1715	1653	180058	1	1743	1963	118093	294645	2065	1836	116375	111489	390778	381029	391195	1581	399943	1662	397097	375750
GCF_001279095.1 | Streptomyces rimosus NRRL WC-3899 - ST 249:673	1755	2179	115631	1089	1879	1414	224384	2196	1565	1731	1874	1792	1545	2040	1438	230476	182846	2327	1666	180322	1743	1	2159	116973	293280	1959	2058	116387	111831	390398	380366	390815	1757	400254	1539	397150	377030
GCF_001279105.1 | Streptomyces rimosus NRRL WC-3873 - ST 249:674	1986	1839	116621	1256	1577	1745	225921	2272	1928	1977	2341	2244	1936	1729	1743	231666	184309	2232	1852	181964	1963	2159	1	118409	295704	2142	2016	117168	113000	390687	380818	391045	2119	399782	1853	397033	376940
GCF_001279345.1 | Streptomyces rimosus NRRL WC-3896 - ST 352:675	118771	108872	114092	117643	118297	117413	214153	116904	118613	105910	102447	115711	118925	117981	118283	218554	182704	114514	118610	179923	118093	116973	118409	1	288996	118389	118615	117061	110356	396860	380546	396881	118752	401731	116358	400273	376873
GCF_001279365.1 | Streptomyces sp. NRRL F-5755 - ST 353:676	298182	275067	298966	286868	297686	286433	285807	295908	297142	259280	254396	288756	298168	288981	297097	292727	293932	286543	296484	292394	294645	293280	295704	288996	1	295612	296154	300435	285058	397199	378300	397029	298033	399502	297468	399448	378073
GCF_001279375.1 | Streptomyces rimosus NRRL WC-3898 - ST 249:677	1699	1741	116480	1241	1439	1579	225493	2273	1825	2086	2016	2366	1807	1561	1342	231288	184250	1847	1818	181692	2065	1959	2142	118389	295612	1	1788	116846	112971	390212	380816	390629	2204	399693	1612	396907	376976
GCF_001507395.1 | Streptomyces rimosus NRRL WC-3897 - ST 249:678	1268	1295	116590	861	1137	1185	226087	2052	1517	1719	1730	1948	1569	1276	1096	231919	184648	1604	1494	182099	1836	2058	2016	118615	296154	1788	1	117543	113222	391567	381111	392033	1373	400779	1172	397921	377111
GCF_003947575.1 | Streptomyces sp. WAC 06783 - ST 528:679	118733	107393	113416	113568	118408	113355	222534	117940	117956	102705	99814	115041	118787	113944	118011	226196	183113	111214	117604	180974	116375	116387	117168	117061	300435	116846	117543	1	108143	396554	381574	396583	119002	402424	117738	401855	380402
GCF_003947585.1 | Streptomyces sp. WAC 06725 - ST 529:680	113206	101441	106343	107929	112793	108068	210152	111728	113523	97389	95453	109484	113173	109161	112550	214944	173502	107014	113025	172847	111489	111831	113000	110356	285058	112971	113222	108143	1	388128	375501	388199	113216	394649	111684	394873	382084
GCF_003994375.1 | Streptomyces lydicus WYEC 108 - ST 547:681	393005	387219	394242	391094	391451	390954	391172	389696	391461	368825	362784	385881	392098	391271	391237	397502	394499	390142	390883	394149	390778	390398	390687	396860	397199	390212	391567	396554	388128	1	525777	204	392795	251826	392783	263357	470826
GCF_004125265.1 | Streptomyces lydicus ATCC 31975 - ST 554:682	382343	378803	377080	380689	381327	380843	377269	379670	381449	360748	355080	375710	381370	380848	381322	383846	380927	379480	381177	380485	381029	380366	380818	380546	378300	380816	381111	381574	375501	525777	1	525952	382492	518500	380923	528916	513700
GCF_004125275.1 | Streptomyces lydicus SW_ACT1 - ST 547:683	393314	387528	394259	391240	391868	391051	390910	389826	391878	368971	363093	386347	392564	391309	391703	397515	394341	390559	391349	394508	391195	390815	391045	396881	397029	390629	392033	396583	388199	204	525952	1	392805	251731	392925	263028	470931
GCF_006229535.1 | Streptomyces rimosus WT5260 - ST 249:684	512	727	117857	359	958	689	229337	1840	1191	1802	1752	1553	1065	1423	459	234597	186586	1764	1340	183221	1581	1757	2119	118752	298033	2204	1373	119002	113216	392795	382492	392805	1	400565	438	398385	378075
GCF_008087005.1 | Streptomyces sp. WAC01526 - ST 594:685	400599	395107	399962	399553	400290	399239	391711	398135	399910	375879	369477	394747	400164	399556	399782	397748	400319	398495	400169	399188	399943	400254	399782	401731	399502	399693	400779	402424	394649	251826	518500	251731	400565	1	398891	122319	459061
GCF_008704655.1 | Streptomyces rimosus ATCC 10970 - ST 249:686	151	1233	115128	874	831	1339	226004	1944	948	2706	3181	1793	1360	1314	616	231096	185331	1654	1175	182018	1662	1539	1853	116358	297468	1612	1172	117738	111684	392783	380923	392925	438	398891	1	399217	377992
GCF_009811595.1 | Streptomyces libani NBRC 13452 - ST 92:687	398729	393684	401535	397494	397505	397136	391930	395437	397295	374018	366796	392111	397460	397447	397244	398035	400723	396635	397600	399593	397097	397150	397033	400273	399448	396907	397921	401855	394873	263357	528916	263028	398385	122319	399217	1	474811
GCF_009811635.1 | Streptomyces tubercidicus NBRC 13090 - ST 59:688	378350	373342	378942	376635	377259	376500	378849	375837	376982	356775	350239	371394	377027	376951	377373	384603	382456	374415	376886	382667	375750	377030	376940	376873	378073	376976	377111	380402	382084	470826	513700	470931	378075	459061	377992	474811	1
