	GCF_000715745.1 | Streptomyces californicus NRRL B-3320 - ST 2:603	GCF_000717645.1 | Streptomyces californicus NRRL B-2098 - ST 2:604	GCF_000717665.1 | Streptomyces californicus NRRL 2423 - ST 49:605	GCF_000717965.1 | Streptomyces purpeochromogenes NRRL B-3012 - ST 2:606	GCF_000718205.1 | Streptomyces griseus NRRL B-2931 - ST 280:607	GCF_000718235.1 | Streptomyces griseus NRRL B-2932 - ST 281:608	GCF_000718245.1 | Streptomyces californicus NRRL B-2988 - ST 2:609	GCF_000718615.1 | Streptomyces purpeochromogenes NRRL ISP-5373 - ST 2:610	GCF_000718915.1 | Streptomyces sp. NRRL WC-3540 - ST 280:611	GCF_000719035.1 | Streptomyces griseus NRRL B-1691 - ST 280:612	GCF_000719585.1 | Streptomyces sp. NRRL F-5681 - ST 298:613	GCF_000719655.1 | Streptomyces sp. NRRL B-1381 - ST 300:614	GCF_000719925.1 | Streptomyces sp. NRRL F-2202 - ST 305:615	GCF_000720065.1 | Streptomyces sp. NRRL F-3273 - ST 2:616	GCF_000721205.1 | Streptomyces griseus NRRL B-2930 - ST 280:617	GCF_000721575.1 | Streptomyces griseus NRRL F-2227 - ST 317:618	GCF_001270675.1 | Streptomyces griseus NRRL B-2929 - ST 280:619	GCF_001279425.1 | Streptomyces sp. NRRL F-2295 - ST 354:620	GCF_001279735.1 | Streptomyces sp. MMG1522 - ST 360:621	GCF_002082175.1 | Streptomyces violaceoruber S21 - ST 434:622	GCF_002551425.1 | Streptomyces sp. b94 - ST 461:623	GCF_013401535.1 | Streptomyces sp. CB04723 - ST 684:624	GCF_016906185.1 | Streptomyces californicus FDAARGOS_1209 - ST 2:625	GCF_016906205.1 | Streptomyces californicus FDAARGOS_1212 - ST 2:626	GCF_016906225.1 | Streptomyces californicus FDAARGOS_1211 - ST 2:627	GCF_016906245.1 | Streptomyces californicus FDAARGOS_1213 - ST 2:628	GCF_016906265.1 | Streptomyces californicus FDAARGOS_1210 - ST 128:629	GCF_017311125.1 | Streptomyces sp. M54 - ST 751:630
GCF_000719585.1 | Streptomyces sp. NRRL F-5681 - ST 298:613	7413627	7488627	7423614	7493121	7687869	7614986	7499862	7510092	7689695	7679833	7821598	7427268	7808679	7512329	7682075	7428154	7671195	7467721	7539310	7636327	7468397	6938625	7500564	7511078	7505311	7509737	7451959	7407909
GCF_000719655.1 | Streptomyces sp. NRRL B-1381 - ST 300:614	7400908	7477250	7385198	7475515	7470827	7452438	7485965	7494786	7490136	7488183	7427268	8054921	7458670	7464808	7477574	7415772	7478556	7560603	7373137	7448611	7474959	6901699	7491353	7495806	7495479	7494902	7386375	7415088
GCF_000719925.1 | Streptomyces sp. NRRL F-2202 - ST 305:615	7405035	7493025	7403432	7494574	7696546	7571174	7503578	7500399	7677579	7676246	7808679	7458670	7806945	7495624	7695951	7422660	7695675	7495333	7553478	7602886	7501155	6907415	7506135	7518658	7500189	7516249	7443066	7402751
GCF_000720065.1 | Streptomyces sp. NRRL F-3273 - ST 2:616	7487920	7596308	7355763	7663442	7526078	7474129	7598213	7736787	7518166	7516646	7512329	7464808	7495624	8249819	7513836	7417744	7511667	7463844	7515674	7493998	7375073	6900414	7690835	7704155	7706938	7703546	7410614	7349915
GCF_000721205.1 | Streptomyces griseus NRRL B-2930 - ST 280:617	7399794	7476448	7439277	7486957	8135936	7675423	7485960	7495566	8107251	8044388	7682075	7477574	7695951	7513836	8029964	7430246	8183840	7488992	7545327	7714794	7507192	6939972	7491638	7500540	7493968	7498823	7455622	7408538
GCF_000721575.1 | Streptomyces griseus NRRL F-2227 - ST 317:618	7265298	7361629	7578182	7388669	7420593	7424880	7368994	7422377	7413971	7412058	7428154	7415772	7422660	7417744	7430246	8042224	7418879	7481681	7434811	7466934	7457413	6846564	7422631	7403636	7426084	7406778	7594893	7471610
GCF_001270675.1 | Streptomyces griseus NRRL B-2929 - ST 280:619	7401032	7478812	7438531	7486103	8166644	7661450	7486136	7496132	8145540	8185179	7671195	7478556	7695675	7511667	8183840	7418879	8029206	7488802	7579590	7695141	7502202	6939500	7490974	7500373	7493408	7499075	7424261	7405551
GCF_001279425.1 | Streptomyces sp. NRRL F-2295 - ST 354:620	7376606	7459716	7460954	7455847	7489578	7459316	7457505	7468993	7502887	7501469	7467721	7560603	7495333	7463844	7488992	7481681	7488802	7844330	7490748	7519869	7510194	6891136	7445437	7452288	7449347	7451897	7457972	7394610
GCF_001279735.1 | Streptomyces sp. MMG1522 - ST 360:621	7342895	7435347	7366271	7449326	7584440	7509120	7433922	7476094	7545427	7553858	7539310	7373137	7553478	7515674	7545327	7434811	7579590	7490748	7953758	7539793	7422975	6838214	7477007	7510869	7480867	7510366	7433070	7396640
GCF_002082175.1 | Streptomyces violaceoruber S21 - ST 434:622	7406108	7530567	7430255	7533555	7705168	7585636	7541069	7551258	7706666	7692540	7636327	7448611	7602886	7493998	7714794	7466934	7695141	7519869	7539793	7916045	7500844	6961444	7569657	7527464	7572508	7527416	7416895	7429814
GCF_002551425.1 | Streptomyces sp. b94 - ST 461:623	7294628	7368853	7450127	7374150	7502475	7506133	7377852	7377853	7503982	7503302	7468397	7474959	7501155	7375073	7507192	7457413	7502202	7510194	7422975	7500844	8028544	6918484	7380138	7387362	7383872	7385061	7469172	7394977
GCF_013401535.1 | Streptomyces sp. CB04723 - ST 684:624	6763390	6836723	6901137	6842834	6953972	6953316	6844085	6855829	6938515	6943303	6938625	6901699	6907415	6900414	6939972	6846564	6939500	6891136	6838214	6961444	6918484	7872196	6875070	6893210	6878925	6890428	6952227	6885547
GCF_016906185.1 | Streptomyces californicus FDAARGOS_1209 - ST 2:625	7614778	7805947	7314842	8011839	7486277	7480159	7909970	8100084	7481712	7481881	7500564	7491353	7506135	7690835	7491638	7422631	7490974	7445437	7477007	7569657	7380138	6875070	8031696	8465840	8247396	8460078	7416970	7378702
GCF_016906205.1 | Streptomyces californicus FDAARGOS_1212 - ST 2:626	7671440	8155748	7327882	8150567	7497020	7482198	8115004	8264893	7491051	7491559	7511078	7495806	7518658	7704155	7500540	7403636	7500373	7452288	7510869	7527464	7387362	6893210	8465840	8082614	8382229	8086844	7431482	7391942
GCF_016906225.1 | Streptomyces californicus FDAARGOS_1211 - ST 2:627	7617871	7965579	7318735	7977359	7487697	7484300	8037118	8049113	7483653	7483822	7505311	7495479	7500189	7706938	7493968	7426084	7493408	7449347	7480867	7572508	7383872	6878925	8247396	8382229	8053224	8442532	7428021	7383452
GCF_016906245.1 | Streptomyces californicus FDAARGOS_1213 - ST 2:628	7669939	8154211	7327162	8143129	7495670	7482196	8113520	8257850	7489727	7490311	7509737	7494902	7516249	7703546	7498823	7406778	7499075	7451897	7510366	7527416	7385061	6890428	8460078	8086844	8442532	8084048	7430653	7400793
GCF_016906265.1 | Streptomyces californicus FDAARGOS_1210 - ST 128:629	7237829	7319449	7588405	7364224	7434322	7416617	7337170	7398560	7436263	7454214	7451959	7386375	7443066	7410614	7455622	7594893	7424261	7457972	7433070	7416895	7469172	6952227	7416970	7431482	7428021	7430653	8221537	7529373
GCF_017311125.1 | Streptomyces sp. M54 - ST 751:630	7221145	7285722	7407440	7319443	7408648	7401319	7297147	7341442	7404459	7402977	7407909	7415088	7402751	7349915	7408538	7471610	7405551	7394610	7396640	7429814	7394977	6885547	7378702	7391942	7383452	7400793	7529373	7958870
