	GCF_000331185.2 | Streptomyces rimosus ATCC 10970 - ST 249:652	GCF_000707925.2 | Streptomyces rimosus R6-500 - ST 249:653	GCF_000716515.1 | Streptomyces rimosus NRRL B-16073 - ST 269:654	GCF_000716845.1 | Streptomyces capuensis NRRL B-12337 - ST 249:655	GCF_000717285.1 | Streptomyces rimosus NRRL ISP-5260 - ST 249:656	GCF_000718295.1 | Streptomyces capuensis NRRL B-3501 - ST 249:657	GCF_000718675.1 | Streptomyces rimosus NRRL WC-3930 - ST 285:658	GCF_000718715.1 | Streptomyces rimosus NRRL WC-3874 - ST 249:659	GCF_000718815.1 | Streptomyces sp. NRRL WC-3703 - ST 249:660	GCF_000718835.1 | Streptomyces rimosus NRRL WC-3876 - ST 249:661	GCF_000718865.1 | Streptomyces rimosus NRRL WC-3882 - ST 249:662	GCF_000720565.1 | Streptomyces rimosus NRRL WC-3925 - ST 249:663	GCF_000720605.1 | Streptomyces rimosus NRRL WC-3558 - ST 249:664	GCF_000720715.1 | Streptomyces rimosus NRRL WC-3900 - ST 249:665	GCF_000721045.1 | Streptomyces rimosus NRRL B-2626 - ST 249:666	GCF_000721665.1 | Streptomyces rimosus NRRL WC-3929 - ST 285:667	GCF_000725565.1 | Streptomyces peucetius NRRL WC-3868 - ST 323:668	GCF_001279015.1 | Streptomyces rimosus NRRL WC-3909 - ST 249:669	GCF_001279025.1 | Streptomyces sp. NRRL WC-3701 - ST 249:670	GCF_001279065.1 | Streptomyces rimosus NRRL WC-3869 - ST 323:671	GCF_001279075.1 | Streptomyces rimosus NRRL WC-3875 - ST 249:672	GCF_001279095.1 | Streptomyces rimosus NRRL WC-3899 - ST 249:673	GCF_001279105.1 | Streptomyces rimosus NRRL WC-3873 - ST 249:674	GCF_001279345.1 | Streptomyces rimosus NRRL WC-3896 - ST 352:675	GCF_001279365.1 | Streptomyces sp. NRRL F-5755 - ST 353:676	GCF_001279375.1 | Streptomyces rimosus NRRL WC-3898 - ST 249:677	GCF_001507395.1 | Streptomyces rimosus NRRL WC-3897 - ST 249:678	GCF_003947575.1 | Streptomyces sp. WAC 06783 - ST 528:679	GCF_003947585.1 | Streptomyces sp. WAC 06725 - ST 529:680	GCF_003994375.1 | Streptomyces lydicus WYEC 108 - ST 547:681	GCF_004125265.1 | Streptomyces lydicus ATCC 31975 - ST 554:682	GCF_004125275.1 | Streptomyces lydicus SW_ACT1 - ST 547:683	GCF_006229535.1 | Streptomyces rimosus WT5260 - ST 249:684	GCF_008087005.1 | Streptomyces sp. WAC01526 - ST 594:685	GCF_008704655.1 | Streptomyces rimosus ATCC 10970 - ST 249:686	GCF_009811595.1 | Streptomyces libani NBRC 13452 - ST 92:687	GCF_009811635.1 | Streptomyces tubercidicus NBRC 13090 - ST 59:688
GCF_000718865.1 | Streptomyces rimosus NRRL WC-3882 - ST 249:662	8361764	8331058	7474829	8055455	8327034	8066676	7342683	8394474	8370050	7707298	8273726	8160912	8329165	8112954	8324186	7538054	7315334	8239699	8306030	7300492	8323845	8323143	8333831	7287099	7079995	8291500	8303387	7476081	7350739	2673436	2627502	2674351	8327695	2727676	8055946	2711730	2579875
GCF_000720565.1 | Streptomyces rimosus NRRL WC-3925 - ST 249:663	9423255	8684870	8414666	9116723	9428472	9157595	8253810	9457673	9408729	8311385	8160912	9356233	9383644	9133555	9386076	8447520	8274891	8977064	9366092	8262049	9277053	9270009	9372211	8183753	7958029	9339986	9362256	8458320	8323433	2831751	2767078	2833553	9388375	2904070	9107001	2884519	2729557
GCF_000720605.1 | Streptomyces rimosus NRRL WC-3558 - ST 249:664	9638584	8897586	8640979	9338388	9651795	9321562	8465400	9687690	9654709	8518561	8329165	9383644	9590596	9385818	9619367	8660188	8488356	9206357	9598280	8472117	9527955	9527037	9589524	8391647	8132789	9571937	9614062	8683854	8541269	2872775	2807321	2874577	9603310	2940160	9321759	2920004	2766999
GCF_000720715.1 | Streptomyces rimosus NRRL WC-3900 - ST 249:665	9380611	8664276	8450141	9332022	9397280	9294256	8287565	9403370	9386286	8295436	8112954	9133555	9385818	9375207	9395376	8483918	8380952	9079087	9386290	8368038	9319184	9343798	9358682	8350112	7972250	9361770	9401851	8490394	8358558	2867836	2802699	2867474	9369670	2935748	9087356	2919925	2767110
GCF_000721045.1 | Streptomyces rimosus NRRL B-2626 - ST 249:666	9634717	8936903	8636548	9379236	9710291	9382148	8462189	9707881	9620911	8465456	8324186	9386076	9619367	9395376	9663214	8659291	8486522	9246351	9616738	8470528	9546707	9531669	9608313	8390539	8129991	9590349	9632539	8681018	8540311	2868417	2806830	2870219	9640094	2938393	9358271	2919353	2769773
GCF_000721665.1 | Streptomyces rimosus NRRL WC-3929 - ST 285:667	8661426	8119257	8573330	8438753	8659386	8434446	9571751	8642410	8659812	7674218	7538054	8447520	8660188	8483918	8659291	9738851	8504946	8441384	8653648	8479790	8639939	8575061	8646496	8347131	8183115	8646764	8649972	8592427	8464642	2907651	2822803	2906896	8667928	2923975	8634194	2921361	2807314
GCF_000725565.1 | Streptomyces peucetius NRRL WC-3868 - ST 323:668	8493853	7905475	8431311	8330352	8486248	8327707	8328683	8467599	8483727	7443659	7315334	8274891	8488356	8380952	8486522	8504946	9528656	8237958	8481966	9517080	8432003	8399427	8475378	8321920	8153303	8475327	8478412	8487188	8364553	2891392	2807268	2889741	8492676	2937197	8478422	2936433	2793313
GCF_001279015.1 | Streptomyces rimosus NRRL WC-3909 - ST 249:669	9257151	8819896	8399081	8967000	9244014	8968652	8247941	9255520	9225457	8135781	8239699	8977064	9206357	9079087	9246351	8441384	8237958	9222548	9227305	8229171	9231552	9172288	9217680	8212498	7959158	9239159	9210187	8397094	8276048	2862240	2795151	2863719	9250994	2931176	9051888	2916993	2750694
GCF_001279025.1 | Streptomyces sp. NRRL WC-3701 - ST 249:670	9638026	8895941	8634486	9315518	9634765	9337774	8459987	9593349	9597917	8422139	8306030	9366092	9598280	9386290	9616738	8653648	8481966	9227305	9600052	8472512	9568513	9523807	9651217	8384230	8130332	9613583	9605141	8677708	8547876	2867037	2807046	2868838	9622727	2941486	9338527	2922519	2767168
GCF_001279065.1 | Streptomyces rimosus NRRL WC-3869 - ST 323:671	8476970	7885968	8424479	8314072	8470490	8311396	8305413	8449771	8468895	7424976	7300492	8262049	8472117	8368038	8470528	8479790	9517080	8229171	8472512	9485098	8421286	8387562	8465559	8314481	8154269	8465724	8468380	8481042	8367663	2886882	2802875	2888118	8473532	2930381	8462700	2930022	2793280
GCF_001279075.1 | Streptomyces rimosus NRRL WC-3875 - ST 249:672	9620546	8925399	8601779	9266091	9544502	9267845	8446987	9526183	9528460	8418133	8323845	9277053	9527955	9319184	9546707	8639939	8432003	9231552	9568513	8421286	9527802	9493534	9551450	8372208	8097664	9544296	9614253	8620089	8490075	2864999	2804999	2866479	9590439	2939220	9308573	2918530	2759013
GCF_001279095.1 | Streptomyces rimosus NRRL WC-3899 - ST 249:673	9610541	8974198	8548177	9270342	9573181	9289136	8379957	9520110	9553046	8418773	8323143	9270009	9527037	9343798	9531669	8575061	8399427	9172288	9523807	8387562	9493534	9511651	9517803	8301897	8051113	9568779	9560438	8593083	8464077	2861655	2800695	2863135	9575931	2941424	9291792	2918786	2764175
GCF_001279105.1 | Streptomyces rimosus NRRL WC-3873 - ST 249:674	9644774	8908242	8626817	9327892	9620756	9309921	8452071	9557187	9571325	8413590	8333831	9372211	9589524	9358682	9608313	8646496	8475378	9217680	9651217	8465559	9551450	9517803	9588334	8382117	8123927	9578136	9658555	8671434	8544242	2866388	2804037	2867624	9656140	2939233	9372193	2918400	2767109
GCF_001279345.1 | Streptomyces rimosus NRRL WC-3896 - ST 352:675	8398770	7875810	8471519	8363721	8399297	8351735	8175646	8369138	8380178	7496803	7287099	8183753	8391647	8350112	8390539	8347131	8321920	8212498	8384230	8314481	8372208	8301897	8382117	9518353	7987765	8399899	8401044	8471043	8364823	2908741	2805288	2908167	8404356	2946420	8387744	2935553	2771346
GCF_001279365.1 | Streptomyces sp. NRRL F-5755 - ST 353:676	8136257	7660313	8176193	7926900	8131080	7924034	8011590	8114311	8128571	7203490	7079995	7958029	8132789	7972250	8129991	8183115	8153303	7959158	8130332	8154269	8097664	8051113	8123927	7987765	9273907	8125831	8127756	8219064	8089016	2907853	2788908	2906283	8135066	2933157	8131016	2928375	2773570
GCF_001279375.1 | Streptomyces rimosus NRRL WC-3898 - ST 249:677	9624051	8886338	8628347	9310409	9598684	9313395	8452161	9579001	9603379	8405800	8291500	9339986	9571937	9361770	9590349	8646764	8475327	9239159	9613583	8465724	9544296	9568779	9578136	8399899	8125831	9592778	9660900	8673973	8545606	2863916	2805302	2865395	9610532	2939140	9322546	2918289	2767390
GCF_001507395.1 | Streptomyces rimosus NRRL WC-3897 - ST 249:678	9674939	8891584	8630213	9331485	9650807	9334347	8456018	9580341	9614416	8418575	8303387	9362256	9614062	9401851	9632539	8649972	8478412	9210187	9605141	8468380	9614253	9560438	9658555	8401044	8127756	9660900	9592983	8675518	8546271	2868106	2805466	2869908	9659458	2944257	9375873	2923719	2766384
GCF_003947575.1 | Streptomyces sp. WAC 06783 - ST 528:679	8687754	8068549	8695308	8446688	8681142	8445218	8424016	8662129	8681159	7613422	7476081	8458320	8683854	8490394	8681018	8592427	8487188	8397094	8677708	8481042	8620089	8593083	8671434	8471043	8219064	8673973	8675518	9431125	8753281	2901327	2811405	2900981	8696162	2947983	8673526	2947526	2783791
GCF_003947585.1 | Streptomyces sp. WAC 06725 - ST 529:680	8560164	7943068	8577323	8317471	8540261	8317406	8295318	8520070	8542592	7483324	7350739	8323433	8541269	8358558	8540311	8464642	8364553	8276048	8547876	8367663	8490075	8464077	8544242	8364823	8089016	8545606	8546271	8753281	9473859	2858247	2780868	2857993	8559718	2909607	8542965	2908997	2795412
GCF_003994375.1 | Streptomyces lydicus WYEC 108 - ST 547:681	2888655	2846729	2893538	2865441	2869316	2864682	2862542	2857094	2869939	2713245	2673436	2831751	2872775	2867836	2868417	2907651	2891392	2862240	2867037	2886882	2864999	2861655	2866388	2908741	2907853	2863916	2868106	2901327	2858247	9125666	5386319	9153982	2887622	7687948	2887339	7769002	6046494
GCF_004125265.1 | Streptomyces lydicus ATCC 31975 - ST 554:682	2828712	2799421	2784043	2801621	2806941	2802702	2776133	2794491	2809246	2660659	2627502	2767078	2807321	2802699	2806830	2822803	2807268	2795151	2807046	2802875	2804999	2800695	2804037	2805288	2788908	2805302	2805466	2811405	2780868	5386319	9244118	5386524	2830093	5321171	2819597	5402552	5109686
GCF_004125275.1 | Streptomyces lydicus SW_ACT1 - ST 547:683	2889570	2847644	2893087	2865644	2870796	2864563	2860613	2857704	2871419	2713448	2674351	2833553	2874577	2867474	2870219	2906896	2889741	2863719	2868838	2888118	2866479	2863135	2867624	2908167	2906283	2865395	2869908	2900981	2857993	9153982	5386524	9139876	2881769	7688325	2882366	7767499	6049099
GCF_006229535.1 | Streptomyces rimosus WT5260 - ST 249:684	9681970	8943484	8643671	9359122	9602833	9339460	8473358	9686199	9604316	8444937	8327695	9388375	9603310	9369670	9640094	8667928	8492676	9250994	9622727	8473532	9590439	9575931	9656140	8404356	8135066	9610532	9659458	8696162	8559718	2887622	2830093	2881769	9658503	2946811	9359332	2933553	2786631
GCF_008087005.1 | Streptomyces sp. WAC01526 - ST 594:685	2948041	2910243	2940756	2934970	2941010	2932930	2880020	2927415	2938924	2772753	2727676	2904070	2940160	2935748	2938393	2923975	2937197	2931176	2941486	2930381	2939220	2941424	2939233	2946420	2933157	2939140	2944257	2947983	2909607	7687948	5321171	7688325	2946811	9351366	2934747	8415238	5984440
GCF_008704655.1 | Streptomyces rimosus ATCC 10970 - ST 249:686	9391215	8653056	8614756	9080023	9318223	9061829	8441473	9391159	9317700	8179860	8055946	9107001	9321759	9087356	9358271	8634194	8478422	9051888	9338527	8462700	9308573	9291792	9372193	8387744	8131016	9322546	9375873	8673526	8542965	2887339	2819597	2882366	9359332	2934747	9361154	2946656	2786269
GCF_009811595.1 | Streptomyces libani NBRC 13452 - ST 92:687	2945082	2902321	2946050	2919464	2919179	2916655	2876509	2908564	2919261	2757775	2711730	2884519	2920004	2919925	2919353	2921361	2936433	2916993	2922519	2930022	2918530	2918786	2918400	2935553	2928375	2918289	2923719	2947526	2908997	7769002	5402552	7767499	2933553	8415238	2946656	9151272	6121205
GCF_009811635.1 | Streptomyces tubercidicus NBRC 13090 - ST 59:688	2786777	2746194	2777626	2764721	2768419	2763858	2768086	2758596	2767567	2624253	2579875	2729557	2766999	2767110	2769773	2807314	2793313	2750694	2767168	2793280	2759013	2764175	2767109	2771346	2773570	2767390	2766384	2783791	2795412	6046494	5109686	6049099	2786631	5984440	2786269	6121205	7928609
