	GCF_000299175.2 | Streptomyces sp. SM8 - ST 247:386	GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39:387	GCF_000495755.1 | Streptomyces sp. PVA 94-07 - ST 258:388	GCF_000719495.1 | Streptomyces albidoflavus NRRL F-5621 - ST 295:389	GCF_000725635.1 | Streptomyces sp. NRRL B-3253 - ST 324:390	GCF_000797385.1 | Streptomyces sp. CNQ431 - ST 330:391	GCF_000800535.1 | Streptomyces sp. M10 - ST 331:392	GCF_001014595.1 | Streptomyces sp. KE1 - ST 345:393	GCF_001431765.1 | Streptomyces sp. FR-008 - ST 377:394	GCF_001509565.1 | Streptomyces albidoflavus NRRL WC-3066 - ST 382:395	GCF_001865795.1 | Streptomyces albidoflavus OsiLf-2 - ST 411:396	GCF_002289335.1 | Streptomyces albidoflavus 132 - ST 447:397	GCF_002317005.1 | Streptomyces albidoflavus 38 - ST 447:398	GCF_002317025.1 | Streptomyces albidoflavus 138 - ST 447:399	GCF_002844215.1 | Streptomyces sp. EAG2 - ST 472:400	GCF_002910795.1 | Streptomyces sp. SM9 - ST 479:401	GCF_002910815.1 | Streptomyces sp. FM008 - ST 479:402	GCF_003687515.1 | Streptomyces sp. S5 - ST 516:403	GCF_004000395.1 | Streptomyces sp. B29(2018) - ST 548:404	GCF_004078575.1 | Streptomyces albidoflavus BSII#1 - ST 550:405	GCF_004124335.1 | Streptomyces sp. N1 - ST 553:406	GCF_004195735.1 | Streptomyces albidoflavus DSM 40455 - ST 557:407	GCF_004195745.1 | Streptomyces albidoflavus NBRC 100770 - ST 558:408	GCF_004195755.1 | Streptomyces albidoflavus NBRC 13083 - ST 110:409	GCF_004195845.1 | Streptomyces albidoflavus CGMCC 4.1681 - ST 105:410	GCF_004195855.1 | Streptomyces albidoflavus FXJ.2339 - ST 148:411	GCF_004195885.1 | Streptomyces albidoflavus NBRC 12790 - ST 107:412	GCF_004195895.1 | Streptomyces albidoflavus Ma24 - ST 559:413	GCF_004195935.1 | Streptomyces albidoflavus CR33 - ST 144:414	GCF_004195945.1 | Streptomyces albidoflavus CR10 - ST 138:415	GCF_004195955.1 | Streptomyces albidoflavus CR25 - ST 144:416	GCF_004195965.1 | Streptomyces albidoflavus Ma1 - ST 152:417	GCF_004195995.1 | Streptomyces albidoflavus CR47 - ST 146:418	GCF_004196035.1 | Streptomyces albidoflavus CR19 - ST 143:419	GCF_004196145.1 | Streptomyces albidoflavus FXJ8.031 - ST 150:420	GCF_004196155.1 | Streptomyces albidoflavus CGMCC 4.1615 - ST 150:421	GCF_004196225.1 | Streptomyces sp. SCA2-2 - ST 560:422	GCF_007896905.1 | Streptomyces albidoflavus 77 - ST 588:423	GCF_009834105.1 | Streptomyces sp. GF20 - ST 617:424	GCF_009846825.1 | Streptomyces sp. FR-008 - ST 377:425	GCF_010523235.1 | Streptomyces sp. 604F - ST 644:426	GCF_013363465.1 | Streptomyces odorifer KAI-180 - ST 673:427	GCF_013363555.1 | Streptomyces fungicidicus CAI-93 - ST 447:428	GCF_013693715.1 | Streptomyces albidoflavus J1074/R2 - ST 39:429	GCF_015601545.1 | Streptomyces albidoflavus W68 - ST 673:430	GCF_016613285.1 | Streptomyces sp. DEF1AK - ST 738:431	GCF_016613335.1 | Streptomyces sp. DEF147AK - ST 738:432	GCF_016803985.1 | Streptomyces koyangensis SCSIO 5802 - ST 746:433	GCF_017979945.1 | Streptomyces sp. 604F - ST 644:434	GCF_018619165.1 | Streptomyces sp. McG6 - ST 775:435	GCF_018619195.1 | Streptomyces sp. McG5 - ST 775:436	GCF_018619235.1 | Streptomyces sp. McG2 - ST 775:437	GCF_018638335.1 | Streptomyces sp. G11C - ST 778:438	GCF_019067045.1 | Streptomyces sp. NK08203 - ST 786:439	GCF_900091785.1 | Streptomyces sp. BvitLS-983 - ST 635:440	GCF_900091885.1 | Streptomyces sp. ScaeMP-6W - ST 632:441	GCF_900171555.1 | Streptomyces albidoflavus R-53649 - ST 802:442
GCF_002289335.1 | Streptomyces albidoflavus 132 - ST 447:397	5823368	5717442	5617561	5772645	5935991	5626060	5741157	5685734	5985824	5962613	5965346	6797439	6522677	6516118	5596326	5453000	5472945	5812347	5840611	5577116	5908719	5776300	5897041	5964565	6008615	6007551	5961173	5874841	5877866	5934074	5877028	5907532	5963627	5876428	5893501	5889782	5537117	5966498	5915401	5982499	5656525	5710510	6213526	5716805	5747026	5966519	5966123	5536035	5584064	5853593	5927648	5814949	5580474	5941986	5977835	5865064	5913796
GCF_002317005.1 | Streptomyces albidoflavus 38 - ST 447:398	5918345	5813912	5713484	5885934	6038873	5766317	5842829	5782886	6098861	6060009	6068286	6522677	6985550	6740404	5688898	5527444	5547309	5902415	5951579	5659113	6010810	5871423	5998437	6064314	6119877	6114756	6062160	5972267	5981346	6037549	5981095	6005444	6064807	5971329	5991070	5988151	5634766	6069341	6012043	6097197	5753949	5815664	6315640	5812086	5845585	6073880	6073349	5634834	5676997	5944210	6026481	5901257	5669377	6039964	6088640	5963194	6011856
GCF_002317025.1 | Streptomyces albidoflavus 138 - ST 447:399	5914695	5813646	5711565	5885864	6036422	5765598	5838117	5780078	6108649	6057596	6066139	6516118	6740404	6978043	5688292	5529384	5547699	5907262	5948793	5655685	6013231	5872240	5995978	6062292	6120571	6115550	6059413	5971983	5978673	6037564	5978880	6004267	6064971	5972504	5988694	5986349	5632039	6067926	6012605	6102191	5753275	5816550	6314202	5815775	5842565	6070550	6072178	5631304	5675511	5942377	6023192	5887830	5667978	6037479	6088584	5962297	6008615
GCF_002844215.1 | Streptomyces sp. EAG2 - ST 472:400	5951001	5871952	5716448	6012809	6065596	5701027	6022153	6092900	6073595	6063176	5991930	5596326	5688898	5688292	7174282	5502916	5528183	5847216	5970968	5579209	6034972	5969626	6069397	6107262	6054336	6104439	6088811	6025512	6003798	6011405	6008040	6035802	6041178	6014868	6032346	6032363	6606148	6095987	6057957	6070667	5684697	5997928	5879345	5877788	5986980	6099411	6099692	6495040	5673305	5780357	5901903	5732918	5697264	6019962	6042023	6008128	6020396
GCF_002910795.1 | Streptomyces sp. SM9 - ST 479:401	6033711	5926168	5390994	5587933	6048192	5300992	5551347	5541909	6067908	6095095	5991012	5453000	5527444	5529384	5502916	6450053	6301910	6032141	5980574	5269345	6019428	5981310	6101598	6076272	6069075	6077353	6045989	6007352	5974019	6039930	5973299	5943209	5985260	5984112	6009490	6009373	5464319	6088584	5992517	6051440	5353535	5529919	5645278	5927224	5611839	6096469	6095478	5475933	5342747	5977788	6068024	5923634	5275820	6033966	6076937	5998267	6081750
GCF_002910815.1 | Streptomyces sp. FM008 - ST 479:402	6052733	5944455	5412933	5612280	6076351	5325765	5578498	5563109	6088085	6123223	6018149	5472945	5547309	5547699	5528183	6301910	6479762	6053581	6006765	5293581	6041025	6009587	6130705	6105816	6099343	6107070	6073203	6034851	5999827	6066399	5999754	5971359	6013503	6012420	6034899	6033475	5492186	6109865	6017166	6075756	5376371	5552452	5669431	5944978	5626347	6126558	6125329	5500984	5366112	6000983	6093300	5948576	5300770	6059981	6107455	6025354	6111104
GCF_003687515.1 | Streptomyces sp. S5 - ST 516:403	6359051	6221696	5688807	5966828	6390422	5646259	5916680	5883102	6473236	6424891	6393305	5812347	5902415	5907262	5847216	6032141	6053581	7186472	6446112	5563003	6454783	6307851	6428216	6402894	6508005	6466994	6367421	6430883	6491717	6481763	6495037	6514639	6493407	6434709	6516435	6517004	5813276	6503499	6543636	6474468	5721238	5860473	6010422	6220754	5916989	6405291	6407746	5813477	5641909	6280365	6394129	6221043	5625099	6505112	6455470	6414487	6402886
GCF_004000395.1 | Streptomyces sp. B29(2018) - ST 548:404	6484897	6449255	5844870	6058236	6543468	5770142	6022414	6027990	6660307	6573313	6516636	5840611	5951579	5948793	5970968	5980574	6006765	6446112	7443329	5689918	6600828	6463327	6594391	6578566	6646253	6549766	6517610	6649192	6664504	6606066	6667902	6605198	6626475	6612143	6584660	6583000	5974471	6721918	6633800	6657272	5816890	6020566	6113408	6449587	6073539	6590835	6595214	5964589	5801285	6305083	6437272	6248695	5753480	6654193	6484922	6570706	6536036
GCF_004078575.1 | Streptomyces albidoflavus BSII#1 - ST 550:405	5669762	5573620	6499575	5800319	5731444	6372681	5782785	5735655	5773213	5766463	5773891	5577116	5659113	5655685	5579209	5269345	5293581	5563003	5689918	7003169	5716189	5647189	5769840	5748196	5804410	5756178	5740578	5740691	5722169	5736384	5721807	5730863	5733507	5711802	5712732	5709418	5506306	5793680	5712377	5766922	6429675	5759212	5777320	5571519	5780309	5743101	5746437	5526299	6427798	5595211	5687599	5548514	6343767	5760667	5716287	5709026	5723583
GCF_004124335.1 | Streptomyces sp. N1 - ST 553:406	6493688	6396876	5900921	6109899	6581066	5818449	6105153	6107496	6701781	6540313	6525326	5908719	6010810	6013231	6034972	6019428	6041025	6454783	6600828	5716189	7207104	6442594	6568098	6618805	6623455	6632105	6551709	6575591	6709173	6804416	6733724	6717573	6770183	6611696	6666120	6654438	6031148	6668653	6655887	6668986	5869371	6045342	6206157	6397078	6154757	6622457	6628697	6054539	5846499	6336712	6470425	6278235	5807476	6578071	6557829	6534042	6511461
GCF_004195735.1 | Streptomyces albidoflavus DSM 40455 - ST 557:407	6469308	6466100	5796913	6086205	6615534	5697559	6014888	5977934	6563704	6825962	6445227	5776300	5871423	5872240	5969626	5981310	6009587	6307851	6463327	5647189	6442594	6969071	6980821	6631453	6596410	6631452	6611612	6471374	6462623	6494784	6468449	6435270	6491733	6493994	6494807	6492758	5944855	6562414	6468979	6564551	5742672	5979064	6080946	6465035	6035401	6658009	6661031	5938873	5740728	6305514	6432695	6249748	5684997	6483678	6560283	6433062	6548011
GCF_004195745.1 | Streptomyces albidoflavus NBRC 100770 - ST 558:408	6598829	6506534	5924813	6171499	6754912	5824846	6200802	6081077	6701268	6955981	6586195	5897041	5998437	5995978	6069397	6101598	6130705	6428216	6594391	5769840	6568098	6980821	7157307	6770587	6736374	6760522	6735393	6619491	6588102	6605912	6593763	6563928	6603820	6659311	6603618	6601421	6031930	6703090	6597407	6703988	5870745	6069886	6225996	6479304	6167628	6791381	6797022	6024003	5867964	6437929	6568854	6380198	5818459	6613902	6707563	6569568	6685692
GCF_004195755.1 | Streptomyces albidoflavus NBRC 13083 - ST 110:409	6571442	6479187	5884911	6129352	6776623	5837999	6142951	6112060	6734766	6762398	6576347	5964565	6064314	6062292	6107262	6076272	6105816	6402894	6578566	5748196	6618805	6631453	6770587	7042329	6722355	6772926	6770664	6620503	6561007	6610165	6562304	6598210	6607908	6606806	6637193	6634610	6097786	6721060	6662835	6745929	5841633	6070906	6276197	6480898	6127457	6823073	6829690	6039142	5841289	6410015	6540969	6346724	5835321	6616000	6727332	6564973	6651173
GCF_004195845.1 | Streptomyces albidoflavus CGMCC 4.1681 - ST 105:410	6638998	6539993	5952094	6180086	6683355	5912284	6167775	6086360	6759380	6711783	6610560	6008615	6119877	6120571	6054336	6069075	6099343	6508005	6646253	5804410	6623455	6596410	6736374	6722355	7227023	6781350	6676522	6615164	6653250	6674316	6658778	6582755	6764459	6613525	6596919	6584915	6015336	6712506	6613400	6764395	5991230	6078826	6257450	6515250	6150516	6717600	6722459	6030134	5941688	6480332	6610686	6417348	5873087	6628689	6729674	6578647	6632733
GCF_004195855.1 | Streptomyces albidoflavus FXJ.2339 - ST 148:411	6576515	6434680	5917916	6201127	6868039	5903661	6143088	6111801	6784956	6732642	6579224	6007551	6114756	6115550	6104439	6077353	6107070	6466994	6549766	5756178	6632105	6631452	6760522	6772926	6781350	7120012	6867120	6599340	6547623	6680559	6553379	6587656	6652409	6572701	6622480	6620220	6074189	6717378	6637362	6796022	5968072	6080588	6278787	6435555	6148654	6816545	6823122	6040706	5864824	6498456	6628897	6440859	5863333	6612266	6920407	6551200	6604259
GCF_004195885.1 | Streptomyces albidoflavus NBRC 12790 - ST 107:412	6536788	6423394	5880750	6128697	6826064	5855479	6132316	6102470	6668350	6748898	6574034	5961173	6062160	6059413	6088811	6045989	6073203	6367421	6517610	5740578	6551709	6611612	6735393	6770664	6676522	6867120	6953149	6563089	6500880	6569838	6507392	6549959	6518925	6527425	6591310	6589996	6064933	6663243	6583424	6666462	5849157	6059905	6281555	6423141	6130715	6806548	6830824	6035225	5849829	6365057	6497217	6307715	5837101	6553160	6773576	6532765	6584003
GCF_004195895.1 | Streptomyces albidoflavus Ma24 - ST 559:413	6517631	6430189	5885939	6104364	6561511	5802537	6090626	6085220	6631618	6592080	6547355	5874841	5972267	5971983	6025512	6007352	6034851	6430883	6649192	5740691	6575591	6471374	6619491	6620503	6615164	6599340	6563089	6963119	6594654	6601476	6600365	6584042	6620849	6723766	6632001	6630299	6012327	6717052	6721791	6634019	5848800	6054476	6172339	6427412	6122056	6603226	6606860	6011349	5849613	6322077	6453637	6266445	5801057	6724937	6512332	6620091	6578517
GCF_004195935.1 | Streptomyces albidoflavus CR33 - ST 144:414	6477893	6435084	5874065	6105457	6529911	5788106	6086415	6067539	6615558	6555954	6491149	5877866	5981346	5978673	6003798	5974019	5999827	6491717	6664504	5722169	6709173	6462623	6588102	6561007	6653250	6547623	6500880	6594654	7157271	6731799	7177946	6719236	6786253	6631264	6606329	6605121	5995737	6635574	6635257	6617008	5831021	6037361	6163931	6433469	6111715	6569132	6571890	5993581	5830802	6303174	6437672	6247013	5820494	6585243	6476605	6544023	6540899
GCF_004195945.1 | Streptomyces albidoflavus CR10 - ST 138:415	6507404	6408099	5895641	6196597	6560592	5845886	6083036	6056184	6653273	6588756	6564257	5934074	6037549	6037564	6011405	6039930	6066399	6481763	6606066	5736384	6804416	6494784	6605912	6610165	6674316	6680559	6569838	6601476	6731799	7156688	6735867	6690153	6800029	6634855	6631457	6628987	5981771	6667194	6573393	6657793	5939209	6038824	6175645	6408813	6105347	6617077	6620754	5993378	5856531	6470302	6603981	6413232	5798446	6607528	6592142	6561855	6567768
GCF_004195955.1 | Streptomyces albidoflavus CR25 - ST 144:416	6475668	6440011	5877793	6111569	6536930	5788154	6091746	6071133	6620454	6554785	6498028	5877028	5981095	5978880	6008040	5973299	5999754	6495037	6667902	5721807	6733724	6468449	6593763	6562304	6658778	6553379	6507392	6600365	7177946	6735867	7168767	6733255	6800949	6634022	6611357	6610047	5995201	6639140	6637341	6623267	5831025	6037768	6163994	6438922	6109913	6569392	6577924	5993179	5831004	6302975	6435672	6245297	5821118	6593077	6474677	6549598	6547307
GCF_004195965.1 | Streptomyces albidoflavus Ma1 - ST 152:417	6466427	6362805	5891767	6117451	6568383	5872322	6098996	6081931	6636798	6553315	6497876	5907532	6005444	6004267	6035802	5943209	5971359	6514639	6605198	5730863	6717573	6435270	6563928	6598210	6582755	6587656	6549959	6584042	6719236	6690153	6733255	7268166	6696127	6611396	6667337	6665895	6010694	6638837	6676747	6632821	5858620	6029829	6209480	6362761	6108064	6589464	6595279	6005618	5857468	6298958	6431902	6240691	5842400	6568695	6531771	6518499	6505116
GCF_004195995.1 | Streptomyces albidoflavus CR47 - ST 146:418	6501654	6432028	5892020	6168553	6564340	5820895	6094783	6079656	6667725	6584559	6506316	5963627	6064807	6064971	6041178	5985260	6013503	6493407	6626475	5733507	6770183	6491733	6603820	6607908	6764459	6652409	6518925	6620849	6786253	6800029	6800949	6696127	7135321	6652447	6609902	6609805	6006183	6665501	6597912	6670238	5891135	6071064	6181938	6431959	6112863	6593005	6597008	6010330	5842295	6388265	6521491	6328869	5800093	6607092	6574132	6564710	6555721
GCF_004196035.1 | Streptomyces albidoflavus CR19 - ST 143:419	6484665	6403304	5858561	6108974	6553211	5770643	6101738	6067941	6639413	6585140	6506367	5876428	5971329	5972504	6014868	5984112	6012420	6434709	6612143	5711802	6611696	6493994	6659311	6606806	6613525	6572701	6527425	6723766	6631264	6634855	6634022	6611396	6652447	7103409	6624146	6621243	6004591	6692254	6708161	6643348	5817835	6029586	6177534	6378843	6101956	6583114	6587057	6001979	5818829	6335511	6466406	6277168	5766239	6691817	6493636	6557006	6561758
GCF_004196145.1 | Streptomyces albidoflavus FXJ8.031 - ST 150:420	6492828	6390136	5856612	6105694	6611268	5810614	6105437	6093345	6647181	6582226	6538774	5893501	5991070	5988694	6032346	6009490	6034899	6516435	6584660	5712732	6666120	6494807	6603618	6637193	6596919	6622480	6591310	6632001	6606329	6631457	6611357	6667337	6609902	6624146	6960543	6979238	6026701	6666554	6661557	6649805	5820909	6049448	6182038	6390795	6118225	6622014	6637304	6028402	5818513	6327615	6455747	6268421	5803591	6667461	6536145	6557665	6533111
GCF_004196155.1 | Streptomyces albidoflavus CGMCC 4.1615 - ST 150:421	6493652	6387534	5855546	6106006	6598586	5810606	6103568	6090093	6635316	6581076	6537251	5889782	5988151	5986349	6032363	6009373	6033475	6517004	6583000	5709418	6654438	6492758	6601421	6634610	6584915	6620220	6589996	6630299	6605121	6628987	6610047	6665895	6609805	6621243	6979238	6957957	6027654	6665230	6656516	6634528	5817978	6048623	6176494	6388173	6116732	6621024	6625561	6025401	5818432	6324916	6454569	6266097	5803231	6664729	6536605	6557732	6533369
GCF_004196225.1 | Streptomyces sp. SCA2-2 - ST 560:422	5927125	5846357	5605664	5968649	6045330	5619687	5939683	5996837	6057787	6055122	5978336	5537117	5634766	5632039	6606148	5464319	5492186	5813276	5974471	5506306	6031148	5944855	6031930	6097786	6015336	6074189	6064933	6012327	5995737	5981771	5995201	6010694	6006183	6004591	6026701	6027654	7050647	6074854	6040306	6056559	5598365	5949194	5811244	5846127	5953971	6065039	6064053	6688649	5595099	5757528	5879860	5708996	5591321	6012345	6008223	5989648	5959642
