ST,accession,organism,16S_copies
272,GCF_000709915.1,Streptomyces griseorubens,1
273,GCF_000716025.1,Streptomyces baarnensis,1
274,GCF_000716515.1,Streptomyces rimosus,1
275,GCF_000716625.1,Streptomyces bikiniensis,1
276,GCF_000716685.1,Streptomyces virginiae,1
277,GCF_000717595.1,Streptomyces flavochromogenes,1
278,GCF_000717655.1,Streptomyces katrae,1
279,GCF_000717745.1,Streptomyces violens,1
280,GCF_000717795.1,Streptomyces griseus,1
281,GCF_000717845.1,Streptomyces violaceoruber,1
282,GCF_000717925.1,Streptomyces sp.,1
283,GCF_000718015.1,Streptomyces catenulae,1
284,GCF_000718165.1,Streptomyces fulvoviolaceus,1
285,GCF_000718205.1,Streptomyces griseus,1
285,GCF_000718915.1,Streptomyces sp.,1
285,GCF_000719035.1,Streptomyces griseus,1
285,GCF_000721205.1,Streptomyces griseus,1
285,GCF_001270675.1,Streptomyces griseus,1
286,GCF_000718235.1,Streptomyces griseus,1
287,GCF_000718375.1,Streptomyces sp.,1
287,GCF_001279005.1,Streptomyces caelestis,1
288,GCF_000718455.1,Streptomyces globisporus,1
289,GCF_000718525.1,Streptomyces griseus,1
289,GCF_000721035.1,Streptomyces griseus,1
290,GCF_000718675.1,Streptomyces rimosus,1
290,GCF_000721665.1,Streptomyces rimosus,1
291,GCF_017876235.1,Streptomyces cinnamonensis,7
291,GCF_000719625.1,Streptomyces sp.,1
291,GCF_000718705.1,Streptomyces lavendulae,1
292,GCF_000718755.1,Streptomyces rimosus,1
292,GCF_000719185.1,Streptomyces rimosus,1
292,GCF_001270585.1,Streptomyces griseoflavus,1
293,GCF_000718775.1,Streptomyces sp.,1
294,GCF_000718935.1,Streptomyces sp.,1
295,GCF_000718955.1,Streptomyces sp.,1
295,GCF_000720795.1,Streptomyces sp.,1
296,GCF_000719265.1,Streptomyces roseoverticillatus,1
297,GCF_000719355.1,Streptomyces griseus,1
298,GCF_000719365.1,Streptomyces sp.,1
299,GCF_000719425.1,Streptomyces sp.,1
300,GCF_000719495.1,Streptomyces albidoflavus,1
301,GCF_000719505.1,Streptomyces sp.,1
302,GCF_000719555.1,Streptomyces sp.,1
303,GCF_000719585.1,Streptomyces sp.,1
304,GCF_000719605.1,Streptomyces sp.,1
305,GCF_000719655.1,Streptomyces sp.,1
306,GCF_000719695.1,Streptomyces sp.,1
307,GCF_000719735.1,Streptomyces sp.,1
308,GCF_000719785.1,Streptomyces sp.,1
309,GCF_000719865.1,Streptomyces albus,1
310,GCF_000719895.1,Streptomyces sp.,1
311,GCF_000719925.1,Streptomyces sp.,1
312,GCF_000720135.1,Streptomyces sp.,1
313,GCF_000720175.1,Streptomyces sp.,1
314,GCF_000720215.1,Streptomyces sp.,1
315,GCF_000720395.1,Streptomyces flavovirens,1
316,GCF_000720405.1,Streptomyces sp.,1
317,GCF_000720505.1,Streptomyces sp.,1
318,GCF_000720675.1,Streptomyces sp.,1
319,GCF_000720805.1,Streptomyces violaceoruber,1
320,GCF_000720915.1,Streptomyces albus,1
321,GCF_000721105.1,Streptomyces cellulosae,1
322,GCF_000721185.1,Streptomyces griseolus,1
323,GCF_000721435.1,Streptomyces sp.,1
324,GCF_000721535.1,Streptomyces hygroscopicus,1
325,GCF_000721575.1,Streptomyces griseus,1
326,GCF_000721595.1,Streptomyces sp.,1
327,GCF_000721605.1,Streptomyces sp.,1
328,GCF_001513955.1,Streptomyces pseudovenezuelae,1
328,GCF_000721945.1,Streptomyces sp.,1
329,GCF_000722185.1,Streptomyces sp.,1
330,GCF_000725555.1,Streptomyces erythrochromogenes,1
331,GCF_000725565.1,Streptomyces peucetius,1
331,GCF_001279065.1,Streptomyces rimosus,1
332,GCF_000725635.1,Streptomyces sp.,1
333,GCF_000725725.1,Streptomyces xanthophaeus,1
334,GCF_000725795.1,Streptomyces seoulensis,1
334,GCF_004328625.1,Streptomyces seoulensis,4
335,GCF_001550245.1,Streptomyces scabiei,5
335,GCF_000738715.1,Streptomyces scabiei,1
335,GCF_001005405.1,Streptomyces scabiei,1
336,GCF_000739045.1,Streptomyces luteus,6
337,GCF_000743295.1,Streptomyces sp.,1
338,GCF_000745675.1,Streptomyces atratus,1
339,GCF_000745715.1,Streptomyces mirabilis,1
340,GCF_000797385.1,Streptomyces sp.,1
341,GCF_000800535.1,Streptomyces sp.,1
342,GCF_000805335.1,Streptomyces sp.,5
343,GCF_000816025.1,Streptomyces sp.,6
344,GCF_000816485.1,Streptomyces sp.,1
345,GCF_000829695.1,Streptomyces sp.,1
346,GCF_000829715.2,Streptomyces lydicamycinicus,1
347,GCF_000931445.1,Streptomyces cyaneogriseus,5
348,GCF_003263925.1,Streptomyces badius,6
348,GCF_003147545.1,Streptomyces globisporus,6
348,GCF_000932225.2,Streptomyces griseus,6
348,GCF_003263885.1,Streptomyces badius,5
349,GCF_000935185.3,Streptomyces albulus,7
350,GCF_000956015.1,Streptomyces sp.,1
351,GCF_000968685.2,Streptomyces antioxidans,1
352,GCF_000972435.1,Streptomyces sp.,1
353,GCF_000980885.2,Streptomyces malaysiense,1
354,GCF_001008135.1,Streptomyces stelliscabiei,1
354,GCF_001189035.1,Streptomyces stelliscabiei,1
354,GCF_014873495.1,Streptomyces stelliscabiei,6
355,GCF_001014595.1,Streptomyces sp.,1
356,GCF_001040905.1,Streptomyces sp.,1
357,GCF_001047315.1,Streptomyces leeuwenhoekii,1
358,GCF_001187435.1,Streptomyces caatingaensis,6
359,GCF_001189025.1,Streptomyces europaeiscabiei,1
360,GCF_001267885.1,Streptomyces ambofaciens,5
361,GCF_001270565.1,Streptomyces virginiae,1
362,GCF_001279345.1,Streptomyces rimosus,1
363,GCF_001279365.1,Streptomyces sp.,1
364,GCF_001279425.1,Streptomyces sp.,1
365,GCF_001279445.1,Streptomyces sp.,1
365,GCF_001279485.1,Streptomyces sp.,1
365,GCF_001279845.1,Streptomyces sp.,1
365,GCF_001279885.1,Streptomyces sp.,1
365,GCF_001279925.1,Streptomyces sp.,1
365,GCF_014217585.1,Streptomyces sp.,7
366,GCF_001279455.1,Streptomyces sp.,1
367,GCF_001279495.1,Streptomyces sp.,1
368,GCF_001279625.1,Streptomyces sp.,1
369,GCF_001279685.1,Streptomyces sp.,1
370,GCF_001279735.1,Streptomyces sp.,1
371,GCF_001279765.1,Streptomyces sp.,1
372,GCF_001279815.1,Streptomyces sp.,1
372,GCF_001279855.1,Streptomyces sp.,1
372,GCF_001279965.1,Streptomyces sp.,1
373,GCF_001279905.1,Streptomyces sp.,1
374,GCF_001279935.1,Streptomyces sp.,1
375,GCF_001282115.1,Streptomyces sp.,1
375,GCF_002156095.1,Streptomyces sp.,1
376,GCF_001294345.1,Streptomyces sp.,1
377,GCF_001417695.1,Streptomyces sp.,1
378,GCF_001418135.1,Streptomyces aureus,1
379,GCF_001418175.1,Streptomyces hirsutus,1
380,GCF_001418395.1,Streptomyces prasinopilosus,1
381,GCF_001418415.1,Streptomyces hirsutus,1
382,GCF_001418625.1,Streptomyces luridiscabiei,1
383,GCF_001419695.1,Streptomyces prasinopilosus,1
384,GCF_001419705.1,Streptomyces prasinus,1
385,GCF_001425805.1,Streptomyces sp.,1
386,GCF_001426325.1,Streptomyces sp.,1
386,GCF_001427565.1,Streptomyces sp.,1
387,GCF_009846825.1,Streptomyces sp.,1
387,GCF_001431765.1,Streptomyces sp.,5
388,GCF_001434355.1,Streptomyces anulatus,6
389,GCF_001445655.1,Streptomyces roseifaciens,3
390,GCF_001469455.2,Streptomyces sp.,1
391,GCF_001485125.1,Streptomyces scabiei,1
392,GCF_001509565.1,Streptomyces albidoflavus,1
393,GCF_001509775.1,Streptomyces violaceusniger,1
394,GCF_001509795.1,Streptomyces sp.,1
394,GCF_001509785.1,Streptomyces sp.,1
395,GCF_001513975.1,Streptomyces curacoi,1
396,GCF_001513985.1,Streptomyces griseorubiginosus,1
397,GCF_001514045.1,Streptomyces canus,1
398,GCF_001514055.1,Streptomyces corchorusii,1
399,GCF_001514145.1,Streptomyces canus,1
400,GCF_001514235.1,Streptomyces caeruleatus,1
401,GCF_001531145.1,Streptomyces sp.,1
402,GCF_001550215.1,Streptomyces scabiei,5
403,GCF_017968935.1,Streptomyces sp.,3
403,GCF_017968905.1,Streptomyces sp.,2
403,GCF_017933255.1,Streptomyces sp.,3
403,GCF_017933115.1,Streptomyces sp.,3
403,GCF_003584815.1,Streptomyces scabiei,1
403,GCF_001550225.1,Streptomyces scabiei,6
403,GCF_017969045.1,Streptomyces sp.,4
404,GCF_001550295.1,Streptomyces scabiei,6
405,GCF_001572115.1,Streptomyces scabiei,6
405,GCF_017969075.1,Streptomyces sp.,5
406,GCF_001579685.1,Streptomyces scabiei,6
407,GCF_002943895.1,Streptomyces sp.,1
407,GCF_001592685.1,Streptomyces sp.,1
408,GCF_001598115.1,Streptomyces sp.,5
409,GCF_001632865.1,Streptomyces ambofaciens,6
410,GCF_001640565.1,Streptomyces sp.,1
410,GCF_001650215.1,Streptomyces sp.,5
411,GCF_001652895.1,Streptomyces sp.,1
412,GCF_014083905.1,Streptomyces lincolnensis,1
412,GCF_003344445.1,Streptomyces lincolnensis,1
412,GCF_001685355.1,Streptomyces lincolnensis,1
413,GCF_001705785.1,Streptomyces hygroscopicus,1
414,GCF_001723075.1,Streptomyces niveus,1
415,GCF_001729485.1,Streptomyces lydicus,7
416,GCF_001735805.1,Streptomyces fodineus,5
417,GCF_001746295.1,Streptomyces sp.,1
418,GCF_001746305.1,Streptomyces sp.,1
419,GCF_001746425.1,Streptomyces subrutilus,3
420,GCF_001751305.1,Streptomyces nanshensis,2
421,GCF_001865795.1,Streptomyces albidoflavus,1
422,GCF_001866665.1,Streptomyces monashensis,1
423,GCF_001866675.1,Streptomyces sp.,1
424,GCF_001888885.1,Streptomyces viridifaciens,7
425,GCF_001905005.1,Streptomyces sp.,1
426,GCF_001905385.1,Streptomyces sp.,1
427,GCF_001905405.1,Streptomyces sp.,1
428,GCF_001905485.1,Streptomyces sp.,1
428,GCF_014495705.1,Streptomyces sp.,1
429,GCF_001905505.1,Streptomyces sp.,1
430,GCF_001905525.1,Streptomyces sp.,1
431,GCF_001905575.1,Streptomyces sp.,1
432,GCF_001905645.1,Streptomyces sp.,1
433,GCF_001905785.1,Streptomyces sp.,1
434,GCF_001905825.1,Streptomyces sp.,1
435,GCF_001905855.1,Streptomyces sp.,1
436,GCF_001905905.1,Streptomyces sp.,1
437,GCF_001941845.1,Streptomyces sp.,5
438,GCF_001953875.1,Streptomyces amritsarensis,1
439,GCF_001984445.1,Streptomyces lydicus,6
440,GCF_002005565.1,Streptomyces sp.,1
441,GCF_002021875.1,Streptomyces hygroscopicus,5
442,GCF_014203435.1,Streptomyces sp.,7
442,GCF_002028385.1,Streptomyces sp.,6
442,GCF_014203415.1,Streptomyces sp.,7
443,GCF_002028425.1,Streptomyces katrae,3
443,GCF_003814735.1,Streptomyces sp.,4
444,GCF_002080455.1,Streptomyces sp.,7
445,GCF_002082175.1,Streptomyces violaceoruber,6
446,GCF_002090335.1,Streptomyces sp.,5
447,GCF_002094995.1,Streptomyces sp.,3
448,GCF_002114065.1,Streptomyces griseofuscus,3
449,GCF_002150735.1,Streptomyces africanus,1
450,GCF_002154555.1,Streptomyces murinus,1
451,GCF_002156055.1,Streptomyces viridochromogenes,1
452,GCF_002158965.1,Streptomyces lavendulae,1
453,GCF_002188335.1,Streptomyces sp.,11
454,GCF_002188345.1,Streptomyces sp.,10
455,GCF_002217715.1,Streptomyces sp.,5
456,GCF_002224125.1,Streptomyces sp.,1
457,GCF_002242805.1,Streptomyces diastatochromogenes,1
458,GCF_002251155.1,Streptomyces sp.,1
459,GCF_002261115.1,Streptomyces kasugaensis,4
460,GCF_002289335.1,Streptomyces albidoflavus,1
460,GCF_002317005.1,Streptomyces albidoflavus,1
460,GCF_002317025.1,Streptomyces albidoflavus,1
460,GCF_013363555.1,Streptomyces fungicidicus,1
461,GCF_002382885.1,Streptomyces sp.,1
462,GCF_002551015.1,Streptomyces sp.,1
462,GCF_002551055.1,Streptomyces sp.,1
463,GCF_002551045.1,Streptomyces sp.,1
464,GCF_002551105.1,Streptomyces sp.,1
465,GCF_002551135.1,Streptomyces sp.,1
466,GCF_002551145.1,Streptomyces sp.,1
467,GCF_002551175.1,Streptomyces sp.,1
468,GCF_002551225.1,Streptomyces sp.,1
469,GCF_002551305.1,Streptomyces sp.,1
470,GCF_002551335.1,Streptomyces sp.,1
471,GCF_002551345.1,Streptomyces sp.,1
472,GCF_002551375.1,Streptomyces sp.,1
473,GCF_002551415.1,Streptomyces sp.,1
474,GCF_002551425.1,Streptomyces sp.,1
475,GCF_002551435.1,Streptomyces sp.,1
476,GCF_002551465.1,Streptomyces sp.,1
477,GCF_002551475.1,Streptomyces sp.,1
478,GCF_002705695.1,Streptomyces sp.,1
478,GCF_009863235.1,Streptomyces sp.,1
478,GCF_900090065.1,Streptomyces sp.,1
479,GCF_002754435.1,Streptomyces sp.,7
480,GCF_003550115.1,Streptomyces sp.,5
480,GCF_900187385.1,Streptomyces sp.,6
480,GCF_900105775.1,Streptomyces sp.,4
480,GCF_900105235.1,Streptomyces sp.,6
480,GCF_900102245.1,Streptomyces sp.,6
480,GCF_003610145.1,Streptomyces sp.,4
480,GCF_002754455.1,Streptomyces sp.,5
481,GCF_002761895.1,Streptomyces sp.,1
482,GCF_002777535.1,Streptomyces peucetius,2
483,GCF_002802945.1,Streptomyces sp.,1
484,GCF_002803175.1,Streptomyces sp.,1
485,GCF_002804165.1,Streptomyces cavourensis,1
486,GCF_002813225.1,Streptomyces sp.,5
487,GCF_002813405.1,Streptomyces sp.,2
488,GCF_002832675.1,Streptomyces sp.,4
489,GCF_002844215.1,Streptomyces sp.,1
490,GCF_002846295.1,Streptomyces sp.,6
491,GCF_002846315.1,Streptomyces sp.,3
491,GCF_900215565.1,Streptomyces sp.,5
