FILE,marker,variant
GCF_000717645.1,atpD,2
GCF_000717655.1,atpD,524
GCF_000717665.1,atpD,2
GCF_000717725.1,atpD,152
GCF_000717745.1,atpD,73
GCF_000717795.1,atpD,567
GCF_000717805.1,atpD,58
GCF_000717815.1,atpD,730
GCF_000717845.1,atpD,717
GCF_000717875.1,atpD,221
GCF_000717895.1,atpD,864
GCF_000717925.1,atpD,626
GCF_000717965.1,atpD,2
GCF_000717995.1,atpD,175
GCF_000718015.1,atpD,69
GCF_000718095.1,atpD,167
GCF_000718155.1,atpD,142
GCF_000718165.1,atpD,555
GCF_000718175.1,atpD,10
GCF_000718205.1,atpD,2
GCF_000718235.1,atpD,2
GCF_000718245.1,atpD,2
GCF_000718295.1,atpD,58
GCF_000718305.1,atpD,150
GCF_000718315.1,atpD,271
GCF_000718375.1,atpD,219
GCF_000718455.1,atpD,601
GCF_000718525.1,atpD,244
GCF_000718595.1,atpD,721
GCF_000718615.1,atpD,2
GCF_000718625.1,atpD,143
GCF_000718635.1,atpD,173
GCF_000718675.1,atpD,58
GCF_000718695.1,atpD,2
GCF_000718705.1,atpD,16
GCF_000718715.1,atpD,58
GCF_000718755.1,atpD,298
GCF_000718775.1,atpD,323
GCF_000718785.1,atpD,795
GCF_000718815.1,atpD,58
GCF_000718835.1,atpD,58
GCF_000718865.1,atpD,58
GCF_000718915.1,atpD,2
GCF_000718935.1,atpD,693
GCF_000718945.1,atpD,756
GCF_000718955.1,atpD,675
GCF_000718985.1,atpD,146
GCF_000719035.1,atpD,2
GCF_000719135.1,atpD,938
GCF_000719185.1,atpD,298
GCF_000719195.1,atpD,2
GCF_000719255.1,atpD,173
GCF_000719265.1,atpD,363
GCF_000719335.1,atpD,608
GCF_000719355.1,atpD,226
GCF_000719365.1,atpD,465
GCF_000719425.1,atpD,115
GCF_000719435.1,atpD,5
GCF_000719495.1,atpD,110
GCF_000719505.1,atpD,890
GCF_000719555.1,atpD,845
GCF_000719575.1,atpD,572
GCF_000719585.1,atpD,2
GCF_000719605.1,atpD,75
GCF_000719625.1,atpD,16
GCF_000719655.1,atpD,413
GCF_000719665.1,atpD,237
GCF_000719735.1,atpD,115
GCF_000719775.1,atpD,485
GCF_000719785.1,atpD,184
GCF_000719815.1,atpD,473
GCF_000719855.1,atpD,929
GCF_000719865.1,atpD,371
GCF_000719895.1,atpD,633
GCF_000719925.1,atpD,2
GCF_000719955.1,atpD,92
GCF_000720055.1,atpD,2
GCF_000720065.1,atpD,2
GCF_000720135.1,atpD,353
GCF_000720175.1,atpD,698
GCF_000720185.1,atpD,644
GCF_000720215.1,atpD,252
GCF_000720235.1,atpD,16
GCF_000720255.1,atpD,457
GCF_000720295.1,atpD,311
GCF_000720325.1,atpD,434
GCF_000720395.1,atpD,374
GCF_000720405.1,atpD,156
GCF_000720455.1,atpD,16
GCF_000720485.1,atpD,48
GCF_000720505.1,atpD,428
GCF_000720565.1,atpD,58
GCF_000720605.1,atpD,58
GCF_000720645.1,atpD,932
GCF_000720675.1,atpD,574
GCF_000720715.1,atpD,58
GCF_000720755.1,atpD,311
GCF_000720765.1,atpD,703
GCF_000720795.1,atpD,675
GCF_000720835.1,atpD,107
GCF_000720875.1,atpD,660
GCF_000720885.1,atpD,115
GCF_000721035.1,atpD,244
GCF_000721045.1,atpD,58
GCF_000721105.1,atpD,558
GCF_000721185.1,atpD,37
GCF_000721205.1,atpD,2
GCF_000721235.1,atpD,153
GCF_000721255.1,atpD,118
GCF_000721265.1,atpD,695
GCF_000721335.1,atpD,237
GCF_000721365.1,atpD,926
GCF_000721415.1,atpD,2
GCF_000721435.1,atpD,184
GCF_000721455.1,atpD,222
GCF_000721515.1,atpD,654
GCF_000721525.1,atpD,311
GCF_000721535.1,atpD,532
GCF_000721575.1,atpD,2
GCF_000721595.1,atpD,156
GCF_000721605.1,atpD,842
GCF_000721665.1,atpD,58
GCF_000721685.1,atpD,23
GCF_000721715.1,atpD,787
GCF_000721935.1,atpD,707
GCF_000721945.1,atpD,656
GCF_000721955.1,atpD,221
GCF_000722015.1,atpD,221
GCF_000722185.1,atpD,28
GCF_000725475.1,atpD,128
GCF_000725495.1,atpD,356
GCF_000725545.1,atpD,10
GCF_000725555.1,atpD,935
GCF_000725565.1,atpD,211
GCF_000725625.1,atpD,340
GCF_000725635.1,atpD,5
GCF_000725645.1,atpD,237
GCF_000725655.1,atpD,579
GCF_000725715.1,atpD,359
GCF_000725725.1,atpD,192
GCF_000725785.1,atpD,132
GCF_000725795.1,atpD,168
GCF_000725805.1,atpD,179
GCF_000725885.1,atpD,115
GCF_000738695.1,atpD,260
GCF_000738715.1,atpD,165
GCF_000739045.1,atpD,410
GCF_000739105.1,atpD,127
GCF_000743295.1,atpD,319
GCF_000745345.1,atpD,181
GCF_000761215.1,atpD,786
GCF_000764715.1,atpD,119
GCF_000772045.1,atpD,419
GCF_000797385.1,atpD,329
GCF_000800535.1,atpD,27
GCF_000802245.2,atpD,155
GCF_000805335.1,atpD,768
GCF_000813365.1,atpD,115
GCF_000816025.1,atpD,700
GCF_000816465.3,atpD,155
GCF_000816485.1,atpD,841
GCF_000819545.1,atpD,151
GCF_000829695.1,atpD,641
GCF_000829715.2,atpD,564
GCF_000830005.1,atpD,174
GCF_000931445.1,atpD,716
GCF_000935125.1,atpD,649
GCF_000935135.2,atpD,11
GCF_000935185.3,atpD,772
GCF_000955965.1,atpD,132
GCF_000956015.1,atpD,131
GCF_000958545.1,atpD,376
GCF_000966965.1,atpD,16
GCF_000966975.1,atpD,141
GCF_000968685.2,atpD,640
GCF_000972385.1,atpD,527
GCF_000972395.1,atpD,127
GCF_000972435.1,atpD,342
GCF_000974985.2,atpD,411
GCF_000980885.2,atpD,540
GCF_000981895.1,atpD,396
GCF_000988945.1,atpD,292
GCF_001005085.2,atpD,312
GCF_001005295.1,atpD,934
GCF_001005405.1,atpD,165
GCF_001008135.1,atpD,496
GCF_001013905.1,atpD,144
GCF_001014595.1,atpD,5
GCF_001040905.1,atpD,261
GCF_001047315.1,atpD,144
GCF_001047325.1,atpD,625
GCF_001184025.1,atpD,619
GCF_001187435.1,atpD,817
GCF_001189015.1,atpD,514
GCF_001189025.1,atpD,11
GCF_001189035.1,atpD,496
GCF_001190165.1,atpD,235
GCF_001267885.1,atpD,547
GCF_001270025.1,atpD,712
GCF_001270485.1,atpD,625
GCF_001270495.1,atpD,625
GCF_001270505.1,atpD,161
GCF_001270515.1,atpD,178
GCF_001270565.1,atpD,626
GCF_001270575.1,atpD,75
GCF_001270635.1,atpD,311
GCF_001270675.1,atpD,2
GCF_001278075.1,atpD,101
GCF_001278095.1,atpD,216
GCF_001279005.1,atpD,219
GCF_001279015.1,atpD,58
GCF_001279025.1,atpD,58
GCF_001279065.1,atpD,211
GCF_001279075.1,atpD,58
GCF_001279095.1,atpD,58
GCF_001279105.1,atpD,58
GCF_001279345.1,atpD,857
GCF_001279355.1,atpD,237
GCF_001279365.1,atpD,548
GCF_001279375.1,atpD,58
GCF_001279425.1,atpD,413
GCF_001279445.1,atpD,16
GCF_001279455.1,atpD,219
GCF_001279485.1,atpD,16
GCF_001279495.1,atpD,16
GCF_001279545.1,atpD,414
GCF_001279605.1,atpD,237
GCF_001279615.1,atpD,237
GCF_001279625.1,atpD,699
GCF_001279685.1,atpD,16
GCF_001279695.1,atpD,832
GCF_001279725.1,atpD,804
GCF_001279735.1,atpD,2
GCF_001279765.1,atpD,16
GCF_001279775.1,atpD,754
GCF_001279815.1,atpD,16
GCF_001279845.1,atpD,16
GCF_001279855.1,atpD,16
GCF_001279885.1,atpD,16
GCF_001279905.1,atpD,16
GCF_001279925.1,atpD,16
GCF_001279935.1,atpD,16
GCF_001279965.1,atpD,16
GCF_001279985.1,atpD,583
GCF_001280005.1,atpD,576
GCF_001280015.1,atpD,747
GCF_001280045.1,atpD,579
GCF_001280095.1,atpD,332
GCF_001280125.1,atpD,332
GCF_001282115.1,atpD,280
GCF_001293595.1,atpD,473
GCF_001294335.1,atpD,56
GCF_001294345.1,atpD,530
GCF_001414545.1,atpD,307
GCF_001417675.1,atpD,634
GCF_001417695.1,atpD,344
GCF_001417735.1,atpD,676
GCF_001417775.1,atpD,766
GCF_001418125.1,atpD,115
GCF_001418135.1,atpD,224
GCF_001418165.1,atpD,609
GCF_001418175.1,atpD,512
GCF_001418325.1,atpD,812
GCF_001418395.1,atpD,603
GCF_001418415.1,atpD,512
GCF_001418465.1,atpD,14
GCF_001418475.1,atpD,138
GCF_001418545.1,atpD,115
GCF_001418565.1,atpD,824
GCF_001418585.1,atpD,624
GCF_001418625.1,atpD,1
GCF_001418645.1,atpD,149
GCF_001418655.1,atpD,493
GCF_001419695.1,atpD,637
GCF_001419705.1,atpD,508
GCF_001419795.1,atpD,771
GCF_001425805.1,atpD,790
GCF_001426325.1,atpD,11
GCF_001426405.1,atpD,196
GCF_001426425.1,atpD,263
GCF_001426585.1,atpD,551
GCF_001427245.1,atpD,446
GCF_001427565.1,atpD,11
GCF_001427745.1,atpD,196
GCF_001428885.1,atpD,797
GCF_001431765.1,atpD,5
GCF_001434355.1,atpD,11
GCF_001445655.1,atpD,645
GCF_001445835.1,atpD,177
GCF_001469455.2,atpD,641
GCF_001482415.1,atpD,783
GCF_001484565.1,atpD,751
GCF_001485105.1,atpD,288
GCF_001485125.1,atpD,833
GCF_001493375.1,atpD,921
GCF_001507395.1,atpD,58
GCF_001507435.1,atpD,393
GCF_001509475.1,atpD,865
GCF_001509505.1,atpD,463
GCF_001509565.1,atpD,92
GCF_001509775.1,atpD,325
GCF_001509785.1,atpD,487
GCF_001509795.1,atpD,487
GCF_001513955.1,atpD,656
GCF_001513965.1,atpD,709
GCF_001513975.1,atpD,284
GCF_001513985.1,atpD,839
GCF_001514035.1,atpD,501
GCF_001514045.1,atpD,96
GCF_001514055.1,atpD,651
GCF_001514065.1,atpD,876
GCF_001514115.1,atpD,723
GCF_001514125.1,atpD,366
GCF_001514135.1,atpD,119
GCF_001514145.1,atpD,790
GCF_001514195.1,atpD,100
GCF_001514205.1,atpD,624
GCF_001514215.1,atpD,875
GCF_001514235.1,atpD,808
GCF_001514265.1,atpD,161
GCF_001514285.1,atpD,632
GCF_001514305.1,atpD,918
GCF_001531145.1,atpD,929
GCF_001542625.1,atpD,266
GCF_001550215.1,atpD,165
GCF_001550225.1,atpD,165
GCF_001550235.1,atpD,165
GCF_001550245.1,atpD,165
GCF_001550295.1,atpD,165
GCF_001550315.1,atpD,545
GCF_001550325.1,atpD,292
GCF_001550375.1,atpD,292
GCF_001553435.1,atpD,72
GCF_001553455.1,atpD,52
GCF_001553475.1,atpD,52
GCF_001570645.1,atpD,72
GCF_001572115.1,atpD,165
GCF_001577385.1,atpD,5
GCF_001579685.1,atpD,165
GCF_001590865.1,atpD,220
GCF_001592685.1,atpD,247
GCF_001595515.1,atpD,185
GCF_001598115.1,atpD,86
GCF_001611795.1,atpD,529
GCF_001625365.1,atpD,445
GCF_001632865.1,atpD,314
GCF_001636945.2,atpD,490
GCF_001640565.1,atpD,616
GCF_001642695.1,atpD,799
GCF_001642995.1,atpD,769
GCF_001650215.1,atpD,616
GCF_001652895.1,atpD,367
GCF_001653515.1,atpD,659
GCF_001654495.1,atpD,809
GCF_001660045.1,atpD,436
GCF_001661615.1,atpD,115
GCF_001672315.1,atpD,264
GCF_001685355.1,atpD,357
GCF_001687325.1,atpD,190
GCF_001693675.1,atpD,126
GCF_001700505.1,atpD,28
GCF_001700515.1,atpD,477
GCF_001704195.1,atpD,222
GCF_001704635.1,atpD,484
GCF_001705785.1,atpD,72
GCF_001715295.1,atpD,494
GCF_001723055.1,atpD,51
GCF_001723065.1,atpD,798
GCF_001723075.1,atpD,834
GCF_001723115.1,atpD,6
GCF_001729485.1,atpD,854
GCF_001735805.1,atpD,296
GCF_001746285.1,atpD,506
GCF_001746295.1,atpD,346
GCF_001746305.1,atpD,9
GCF_001746315.1,atpD,9
GCF_001746365.1,atpD,208
GCF_001746415.1,atpD,422
GCF_001746425.1,atpD,544
GCF_001746455.1,atpD,422
GCF_001746465.1,atpD,474
GCF_001746475.1,atpD,822
GCF_001748165.1,atpD,755
GCF_001750785.1,atpD,359
GCF_001751305.1,atpD,838
GCF_001751345.1,atpD,924
GCF_001751365.1,atpD,924
GCF_001756925.1,atpD,235
GCF_001767375.1,atpD,315
GCF_001865245.1,atpD,849
GCF_001865255.1,atpD,455
GCF_001865315.1,atpD,222
GCF_001865795.1,atpD,627
GCF_001866645.1,atpD,201
GCF_001866665.1,atpD,743
GCF_001866675.1,atpD,301
GCF_001886595.1,atpD,15
GCF_001896135.2,atpD,378
GCF_001905005.1,atpD,679
GCF_001905025.1,atpD,753
GCF_001905125.1,atpD,897
GCF_001905345.1,atpD,920
GCF_001905385.1,atpD,342
GCF_001905405.1,atpD,607
GCF_001905425.1,atpD,379
GCF_001905445.1,atpD,664
GCF_001905485.1,atpD,506
GCF_001905505.1,atpD,518
GCF_001905525.1,atpD,11
GCF_001905575.1,atpD,481
GCF_001905595.1,atpD,291
GCF_001905645.1,atpD,11
GCF_001905665.1,atpD,202
GCF_001905705.1,atpD,203
GCF_001905725.1,atpD,782
GCF_001905735.1,atpD,282
GCF_001905785.1,atpD,657
GCF_001905795.1,atpD,668
GCF_001905825.1,atpD,358
GCF_001905845.1,atpD,507
GCF_001905855.1,atpD,785
GCF_001905905.1,atpD,678
GCF_001906585.1,atpD,663
GCF_001931635.1,atpD,248
GCF_001941265.1,atpD,288
GCF_001941275.1,atpD,582
GCF_001941285.1,atpD,288
GCF_001941845.1,atpD,131
GCF_001949645.1,atpD,288
GCF_001953875.1,atpD,929
GCF_001953885.1,atpD,285
GCF_001969965.1,atpD,484
GCF_001974775.1,atpD,546
GCF_001975025.1,atpD,212
GCF_001983595.1,atpD,17
GCF_001983975.1,atpD,427
GCF_001984445.1,atpD,54
GCF_002005225.1,atpD,307
GCF_002005565.1,atpD,606
GCF_002007125.1,atpD,341
GCF_002007685.1,atpD,929
GCF_002009175.1,atpD,796
GCF_002017835.1,atpD,119
GCF_002019855.1,atpD,468
GCF_002021875.1,atpD,451
GCF_002028385.1,atpD,482
GCF_002028425.1,atpD,337
GCF_002078175.1,atpD,801
GCF_002078235.1,atpD,742
GCF_002080455.1,atpD,383
GCF_002082175.1,atpD,2
GCF_002082195.1,atpD,556
GCF_002090335.1,atpD,650
GCF_002094995.1,atpD,227
GCF_002119225.1,atpD,359
GCF_002128305.1,atpD,937
GCF_002148965.1,atpD,684
GCF_002150735.1,atpD,662
GCF_002150845.1,atpD,382
GCF_002154275.1,atpD,86
GCF_002154375.1,atpD,364
GCF_002154385.1,atpD,23
GCF_002154415.1,atpD,116
GCF_002154445.1,atpD,359
GCF_002154505.1,atpD,439
GCF_002154555.1,atpD,570
GCF_002154575.1,atpD,19
GCF_002155725.1,atpD,339
GCF_002155765.1,atpD,545
GCF_002155885.1,atpD,87
GCF_002155905.1,atpD,105
GCF_002155915.1,atpD,818
GCF_002156055.1,atpD,565
GCF_002156075.1,atpD,461
GCF_002156095.1,atpD,280
GCF_002156145.1,atpD,881
GCF_002188335.1,atpD,228
GCF_002188345.1,atpD,11
GCF_002188365.1,atpD,209
GCF_002189675.2,atpD,114
GCF_002192455.1,atpD,927
GCF_002217715.1,atpD,333
GCF_002217755.1,atpD,732
GCF_002224125.2,atpD,670
GCF_002237655.1,atpD,893
GCF_002242805.1,atpD,735
GCF_002251155.1,atpD,837
GCF_002261115.1,atpD,85
GCF_002277855.1,atpD,281
GCF_002286695.1,atpD,882
GCF_002289335.1,atpD,5
GCF_002300165.1,atpD,361
GCF_002300485.1,atpD,370
GCF_002317005.1,atpD,5
GCF_002317025.1,atpD,5
GCF_002317035.1,atpD,5
GCF_002335465.1,atpD,723
GCF_002382885.1,atpD,674
GCF_002551015.1,atpD,481
GCF_002551045.1,atpD,481
GCF_002551055.1,atpD,481
GCF_002551065.1,atpD,491
GCF_002551105.1,atpD,39
GCF_002551135.1,atpD,226
GCF_002551145.1,atpD,399
GCF_002551175.1,atpD,319
GCF_002551185.1,atpD,855
GCF_002551225.1,atpD,495
GCF_002551235.1,atpD,495
GCF_002551295.1,atpD,338
GCF_002551305.1,atpD,892
GCF_002551335.1,atpD,333
GCF_002551345.1,atpD,258
GCF_002551375.1,atpD,258
GCF_002551415.1,atpD,258
GCF_002551425.1,atpD,2
GCF_002551435.1,atpD,738
GCF_002551465.1,atpD,481
GCF_002551475.1,atpD,827
GCF_002556545.1,atpD,14
GCF_002573955.1,atpD,701
GCF_002591335.1,atpD,427
GCF_002705685.1,atpD,759
GCF_002705695.1,atpD,37
GCF_002705975.1,atpD,911
GCF_002711365.1,atpD,689
GCF_002727115.1,atpD,83
GCF_002742045.1,atpD,503
GCF_002761895.1,atpD,691
GCF_002794255.1,atpD,903
GCF_002797835.1,atpD,214
GCF_002802945.1,atpD,602
GCF_002803065.1,atpD,889
GCF_002803075.1,atpD,580
GCF_002803085.1,atpD,250
GCF_002803155.1,atpD,188
GCF_002803175.1,atpD,319
GCF_002803195.1,atpD,753
GCF_002803845.1,atpD,142
GCF_002804165.1,atpD,216
GCF_002812405.1,atpD,427
GCF_002832675.1,atpD,9
GCF_002843305.1,atpD,478
GCF_002844215.1,atpD,110
GCF_002846415.1,atpD,901
GCF_002846455.1,atpD,655
GCF_002879675.3,atpD,734
GCF_002891295.1,atpD,206
GCF_002891315.1,atpD,283
GCF_002891435.1,atpD,636
GCF_002891865.1,atpD,427
GCF_002899455.1,atpD,900
GCF_002910725.2,atpD,92
GCF_002910755.1,atpD,906
GCF_002910775.2,atpD,37
GCF_002910795.1,atpD,92
GCF_002910815.1,atpD,92
GCF_002910825.1,atpD,310
GCF_002910855.1,atpD,906
GCF_002910875.1,atpD,324
GCF_002910905.1,atpD,481
GCF_002910915.1,atpD,868
GCF_002910935.1,atpD,399
GCF_002910985.1,atpD,399
GCF_002920535.1,atpD,859
GCF_002920575.1,atpD,249
GCF_002920635.1,atpD,928
GCF_002939385.1,atpD,697
GCF_002939475.1,atpD,83
GCF_002941025.1,atpD,667
GCF_002943895.1,atpD,247
GCF_002946835.1,atpD,503
GCF_002966105.1,atpD,235
GCF_002982015.1,atpD,480
GCF_003013745.1,atpD,717
GCF_003024215.1,atpD,578
GCF_003032475.1,atpD,828
GCF_003041235.1,atpD,139
GCF_003048205.2,atpD,293
GCF_003073355.1,atpD,167
GCF_003074055.1,atpD,402
GCF_003112515.1,atpD,234
GCF_003112535.1,atpD,840
GCF_003112555.1,atpD,228
GCF_003112575.1,atpD,237
GCF_003112595.1,atpD,127
GCF_003116675.1,atpD,475
GCF_003116715.1,atpD,247
GCF_003116725.1,atpD,450
GCF_003116755.1,atpD,245
GCF_003116775.1,atpD,258
GCF_003116795.1,atpD,342
GCF_003121295.1,atpD,912
GCF_003122345.2,atpD,235
GCF_003129505.1,atpD,771
GCF_003143855.1,atpD,511
GCF_003143935.1,atpD,761
GCF_003144095.1,atpD,613
GCF_003146615.1,atpD,758
GCF_003147545.1,atpD,39
GCF_003148825.1,atpD,850
GCF_003173275.1,atpD,84
GCF_003208035.1,atpD,843
GCF_003236365.1,atpD,349
GCF_003248335.1,atpD,696
GCF_003248355.1,atpD,696
GCF_003261055.1,atpD,583
GCF_003268535.2,atpD,704
GCF_003268555.1,atpD,704
GCF_003311645.1,atpD,933
GCF_003323715.1,atpD,614
GCF_003323735.1,atpD,306
GCF_003324565.1,atpD,665
GCF_003325375.1,atpD,528
GCF_003330845.1,atpD,360
GCF_003330865.1,atpD,253
GCF_003344445.1,atpD,357
GCF_003344905.1,atpD,464
GCF_003344965.1,atpD,825
GCF_003346515.1,atpD,195
GCF_003352445.1,atpD,216
GCF_003353555.1,atpD,39
GCF_003355155.1,atpD,902
GCF_003363195.1,atpD,819
GCF_003367645.1,atpD,17
GCF_003369795.1,atpD,207
GCF_003387455.1,atpD,127
GCF_003389455.1,atpD,767
GCF_003391135.1,atpD,316
GCF_003403055.1,atpD,33
GCF_003428925.1,atpD,110
GCF_003443735.1,atpD,586
GCF_003454755.1,atpD,126
GCF_003568675.1,atpD,500
GCF_003574445.1,atpD,904
GCF_003584805.1,atpD,288
GCF_003584815.1,atpD,165
GCF_003584825.1,atpD,292
GCF_003595235.1,atpD,620
GCF_003595545.1,atpD,242
GCF_003610995.1,atpD,450
GCF_003626575.1,atpD,931
GCF_003626585.1,atpD,931
GCF_003627815.1,atpD,823
GCF_003634815.1,atpD,337
GCF_003635085.1,atpD,802
GCF_003665435.1,atpD,267
GCF_003671675.1,atpD,241
GCF_003671685.1,atpD,418
GCF_003671715.1,atpD,617
GCF_003671755.1,atpD,513
GCF_003675325.1,atpD,191
GCF_003675955.1,atpD,160
GCF_003687515.1,atpD,407
GCF_003688995.1,atpD,520
GCF_003709145.1,atpD,748
GCF_003721215.1,atpD,594
GCF_003751985.1,atpD,785
GCF_003752205.1,atpD,658
GCF_003814735.1,atpD,337
GCF_003814765.1,atpD,874
GCF_003814875.1,atpD,408
GCF_003851625.1,atpD,915
GCF_003851665.1,atpD,772
GCF_003865135.1,atpD,66
GCF_003865155.1,atpD,71
GCF_003932715.1,atpD,305
GCF_003933295.1,atpD,589
GCF_003933485.1,atpD,262
GCF_003933965.1,atpD,867
GCF_003935055.1,atpD,114
GCF_003945525.1,atpD,170
GCF_003945545.1,atpD,830
GCF_003947265.2,atpD,355
GCF_003947455.1,atpD,562
GCF_003947555.1,atpD,326
GCF_003947575.1,atpD,211
GCF_003947585.1,atpD,58
GCF_003949505.1,atpD,905
GCF_003949535.1,atpD,392
GCF_003949695.1,atpD,628
GCF_003949795.1,atpD,430
GCF_003949805.1,atpD,584
GCF_003949835.1,atpD,342
GCF_003949875.1,atpD,525
GCF_003949895.1,atpD,322
GCF_003949905.1,atpD,185
GCF_003950035.1,atpD,392
GCF_003950055.1,atpD,385
GCF_003955715.1,atpD,274
GCF_003963535.1,atpD,846
GCF_003970715.1,atpD,68
GCF_003977835.1,atpD,170
GCF_003977875.1,atpD,737
GCF_003984905.1,atpD,561
GCF_003984925.1,atpD,185
GCF_003984935.1,atpD,330
GCF_003984965.1,atpD,342
GCF_003984975.1,atpD,561
GCF_003989035.1,atpD,226
GCF_003994375.1,atpD,488
GCF_003994395.1,atpD,272
GCF_004000395.1,atpD,437
GCF_004000405.1,atpD,94
GCF_004005495.1,atpD,497
GCF_004028635.1,atpD,24
GCF_004078575.1,atpD,230
GCF_004104485.1,atpD,271
GCF_004117935.1,atpD,681
GCF_004122755.1,atpD,243
GCF_004124335.1,atpD,879
GCF_004125245.1,atpD,54
GCF_004125265.1,atpD,805
GCF_004125275.1,atpD,488
GCF_004125315.1,atpD,373
GCF_004127445.1,atpD,212
GCF_004151105.1,atpD,853
GCF_004187715.1,atpD,331
GCF_004195735.1,atpD,92
GCF_004195745.1,atpD,5
GCF_004195755.1,atpD,92
GCF_004195775.1,atpD,92
GCF_004195835.1,atpD,5
GCF_004195845.1,atpD,92
GCF_004195855.1,atpD,92
GCF_004195885.1,atpD,92
GCF_004195895.1,atpD,5
GCF_004195935.1,atpD,110
GCF_004195945.1,atpD,109
GCF_004195955.1,atpD,110
GCF_004195965.1,atpD,110
GCF_004195995.1,atpD,111
GCF_004196035.1,atpD,112
GCF_004196045.1,atpD,112
GCF_004196145.1,atpD,5
GCF_004196155.1,atpD,5
GCF_004196215.1,atpD,112
GCF_004196225.1,atpD,713
GCF_004212445.1,atpD,212
GCF_004217285.1,atpD,746
GCF_004217355.1,atpD,866
GCF_004295505.1,atpD,305
GCF_004305975.1,atpD,922
GCF_004320085.1,atpD,523
GCF_004328625.1,atpD,168
GCF_004334925.1,atpD,204
GCF_004337435.2,atpD,521
GCF_004341025.1,atpD,757
GCF_004364245.1,atpD,270
GCF_004364395.1,atpD,210
GCF_004522685.1,atpD,238
GCF_004524875.1,atpD,156
GCF_004563805.1,atpD,51
GCF_004684775.1,atpD,887
GCF_004684805.1,atpD,259
GCF_004768505.1,atpD,115
GCF_004794175.1,atpD,227
GCF_004794665.1,atpD,570
GCF_004795015.1,atpD,688
GCF_004795035.1,atpD,573
GCF_004795055.1,atpD,878
GCF_004795105.1,atpD,269
GCF_004795115.1,atpD,686
GCF_004795155.1,atpD,127
GCF_004795255.1,atpD,791
GCF_004795715.1,atpD,342
GCF_004798575.1,atpD,463
GCF_004803895.1,atpD,377
GCF_005048155.1,atpD,831
GCF_005222485.1,atpD,272
GCF_005234185.1,atpD,324
GCF_005280195.1,atpD,255
GCF_005280215.1,atpD,599
GCF_005405925.1,atpD,61
GCF_005405965.1,atpD,119
GCF_005406005.1,atpD,119
GCF_005490965.1,atpD,342
GCF_005519465.1,atpD,126
GCF_005768555.2,atpD,500
GCF_005938145.1,atpD,57
