query,subject,identity,algn_length,mismatches,gap_opens,q_start,q_end,s_start,s_end,evalue,bit_score,q_cov,assembly_accession,name,symbol,attributes,status,product_accession
atpD_183,NZ_AGBF01000094.1,100.0,495,0,0,1,495,9668,9174,0.0,893.0,100,GCF_000225525.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_007499025.1
atpD_290,NZ_JH164850.1,100.0,495,0,0,1,495,29392,28898,0.0,893.0,100,GCF_000226455.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_010040147.1
atpD_481,NZ_AGSW01000051.1,100.0,495,0,0,1,495,79260,79754,0.0,893.0,100,GCF_000239075.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_007447734.1
atpD_15,NC_018750.1,100.0,495,0,0,1,495,5409845,5410339,0.0,893.0,100,GCF_000253235.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_015036209.1
atpD_657,NZ_CP013738.1,100.0,495,0,0,1,495,5570447,5570941,0.0,893.0,100,GCF_000261345.2,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_010060165.1
atpD_193,NZ_AJTQ01000139.1,100.0,495,0,0,1,495,119317,118823,0.0,893.0,100,GCF_000262345.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_016907383.1
atpD_197,NZ_CP072931.1,100.0,495,0,0,1,495,5482783,5483277,0.0,893.0,100,GCF_000280865.2,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_006603088.1
atpD_305,NZ_CP029159.1,100.0,495,0,0,1,495,2536955,2536461,0.0,893.0,100,GCF_000297155.3,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_006346592.1
atpD_335,NZ_ALNP01000028.1,100.0,495,0,0,1,495,30955,31449,0.0,893.0,100,GCF_000297635.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_026047797.1
atpD_5,NZ_AMPN02000002.1,100.0,495,0,0,1,495,1804451,1803957,0.0,893.0,100,GCF_000299175.2,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_003950883.1
atpD_758,NZ_JH993790.1,100.0,495,0,0,1,495,922336,921842,0.0,893.0,100,GCF_000316095.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_004983325.1
atpD_140,NZ_AEJC01000389.1,100.0,495,0,0,1,495,14872,15366,0.0,893.0,100,GCF_000317595.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_009321660.1
atpD_58,NZ_CP048261.1,100.0,495,0,0,1,495,6286050,6286544,0.0,893.0,100,GCF_000331185.2,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_003981309.1
atpD_780,NZ_AMLP01000083.1,100.0,495,0,0,1,495,6784,6290,0.0,893.0,100,GCF_000332625.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_003997862.1
atpD_121,NZ_KB405078.1,100.0,495,0,0,1,495,412673,412179,0.0,893.0,100,GCF_000340335.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_005480242.1
atpD_148,NZ_AORZ01000143.1,100.0,495,0,0,1,495,2208,1714,0.0,893.0,100,GCF_000342125.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_004953252.1
atpD_629,NC_020504.1,100.0,495,0,0,1,495,3456487,3455993,0.0,893.0,100,GCF_000349325.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_015657800.1
atpD_36,NC_020990.1,100.0,495,0,0,1,495,1742217,1741723,0.0,893.0,100,GCF_000359525.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_003950883.1
atpD_390,NC_021055.1,100.0,495,0,0,1,495,5055554,5056048,0.0,893.0,100,GCF_000364805.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_014154047.1
atpD_157,NZ_BARF01000069.1,100.0,495,0,0,1,495,13203,13697,0.0,893.0,100,GCF_000367365.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_019060726.1
atpD_5,NZ_KB890732.1,100.0,495,0,0,1,495,179618,180112,0.0,893.0,100,GCF_000373225.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_003950883.1
atpD_661,NZ_KB891296.1,100.0,495,0,0,1,495,468486,467992,0.0,893.0,100,GCF_000373405.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_018509906.1
atpD_471,NZ_KB891850.1,100.0,495,0,0,1,495,310342,310836,0.0,893.0,100,GCF_000373565.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_018535371.1
atpD_858,NZ_KB891987.1,100.0,495,0,0,1,495,900741,901235,0.0,893.0,100,GCF_000373625.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_018544519.1
atpD_177,NZ_KB904663.1,100.0,495,0,0,1,495,45684,46178,0.0,893.0,100,GCF_000380165.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_018383687.1
atpD_205,NZ_ARPI01000001.1,100.0,495,0,0,1,495,401474,400980,0.0,893.0,100,GCF_000382745.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_014048353.1
atpD_121,NZ_KB911581.1,100.0,495,0,0,1,495,1712842,1713336,0.0,893.0,100,GCF_000383595.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_005480242.1
atpD_635,NZ_KB911723.1,100.0,495,0,0,1,495,67340,66846,0.0,893.0,100,GCF_000383635.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_020131176.1
atpD_159,NZ_KB913030.1,100.0,495,0,0,1,495,5109678,5110172,0.0,893.0,100,GCF_000384175.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_019889509.1
atpD_133,NC_021177.1,100.0,495,0,0,1,495,5715671,5716165,0.0,893.0,100,GCF_000385945.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_015611380.1
atpD_127,NZ_CM001889.1,100.0,495,0,0,1,495,5862562,5863056,0.0,893.0,100,GCF_000403665.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_003973624.1
atpD_772,NZ_AROY02000105.1,100.0,495,0,0,1,495,6414,5920,0.0,893.0,100,GCF_000403765.2,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_016577950.1
atpD_194,NZ_APIV01000026.1,100.0,495,0,0,1,495,68873,68379,0.0,893.0,100,GCF_000404005.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_037771405.1
atpD_115,NZ_KE150472.1,100.0,495,0,0,1,495,575432,575926,0.0,893.0,100,GCF_000411495.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_016469816.1
atpD_753,NZ_CP011664.1,100.0,495,0,0,1,495,5376462,5376956,0.0,893.0,100,GCF_000412265.2,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_008738184.1
atpD_543,NZ_AOPZ01000280.1,100.0,495,0,0,1,495,9417,9911,0.0,893.0,100,GCF_000414115.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_016643255.1
atpD_361,NZ_AUKV01000028.1,100.0,495,0,0,1,495,26024,26518,0.0,893.0,100,GCF_000424945.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_028804230.1
atpD_130,NZ_AUBE01000011.1,100.0,495,0,0,1,495,176526,176032,0.0,893.0,100,GCF_000429085.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_028813206.1
atpD_597,NC_021985.1,100.0,495,0,0,1,495,5799177,5799671,0.0,893.0,100,GCF_000444875.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_020942274.1
atpD_898,NZ_ASHX02000001.1,100.0,495,0,0,1,495,1909199,1908705,0.0,893.0,100,GCF_000478605.2,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_023586528.1
atpD_412,NZ_CM002273.1,100.0,495,0,0,1,495,1999950,1999456,0.0,893.0,100,GCF_000495755.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_003950883.1
atpD_834,NZ_CM002280.1,100.0,495,0,0,1,495,2648428,2647934,0.0,893.0,100,GCF_000497425.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_023538636.1
atpD_231,NZ_CM002285.1,100.0,495,0,0,1,495,2968688,2968194,0.0,893.0,100,GCF_000497445.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_023546730.1
atpD_578,NZ_AWOQ01000222.1,100.0,495,0,0,1,495,9435,9929,0.0,893.0,100,GCF_000498935.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_006127593.1
atpD_772,NZ_AXDB02000045.1,100.0,495,0,0,1,495,19551,19057,0.0,893.0,100,GCF_000504065.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_016577950.1
atpD_551,NZ_AZSS01000360.1,100.0,495,0,0,1,495,11643,11149,0.0,893.0,100,GCF_000518045.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_024761910.1
atpD_57,NZ_JABQ01000013.1,100.0,495,0,0,1,495,19510,19016,0.0,893.0,100,GCF_000590515.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_037951025.1
atpD_692,NZ_CP097800.1,100.0,495,0,0,1,495,2458291,2457797,0.0,893.0,100,GCF_000612545.2,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_037927934.1
atpD_227,NZ_ARPF01000003.1,100.0,495,0,0,1,495,358198,358692,0.0,893.0,100,GCF_000647875.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_018492191.1
atpD_772,NZ_CP007574.1,100.0,495,0,0,1,495,6205796,6206290,0.0,893.0,100,GCF_000695235.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_038521773.1
atpD_144,NZ_AZSD01000123.1,100.0,495,0,0,1,495,30350,29856,0.0,893.0,100,GCF_000696595.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_029382914.1
atpD_37,NZ_JJOB01000001.1,100.0,495,0,0,1,495,4530253,4530747,0.0,893.0,100,GCF_000698495.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_028438737.1
atpD_235,NZ_JNAD02000003.1,100.0,495,0,0,1,495,376439,376933,0.0,893.0,100,GCF_000700005.2,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_043459634.1
atpD_58,NZ_CP045803.1,100.0,495,0,0,1,495,3653738,3654232,0.0,893.0,100,GCF_000707925.2,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_003981309.1
atpD_734,NZ_KL503830.1,100.0,495,0,0,1,495,5129374,5129868,0.0,893.0,100,GCF_000709915.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_033275519.1
atpD_2,NZ_KL569933.1,100.0,495,0,0,1,495,35733,36227,0.0,893.0,100,GCF_000715745.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030113487.1
atpD_90,NZ_KL571095.1,100.0,495,0,0,1,495,55289,54795,0.0,893.0,100,GCF_000715845.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030022187.1
atpD_22,NZ_KL573542.1,100.0,495,0,0,1,495,290845,290351,0.0,893.0,100,GCF_000716025.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030079310.1
atpD_161,NZ_KL575619.1,100.0,495,0,0,1,495,22562,22068,0.0,893.0,100,GCF_000716215.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030042673.1
atpD_550,NZ_JNWO01000024.1,100.0,495,0,0,1,495,87432,86938,0.0,893.0,100,GCF_000716435.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_043683089.1
atpD_178,NZ_JNWK01000034.1,100.0,495,0,0,1,495,57652,58146,0.0,893.0,100,GCF_000716445.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_033206795.1
atpD_211,NZ_JNWN01000030.1,100.0,495,0,0,1,495,24493,24987,0.0,893.0,100,GCF_000716455.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_031190614.1
atpD_58,NZ_JNWX01000035.1,100.0,495,0,0,1,495,140054,139560,0.0,893.0,100,GCF_000716515.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_003981309.1
atpD_115,NZ_JNWT01000006.1,100.0,495,0,0,1,495,48619,49113,0.0,893.0,100,GCF_000716525.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_016469816.1
atpD_311,NZ_JNWV01000050.1,100.0,495,0,0,1,495,74644,74150,0.0,893.0,100,GCF_000716535.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030656116.1
atpD_711,NZ_JNXE01000037.1,100.0,495,0,0,1,495,25001,25495,0.0,893.0,100,GCF_000716605.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_033285407.1
atpD_721,NZ_JNXJ01000039.1,100.0,495,0,0,1,495,57398,57892,0.0,893.0,100,GCF_000716625.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030218857.1
atpD_114,NZ_JNXT01000031.1,100.0,495,0,0,1,495,42016,42510,0.0,893.0,100,GCF_000716675.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030361211.1
atpD_400,NZ_JNYC01000007.1,100.0,495,0,0,1,495,390358,390852,0.0,893.0,100,GCF_000716685.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030386949.1
atpD_182,NZ_JNWJ01000028.1,100.0,495,0,0,1,495,36166,36660,0.0,893.0,100,GCF_000716805.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_033323865.1
atpD_58,NZ_JNWP01000036.1,100.0,495,0,0,1,495,79812,79318,0.0,893.0,100,GCF_000716845.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_003981309.1
atpD_152,NZ_JNWQ01000004.1,100.0,495,0,0,1,495,65654,66148,0.0,893.0,100,GCF_000716875.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030254929.1
atpD_12,NZ_JNWU01000016.1,100.0,495,0,0,1,495,24333,24827,0.0,893.0,100,GCF_000716935.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_015611380.1
atpD_8,NZ_JNXG01000002.1,100.0,495,0,0,1,495,1085482,1085976,0.0,893.0,100,GCF_000717025.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_033298380.1
atpD_139,NZ_JNXI01000026.1,100.0,495,0,0,1,495,72048,71554,0.0,893.0,100,GCF_000717055.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_033312985.1
atpD_425,NZ_JNYP01000019.1,100.0,495,0,0,1,495,130816,130322,0.0,893.0,100,GCF_000717215.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030113487.1
atpD_58,NZ_JNYR01000035.1,100.0,495,0,0,1,495,79847,79353,0.0,893.0,100,GCF_000717285.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_003981309.1
atpD_54,NZ_JNZA01000008.1,100.0,495,0,0,1,495,87079,87573,0.0,893.0,100,GCF_000717345.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_033266717.1
atpD_627,NZ_JNZI01000004.1,100.0,495,0,0,1,495,72594,72100,0.0,893.0,100,GCF_000717375.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_003950883.1
atpD_358,NZ_JNZO01000018.1,100.0,495,0,0,1,495,375553,376047,0.0,893.0,100,GCF_000717595.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030321098.1
atpD_340,NZ_JNZW01000021.1,100.0,495,0,0,1,495,79252,78758,0.0,893.0,100,GCF_000717635.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030380025.1
atpD_2,NZ_JNZZ01000003.1,100.0,495,0,0,1,495,120605,120111,0.0,893.0,100,GCF_000717645.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030113487.1
atpD_524,NZ_JNZY01000009.1,100.0,495,0,0,1,495,178942,178448,0.0,893.0,100,GCF_000717655.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030295268.1
atpD_2,NZ_JOAC01000008.1,100.0,495,0,0,1,495,70183,69689,0.0,893.0,100,GCF_000717665.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030113487.1
atpD_152,NZ_JOAY01000002.1,100.0,495,0,0,1,495,152161,152655,0.0,893.0,100,GCF_000717725.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030254929.1
atpD_73,NZ_JOBH01000009.1,100.0,495,0,0,1,495,215136,214642,0.0,893.0,100,GCF_000717745.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030258517.1
atpD_567,NZ_JOBR01000007.1,100.0,495,0,0,1,495,128277,127783,0.0,893.0,100,GCF_000717795.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_003966249.1
atpD_58,NZ_JOCC01000040.1,100.0,495,0,0,1,495,79872,79378,0.0,893.0,100,GCF_000717805.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_003981309.1
atpD_730,NZ_JOBW01000044.1,100.0,495,0,0,1,495,73882,73388,0.0,893.0,100,GCF_000717815.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030374585.1
atpD_717,NZ_JOCE01000023.1,100.0,495,0,0,1,495,34039,34533,0.0,893.0,100,GCF_000717845.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_003973624.1
atpD_221,NZ_JOCT01000023.1,100.0,495,0,0,1,495,109643,110137,0.0,893.0,100,GCF_000717875.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030246448.1
atpD_864,NZ_JOCJ01000056.1,100.0,495,0,0,1,495,22670,23164,0.0,893.0,100,GCF_000717895.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030656116.1
atpD_626,NZ_JOCY01000015.1,100.0,495,0,0,1,495,200208,199714,0.0,893.0,100,GCF_000717925.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030386949.1
atpD_2,NZ_JODK01000002.1,100.0,495,0,0,1,495,177020,177514,0.0,893.0,100,GCF_000717965.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030113487.1
atpD_175,NZ_JODM01000021.1,100.0,495,0,0,1,495,40787,41281,0.0,893.0,100,GCF_000717995.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030187275.1
atpD_69,NZ_JODY01000004.1,100.0,495,0,0,1,495,75597,75103,0.0,893.0,100,GCF_000718015.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030280705.1
atpD_167,NZ_JOEI01000009.1,100.0,495,0,0,1,495,428806,428312,0.0,893.0,100,GCF_000718095.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030351993.1
atpD_142,NZ_JOEW01000030.1,100.0,495,0,0,1,495,36816,37310,0.0,893.0,100,GCF_000718155.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030235800.1
atpD_555,NZ_JOEY01000004.1,100.0,495,0,0,1,495,131598,131104,0.0,893.0,100,GCF_000718165.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030596953.1
atpD_10,NZ_JOFB01000019.1,100.0,495,0,0,1,495,117903,118397,0.0,893.0,100,GCF_000718175.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030210618.1
atpD_2,NZ_JOFE01000019.1,100.0,495,0,0,1,495,125275,124781,0.0,893.0,100,GCF_000718205.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030113487.1
atpD_2,NZ_JOFF01000006.1,100.0,495,0,0,1,495,330179,330673,0.0,893.0,100,GCF_000718235.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030113487.1
atpD_2,NZ_JOFG01000004.1,100.0,495,0,0,1,495,139708,139214,0.0,893.0,100,GCF_000718245.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030113487.1
atpD_58,NZ_JOFM01000034.1,100.0,495,0,0,1,495,79813,79319,0.0,893.0,100,GCF_000718295.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_003981309.1
atpD_150,NZ_JOFQ01000005.1,100.0,495,0,0,1,495,294687,294193,0.0,893.0,100,GCF_000718305.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_052865125.1
atpD_271,NZ_JOFU01000018.1,100.0,495,0,0,1,495,69754,69260,0.0,893.0,100,GCF_000718315.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_037656495.1
atpD_219,NZ_JOFW01000021.1,100.0,495,0,0,1,495,25910,26404,0.0,893.0,100,GCF_000718375.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030828878.1
atpD_601,NZ_JNZK01000005.1,100.0,495,0,0,1,495,105065,105559,0.0,893.0,100,GCF_000718455.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030579812.1
atpD_244,NZ_JNZT01000112.1,100.0,495,0,0,1,495,7291,6797,0.0,893.0,100,GCF_000718525.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030762231.1
atpD_721,NZ_JOAU01000021.1,100.0,495,0,0,1,495,145704,145210,0.0,893.0,100,GCF_000718595.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030218857.1
atpD_2,NZ_JOBG01000002.1,100.0,495,0,0,1,495,120589,120095,0.0,893.0,100,GCF_000718615.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030113487.1
atpD_143,NZ_JOBD01000030.1,100.0,495,0,0,1,495,66737,67231,0.0,893.0,100,GCF_000718625.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030790047.1
atpD_173,NZ_JOBF01000022.1,100.0,495,0,0,1,495,142775,143269,0.0,893.0,100,GCF_000718635.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030889679.1
atpD_58,NZ_JOBP01000025.1,100.0,495,0,0,1,495,73666,73172,0.0,893.0,100,GCF_000718675.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030649810.1
atpD_2,NZ_JOBQ01000020.1,100.0,495,0,0,1,495,25633,26127,0.0,893.0,100,GCF_000718695.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030113487.1
atpD_16,NZ_JOBU01000032.1,100.0,495,0,0,1,495,44091,44585,0.0,893.0,100,GCF_000718705.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030660306.1
atpD_58,NZ_JOBT01000145.1,100.0,495,0,0,1,495,9590,10084,0.0,893.0,100,GCF_000718715.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_003981309.1
atpD_298,NZ_JOBV01000024.1,100.0,495,0,0,1,495,24238,24732,0.0,893.0,100,GCF_000718755.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030595658.1
atpD_323,NZ_JOCB01000025.1,100.0,495,0,0,1,495,15105,14611,0.0,893.0,100,GCF_000718775.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030740704.1
atpD_795,NZ_JOCA01000016.1,100.0,495,0,0,1,495,95353,95847,0.0,893.0,100,GCF_000718785.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030223827.1
atpD_58,NZ_JOCH01000036.1,100.0,495,0,0,1,495,79862,79368,0.0,893.0,100,GCF_000718815.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_003981309.1
atpD_58,NZ_JOCM01000033.1,100.0,495,0,0,1,495,79862,79368,0.0,893.0,100,GCF_000718835.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_003981309.1
atpD_58,NZ_JOCO01000033.1,100.0,495,0,0,1,495,79825,79331,0.0,893.0,100,GCF_000718865.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_003981309.1
atpD_2,NZ_JOCW01000015.1,100.0,495,0,0,1,495,144552,144058,0.0,893.0,100,GCF_000718915.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030113487.1
atpD_693,NZ_JODA01000013.1,100.0,495,0,0,1,495,116027,115533,0.0,893.0,100,GCF_000718935.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030386949.1
atpD_756,NZ_JODG01000016.1,100.0,495,0,0,1,495,61829,61335,0.0,893.0,100,GCF_000718945.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030170210.1
atpD_675,NZ_JODJ01000019.1,100.0,495,0,0,1,495,81909,81415,0.0,893.0,100,GCF_000718955.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030764099.1
atpD_146,NZ_JODL01000001.1,100.0,495,0,0,1,495,185795,185301,0.0,893.0,100,GCF_000718985.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_031505862.1
atpD_2,NZ_JODO01000012.1,100.0,495,0,0,1,495,144351,143857,0.0,893.0,100,GCF_000719035.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030113487.1
atpD_938,NZ_JOEK01000002.1,100.0,495,0,0,1,495,237432,236938,0.0,893.0,100,GCF_000719135.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_052848126.1
atpD_298,NZ_JOES01000028.1,100.0,495,0,0,1,495,71686,71192,0.0,893.0,100,GCF_000719185.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030595658.1
atpD_2,NZ_JOFA01000023.1,100.0,495,0,0,1,495,25633,26127,0.0,893.0,100,GCF_000719195.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030113487.1
atpD_173,NZ_JOFN01000033.1,100.0,495,0,0,1,495,47251,47745,0.0,893.0,100,GCF_000719255.1,F0F1 ATP synthase subunit beta,atpD,,with_protein,WP_030889679.1
